id	abstractitemid	itemtype	iname	sceneid	layerid	posx	posy	zoffset	dirx	diry	dirz
1	1	4	府衙	2	0	-3.74	32.01	8.13	1	0	0
2	2	4	兵营	2	0	-3.11	-23.53	0.06	1	0	0
3	3	4	酒肆	2	0	16.29	11.07	3.33	1	0	0
4	4	4	工坊	2	0	-12.62	3.1	0	1	0	0
5	5	4	市集	2	0	3.73	8.83	3.26	1	0	0
6	6	4	府库	2	0	17.03	32.96	7.96	1	0	0
7	7	4	民居1	2	0	-41	39.52	3.26	1	0	0
8	8	4	民居2	2	0	-27.82	39.52	3.26	1	0	0
9	9	4	民居3	2	0	-41	25.44	3.26	0	1	0
10	10	4	民居4	2	0	-27.82	26.15	3.26	0	-1	0
11	11	4	民居5	2	0	-41	15.32	3.26	0	1	0
12	12	4	民居6	2	0	-27.82	16.69	3.26	0	-1	0
13	13	4	民居7	2	0	-41	5.28	3.26	0	1	0
14	14	4	民居8	2	0	-27.82	5.21	3.26	0	-1	0
15	15	4	农田1	2	0	-1.98	-40.79	0.05	0	-1	0
16	16	4	农田2	2	0	-0.91	-49.94	0.05	0	-1	0
17	17	4	农田3	2	0	-12.58	-40.99	0.05	-1	0	0
18	18	4	农田4	2	0	-10.87	-49.92	0.05	-1	0	0
19	19	4	农田5	2	0	-22.5	-40.82	0.05	-1	0	0
20	20	4	农田6	2	0	-20.84	-49.91	0.05	-1	0	0
21	21	4	农田7	2	0	-32.34	-40.72	0.05	0	-1	0
22	22	4	农田8	2	0	-30.02	-49.5	0.05	0	-1	0
23	23	4	牧场1	2	0	-14.7	-21.75	0	1	0	0
24	24	4	牧场2	2	0	-24.39	-21.67	0	1	0	0
25	25	4	牧场3	2	0	-34.12	-21.66	0	1	0	0
26	26	4	牧场4	2	0	-43.83	-21.69	0	1	0	0
27	27	4	林地1	2	0	38.06	-50.16	0.13	0	-1	0
28	28	4	林地2	2	0	38.44	-41.78	0.13	0	-1	0
29	29	4	林地3	2	0	28.58	-49.95	0.13	-1	0	0
30	30	4	林地4	2	0	28.96	-41.56	0.13	-1	0	0
31	31	4	矿山1	2	0	54.93	23.18	0.05	1	0	0
32	32	4	矿山2	2	0	65.53	14.4	0.05	0	-1	0
33	33	4	矿山3	2	0	65.53	3.77	0.05	0	-1	0
34	34	4	矿山4	2	0	65.53	-6.74	0.05	0	-1	0
35	35	4	祭祀塔	2	0	-4.49	54.34	6.84	0	-1	0
36	36	4	水车	2	0	-45.6	-45.47	0	0	0	0
37	37	4	熔炉	2	0	64.43	23.59	-0.23	0	0	0
38	38	4	工舍	2	0	20.41	-46.95	0	0	0	0
39	39	4	秣船	2	0	-56	-4.04	0	0	0	0
