id	text
1	小贴士：记得领取在线礼包哦
2	小贴士：点击A键可以直接攻击选择目标
3	小贴士：i键+点击地面可以召唤队友
4	小贴士：每天都有几次免费征税，点击右上角赋税-征收即可
5	小贴士：点击官职-升迁，可以提升官职，功勋值可以通过国战获得，官职越高可以带的士兵数量越多
6	小贴士：进入副本即会消耗军令，每半小时回复一枚军令
7	小贴士：点击小头像可以查看领主界面
8	小贴士：努力提升民居等级能够提高征税的金额
9	小贴士：如果征收用完了，可以点击府衙的强征税收，但你相应的缴纳一定的手续费来安抚民众。
10	小贴士：必须先选中自己的单位才能控制其攻击或移动，左键框选可以选中多个自己的单位。
11	小贴士：右键点击地面移动。
12	小贴士：A键选择目标攻击或右键选择目标攻击。
13	小贴士：F1、F2、F3可快速选中自己的单位。
14	小贴士：空格键可以将视野拉回当前处于选中状态的单位视野上。
15	小贴士：可以利用键盘方向键“←”，“→”，“↑”，“↓” 左右上下四个键移动画面。
16	小贴士：tab键可以查看战场信息，~键可以选中切换附近的敌方单位。
17	小贴士：Ctrl+数字编号可以对自己的单位进行编队。
18	小贴士：右键点击其他单位可以查看他们的战斗属性
19	小贴士：部分将卡技能会对敌方单位造成大量伤害，请善加利用。
20	小贴士：警戒是指该单位会自动攻击附近的敌方单位。
21	小贴士：ESC键可以调出系统控制界面。
22	小贴士：战斗时尽量和友方玩家共同行动。
23	小贴士：打通一遍的副本，第二次就可以直接扫荡了呦！
24	小贴士：一次轮回中，一个人只有三次重新选择势力的机会哦！
25	小贴士：每次在世界频道说话，会消耗1000铜钱哦！
26	小贴士：国战中正常战败后退出国战，可不是逃兵呢！
27	小贴士：国战中被人申请添加好友，会在屏幕右上角弹出提示哦！
28	小贴士：身在军团中的人，是不能叛国的呦！
29	小贴士：只有国家军团榜前五名军团的军团长与副团长有资格竞选官员哦！
30	小贴士：最后一个攻破城池城防的势力，才能获得该城池的归属权~
31	小贴士：担任国家官职，可以统帅更多的士兵哦！
32	"小贴士：建国系统和每日活跃度都可以增加vip等级,很优待吧?"
33	小贴士：三国统一或者100天后，游戏将会启动轮回机制！
34	小贴士：军团榜排名前5名的军团，团长和副团长是被推举为丞相、大司马、大将军的候选人！
35	小贴士：国家官员3天不上线将会自动解除职位！
36	小贴士：军团长可以在国家州郡管理界面中申请驻扎到某座城池的！
37	小贴士：在角色官职界面中可以消耗功勋提升官职和领导力！
38	小贴士：积极参与国战可获得功勋！
39	小贴士：酒肆中抽到人卡也是很有用的，人卡可以提升资源生产效率的！
40	小贴士：合理的搭配天卡和地卡，对战斗可以起到如虎添翼的效果！
41	小贴士：工坊科技不光可以开启新兵种，还能增加相应兵种的属性；
42	小贴士：提升官职不仅可以增加带兵的数量还能增加兵种的附加属性；
43	小贴士：兵营的等级提高，会缩减征兵的时间
44	小贴士：名将之路会掉落很多材料，对于将卡升星、装备打造是很有帮助的
45	小贴士：副本中会有很多宝箱，时间充足的时候可以四处看看风景，或许会有意想之外的收获
46	小贴士：加入军团不光能认识很多朋友，还会有很多收获
47	小贴士：不同的将卡搭配配合不同的兵种会发挥出不同的实力，搭配很重要哦
48	小贴士：资源不够时候如果不想久等，可以去市集上逛逛
49	小贴士：显示设置将FPS设定在30/s有助于降低笔记本电脑的发热量
