   	scenename	filename	uiscene	collidefile	brainfile	exttype	±≥æ∞“Ù¿÷	–°µÿÕº	‘§œ¬‘ÿ
1	jxjrolecreate	scene/jxjrolecreate.crs	jxjrolecreate.cru			0			2
2	Manor	scene/Manor.crs	jxjhome.cru			0	sounds/beijing_1.ogg		50010
3	BF_World_01	scene/BF_World_01.crs	jxjui.cru	scene/BF_World_01collide.cfg	brain/worldbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_World_01.img	
20014	Xumu2	scene/BF_Xumu.crs	jxjui.cru	scene/BF_Xumucollide.cfg	brain/xumufubenbrain.cfg	2	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xumu.img	2
20010	xinshouyindao1	scene/XSYD_01.crs	jxjui.cru	scene/XSYD_01collide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg		50010
20011	xinshouyindao2	scene/XSYD_02.crs	jxjui.cru	scene/XSYD_02collide.cfg	brain/firsttimefubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Xinshouyindao2.img	20013
20012	xinshouyindao3	scene/XSYD_02.crs	jxjui.cru	scene/XSYD_03collide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Xinshouyindao2.img	20013
20013	xinshouyindao4	scene/XSYD_02.crs	jxjui.cru	scene/XSYD_04collide.cfg	brain/firsttimefubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xinshouyindao2.img	21005
21004	FB_Puyangzhizhan	scene/BF_Puyang.crs	jxjui.cru	scene/FB_Puyangzhizhancollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Puyang.img	21005
21005	FB_HJZQ	scene/BF_Xiangping.crs	jxjui.cru	scene/FB_HJZQcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	21007
21006	FB_HJZQ_K	scene/BF_Xiangping.crs	jxjui.cru	scene/FB_HJZQ_Kcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	21007
21007	FB_WCPHJ	scene/BF_Xiangping.crs	jxjui.cru	scene/FB_WCPHJcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	21009
21008	FB_WCPHJ_K	scene/BF_Xiangping.crs	jxjui.cru	scene/FB_WCPHJ_Kcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Xiangping.img	21009
21009	FB_YXZL	scene/BF_Zitong.crs	jxjui.cru	scene/FB_YXZLcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Zitong.img	21012
21010	FB_YXZL_K	scene/BF_Zitong.crs	jxjui.cru	scene/FB_YXZL_Kcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Zitong.img	21011
21011	FB_YSZB	scene/BF_Nanpi.crs	jxjui.cru	scene/FB_YSZBcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	21012
21012	FB_YSZB_K	scene/BF_Nanpi.crs	jxjui.cru	scene/FB_YSZB_Kcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Nanpi.img	21014
21013	FB_HSDZ	scene/BF_Jinyang.crs	jxjui.cru	scene/FB_HSDZcollide.cfg	brain/dazhanheishan.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Jinyang.img	21014
21014	FB_HSDZ_K	scene/BF_Jinyang.crs	jxjui.cru	scene/FB_HSDZ_Kcollide.cfg	brain/dazhanheishan.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Jinyang.img	22001
21015	FB_DZHLG	scene/DM_Wuguan.crs	jxjui.cru	scene/FB_DZHLGcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Wuguan.img	21016
