id	text
1	帐号或者密码不能为空
2	2次输入密码不一致
3	Email不能为空
4	请输入正确的Email
5	查询部队信息
6	准备进入场景
7	即将退出游戏场景
8	"登陆失败,用户名密码错误"
9	注册成功
10	注册失败
11	与游戏服务器断开连接
12	登陆游戏成功
13	"登陆游戏失败,无法连接游戏服务器"
14	"登陆游戏失败,请重新登录"
15	收到服务器列表
16	无法连接服务器
17	服务器人数满了
18	校验场景信息
19	登录场景
20	本回合结束
21	游戏开始结束
22	该昵称已存在
23	没有部队！
24	暂未开放
25	正在检查更新
26	进入启动更新
27	更新程序将自动重启游戏，请稍后…
28	连接服务器
29	请输入密码
30	账号不能为空
31	请输入激活码
32	输入激活码位数不正确
33	帐号名格式不正确
34	帐号名字符数量超限
35	密码不正确
36	邮箱地址字符数量超限
37	昵称字符数量超限
38	真实名字字符数量超限
39	激活码输入错误
40	该激活码已经失效
41	帐号冲突
42	激活码不能为空
43	该帐号正在使用中
44	请输入最少6位，最大16位
45	该激活码生效日期：%s
46	客户端版本信息错误
47	"登陆失败,帐号被锁定"
48	区服务器信息错误
49	"请稍后再登录,或者选择其它区登录"
50	"登陆失败,帐号被官方锁定"
51	帐号未激活
52	请从登录器或者网页端登陆游戏！
53	感谢您安装游戏，正在为您解压游戏文件，请稍后…
1081	抵制不良游戏 拒绝盗版游戏 注意自我保护 谨防受骗上当 适度游戏益脑 沉迷游戏伤身 合理安排时间 享受健康生活
