id	vip0	vip1	vip2	vip3	vip4	vip5	vip6	vip7	vip8	vip9	vip10	vip11	vip12	vip13	vip14	vip15	TAB_VERSION
20020	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	2018042400
20036	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	28800	
20065	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	
20070	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	100000000	
20075	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
20100	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	200	
20101	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
20102	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	
20137	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	
20147	12|5	12|10	12|20	12|30	13|40	13|50	14|60	14|70	15|80	15|90	16|100	16|110	18|120	18|140	20|160	20|180	
20150	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	0.3	
20151	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	
20161	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
20167	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	105000	
20171	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	
20173	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	3600	
20174	1	1	2	3	4	5	6	7	7	7	7	7	7	7	7	7	
20176	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
20187	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	
20188	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	10:00:00	
20201	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	0.85|233|0.8|0.55|2.5	
20203	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	2.1|2.1|5000	
