   	scenename	filename	uiscene	collidefile	brainfile	exttype	±≥æ∞“Ù¿÷	–°µÿÕº	‘§œ¬‘ÿ
1	jxjrolecreate	scene/jxjrolecreate.crs	jxjrolecreate.cru			0			2
2	Manor	scene/Manor.crs	jxjhome.cru			0	sounds/beijing_1.ogg		50010
3	BF_World_01	scene/BF_World_01.crs	jxjui.cru	scene/BF_World_01collide.cfg	brain/worldbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_World_01.img	
20000	Tiyanguozhan	scene/DM_Hanguguan.crs	jxjui.cru	scene/Tiyanguozhancollide.cfg	brain/newguozhanfubenbrain.cfg	1	sounds/Beijing_Bashu.ogg	UI_GK_Tongguan.img	
20014	Xumu2	scene/BF_Xumu.crs	jxjui.cru	scene/BF_Xumucollide.cfg	brain/xumufubenbrain.cfg	2	sounds/Beijing_Zhongyuan.ogg	UI_GK_Xumu.img	2
23000	M_zhangjiao	scene/DM_Jieting.crs	jxjui.cru	scene/M_Zhangjiaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Jieting.img	23001
23001	M_xurong	scene/DM_Henei.crs	jxjui.cru	scene/M_Xurongcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Henei.img	23002
23002	M_lvbu1	scene/DM_Wuguan.crs	jxjui.cru	scene/M_lvbu1collide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Wuguan.img	23003
23003	M_jiling	scene/DM_Danyang.crs	jxjui.cru	scene/M_Jilingcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Danyang.img	23004
23004	M_zhangxiu	scene/DM_Changban.crs	jxjui.cru	scene/M_zhangxiucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changban.img	23005
23005	M_yanliang	scene/DM_Changban.crs	jxjui.cru	scene/M_yanliangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changban.img	23006
23006	M_wenchou	scene/DM_Changban.crs	jxjui.cru	scene/M_wenchoucollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Changban.img	23007
23007	M_mateng	scene/DM_Jieting.crs	jxjui.cru	scene/M_matengcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Jieting.img	23008
23008	M_lvbu2	scene/DM_Danyang.crs	jxjui.cru	scene/M_lvbu2collide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Danyang.img	23009
23009	M_dongzhuo	scene/DM_Lingqiu.crs	jxjui.cru	scene/M_dongzhuocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Lingqiu.img	23010
23010	M_zhugeliang	scene/DM_Dingtao.crs	jxjui.cru	scene/M_zhugeliangcollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Zhongyuan.ogg	UI_GK_Dingtao.img	23011
23011	M_caocao	scene/BF_Changan.crs	jxjui.cru	scene/M_caocaocollide.cfg	brain/fubenbrain.cfg	1	sounds/Beijing_Jizhou.ogg	UI_GK_Changan.img	
30001	bunai	scene/BF_Yongan.crs	jxjui.cru	scene/BF_Yongancollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Yongan.img	
30002	lelang	scene/BF_Beiping.crs	jxjui.cru	scene/BF_Beipingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Beiping.img	
30003	daifang	scene/BF_Anding.crs	jxjui.cru	scene/BF_Andingcollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Anding.img	
30004	anping	scene/BF_Ji.crs	jxjui.cru	scene/BF_Jicollide.cfg	brain/battlebrain.cfg	0	sounds/Beijing_Jizhou.ogg	UI_GK_Ji.img	
