id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
2	10001	李傕	5577	40	1	2	7
3	10002	郭汜	5577	40	1	2	7
4	10003	华雄	5577	40	1	2	7
0	10004	吴国营寨	5577	50	0.5	12	4
0	10005	魏国营寨	5577	50	0.5	10	4
0	10006	蜀国营寨	5577	50	0.5	11	4
8	10007	黄巾叛兵	1115	15	1	2	8
8	10008	黄巾叛兵	1115	15	1	2	8
8	10009	黄巾叛兵	1115	15	1	2	8
8	10010	黄巾叛兵	1115	15	1	2	8
8	10011	黄巾叛兵	1115	15	1	2	8
8	10012	黄巾叛兵	1115	15	1	2	8
8	10013	黄巾叛兵	1115	15	1	2	8
8	10014	黄巾叛兵	1115	15	1	2	8
8	10015	黄巾叛兵	1115	15	1	2	8
8	10016	黄巾叛兵	1115	15	1	2	8
8	10017	黑山叛兵	1115	15	1	2	8
8	10018	黑山叛兵	1115	15	1	2	8
8	10019	黑山叛兵	1115	15	1	2	8
8	10020	黑山叛兵	1115	15	1	2	8
8	10021	黑山叛兵	1115	15	1	2	8
8	10022	黑山叛兵	1115	15	1	2	8
8	10023	黑山叛兵	1115	15	1	2	8
8	10024	黑山叛兵	1115	15	1	2	8
8	10025	黑山叛兵	1115	15	1	2	8
8	10026	黑山叛兵	1115	15	1	2	8
8	10027	东川叛兵	1115	15	1	2	8
8	10028	东川叛兵	1115	15	1	2	8
8	10029	东川叛兵	1115	15	1	2	8
8	10030	东川叛兵	1115	15	1	2	8
8	10031	东川叛兵	1115	15	1	2	8
8	10032	东川叛兵	1115	15	1	2	8
8	10033	东川叛兵	1115	15	1	2	8
8	10034	东川叛兵	1115	15	1	2	8
8	10035	东川叛兵	1115	15	1	2	8
8	10036	东川叛兵	1115	15	1	2	8
8	10037	西川叛兵	1115	15	1	2	8
8	10038	西川叛兵	1115	15	1	2	8
8	10039	西川叛兵	1115	15	1	2	8
8	10040	西川叛兵	1115	15	1	2	8
8	10041	西川叛兵	1115	15	1	2	8
8	10042	西川叛兵	1115	15	1	2	8
8	10043	西川叛兵	1115	15	1	2	8
8	10044	西川叛兵	1115	15	1	2	8
8	10045	西川叛兵	1115	15	1	2	8
8	10046	西川叛兵	1115	15	1	2	8
8	10047	密林土匪	1115	15	1	2	8
8	10048	密林土匪	1115	15	1	2	8
8	10049	密林土匪	1115	15	1	2	8
8	10050	密林土匪	1115	15	1	2	8
8	10051	密林土匪	1115	15	1	2	8
8	10052	密林土匪	1115	15	1	2	8
8	10053	密林土匪	1115	15	1	2	8
8	10054	密林土匪	1115	15	1	2	8
8	10055	密林土匪	1115	15	1	2	8
8	10056	密林土匪	1115	15	1	2	8
8	10057	密林山贼	1115	15	1	2	8
8	10058	密林山贼	1115	15	1	2	8
8	10059	密林山贼	1115	15	1	2	8
8	10060	密林山贼	1115	15	1	2	8
8	10061	密林山贼	1115	15	1	2	8
8	10062	密林山贼	1115	15	1	2	8
8	10063	密林山贼	1115	15	1	2	8
8	10064	密林山贼	1115	15	1	2	8
8	10065	密林山贼	1115	15	1	2	8
8	10066	密林山贼	1115	15	1	2	8
8	10067	蛮兵	1115	15	1	2	8
8	10068	蛮兵	1115	15	1	2	8
8	10069	蛮兵	1115	15	1	2	8
8	10070	蛮兵	1115	15	1	2	8
8	10071	蛮兵	1115	15	1	2	8
8	10072	蛮兵	1115	15	1	2	8
8	10073	蛮兵	1115	15	1	2	8
8	10074	蛮兵	1115	15	1	2	8
8	10075	蛮兵	1115	15	1	2	8
8	10076	蛮兵	1115	15	1	2	8
8	10077	黑山匪兵	1115	15	1	2	8
8	10078	黑山匪兵	1115	15	1	2	8
8	10079	黑山匪兵	1115	15	1	2	8
8	10080	黑山匪兵	1115	15	1	2	8
8	10081	黑山匪兵	1115	15	1	2	8
8	10082	黑山匪兵	1115	15	1	2	8
8	10083	黑山匪兵	1115	15	1	2	8
8	10084	黑山匪兵	1115	15	1	2	8
8	10085	黑山匪兵	1115	15	1	2	8
8	10086	黑山匪兵	1115	15	1	2	8
8	10087	黄巾匪兵	1115	15	1	2	8
8	10088	黄巾匪兵	1115	15	1	2	8
8	10089	黄巾匪兵	1115	15	1	2	8
8	10090	黄巾匪兵	1115	15	1	2	8
8	10091	黄巾匪兵	1115	15	1	2	8
8	10092	黄巾匪兵	1115	15	1	2	8
8	10093	黄巾匪兵	1115	15	1	2	8
8	10094	黄巾匪兵	1115	15	1	2	8
8	10095	黄巾匪兵	1115	15	1	2	8
8	10096	黄巾匪兵	1115	15	1	2	8
8	10097	黄巾溃兵	1115	15	1	2	8
8	10098	黄巾溃兵	1115	15	1	2	8
8	10099	黄巾溃兵	1115	15	1	2	8
8	10100	黄巾溃兵	1115	15	1	2	8
8	10101	黄巾溃兵	1115	15	1	2	8
8	10102	黄巾溃兵	1115	15	1	2	8
8	10103	黄巾溃兵	1115	15	1	2	8
8	10104	黄巾溃兵	1115	15	1	2	8
8	10105	黄巾溃兵	1115	15	1	2	8
8	10106	黄巾溃兵	1115	15	1	2	8
8	10240	密林山贼	1115	15	1	2	8
8	10241	密林山贼	1115	15	1	2	8
8	10242	密林山贼	1115	15	1	2	8
8	10243	密林山贼	1115	15	1	2	8
8	10244	密林山贼	1115	15	1	2	8
8	10245	密林山贼	1115	15	1	2	8
8	10246	密林山贼	1115	15	1	2	8
8	10247	密林山贼	1115	15	1	2	8
8	10248	密林山贼	1115	15	1	2	8
8	10249	密林山贼	1115	15	1	2	8
8	10250	密林山贼	1115	15	1	2	8
8	10251	密林山贼	1115	15	1	2	8
8	10252	密林山贼	1115	15	1	2	8
8	10253	密林山贼	1115	15	1	2	8
8	10254	密林山贼	1115	15	1	2	8
8	10255	密林山贼	1115	15	1	2	8
8	10256	密林山贼	1115	15	1	2	8
