id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	601001	乌丸伍长	175	25	0.7	1	8
0	601002	乌丸伍长	175	25	0.7	1	8
1	601006	乌丸伍长	175	25	0.7	1	8
1	601007	乌丸伍长	175	25	0.7	1	8
1	601008	乌丸伍长	175	25	0.7	1	8
2	601011	乌丸伍长	175	25	0.7	1	8
2	601012	乌丸伍长	175	25	0.7	1	8
2	601013	乌丸伍长	175	25	0.7	1	8
3	601017	乌丸伍长	175	25	0.7	1	8
3	601018	乌丸伍长	175	25	0.7	1	8
4	601023	乌丸伍长	175	25	0.7	1	8
4	601027	乌丸首领	279	25	0.7	1	7
5	601028	乌丸什长	183	25	0.7	1	8
5	601029	乌丸什长	183	25	0.7	1	8
6	601033	乌丸什长	183	25	0.7	1	8
6	601034	乌丸什长	183	25	0.7	1	8
6	601035	乌丸什长	183	25	0.7	1	8
7	601038	乌丸什长	183	25	0.7	1	8
7	601039	乌丸什长	183	25	0.7	1	8
7	601040	乌丸什长	183	25	0.7	1	8
8	601044	乌丸什长	183	25	0.7	1	8
8	601045	乌丸什长	183	25	0.7	1	8
9	601050	乌丸什长	183	25	0.7	1	8
9	601054	乌丸首领	293	25	0.7	1	7
10	601055	乌丸都伯	192	25	0.7	1	8
10	601056	乌丸都伯	192	25	0.7	1	8
11	601060	乌丸都伯	192	25	0.7	1	8
11	601061	乌丸都伯	192	25	0.7	1	8
11	601062	乌丸都伯	192	25	0.7	1	8
12	601065	乌丸都伯	192	25	0.7	1	8
12	601066	乌丸都伯	192	25	0.7	1	8
12	601067	乌丸都伯	192	25	0.7	1	8
13	601071	乌丸都伯	192	25	0.7	1	8
13	601072	乌丸都伯	192	25	0.7	1	8
14	601077	乌丸都伯	192	25	0.7	1	8
14	601078	乌丸都伯	192	25	0.7	1	8
14	601081	乌丸首领	307	25	0.7	1	7
0	601136	乌丸伍长	175	25	0.7	1	8
0	601137	乌丸伍长	175	25	0.7	1	8
1	601141	乌丸伍长	175	25	0.7	1	8
1	601142	乌丸伍长	175	25	0.7	1	8
1	601143	乌丸伍长	175	25	0.7	1	8
2	601146	乌丸伍长	175	25	0.7	1	8
2	601147	乌丸伍长	175	25	0.7	1	8
2	601148	乌丸伍长	175	25	0.7	1	8
3	601152	乌丸伍长	175	25	0.7	1	8
3	601153	乌丸伍长	175	25	0.7	1	8
4	601158	乌丸伍长	175	25	0.7	1	8
4	601162	乌丸中郎将	279	25	0.7	1	7
5	601163	乌丸什长	183	25	0.7	1	8
5	601164	乌丸什长	183	25	0.7	1	8
6	601168	乌丸什长	183	25	0.7	1	8
6	601169	乌丸什长	183	25	0.7	1	8
6	601170	乌丸什长	183	25	0.7	1	8
7	601173	乌丸什长	183	25	0.7	1	8
7	601174	乌丸什长	183	25	0.7	1	8
7	601175	乌丸什长	183	25	0.7	1	8
8	601179	乌丸什长	183	25	0.7	1	8
8	601180	乌丸什长	183	25	0.7	1	8
9	601185	乌丸什长	183	25	0.7	1	8
9	601189	乌丸司马	293	25	0.7	1	7
10	601190	乌丸都伯	192	25	0.7	1	8
10	601191	乌丸都伯	192	25	0.7	1	8
11	601195	乌丸都伯	192	25	0.7	1	8
11	601196	乌丸都伯	192	25	0.7	1	8
11	601197	乌丸都伯	192	25	0.7	1	8
12	601200	乌丸都伯	192	25	0.7	1	8
12	601201	乌丸都伯	192	25	0.7	1	8
12	601202	乌丸都伯	192	25	0.7	1	8
13	601206	乌丸都伯	192	25	0.7	1	8
13	601207	乌丸都伯	192	25	0.7	1	8
14	601212	乌丸都伯	192	25	0.7	1	8
14	601213	乌丸都伯	192	25	0.7	1	8
14	601216	乌丸牙门将	307	25	0.7	1	7
0	601271	城门	698	5	0.7	2	3
0	601272	政厅	838	5	0.7	2	1
0	601273	城门	7	1	1	0	0
0	601274	城门	7	1	1	0	0
0	601275	箭楼	349	10	0.7	2	2
0	601276	水井	7	1	1	0	0
