id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	301000	王平	2000	4	0.3	1	7
0	301001	成都巡卫	700	4	0.3	1	8
0	301002	成都巡卫	700	4	0.3	1	8
0	301003	成都巡卫	700	4	0.3	1	8
0	301004	成都巡卫	700	4	0.3	1	8
0	301010	李严	2000	4	0.3	1	7
0	301011	成都巡卫	700	4	0.3	1	8
0	301012	成都巡卫	700	4	0.3	1	8
0	301013	成都巡卫	700	4	0.3	1	8
0	301014	成都巡卫	700	4	0.3	1	8
0	301020	成都巡卫	700	4	0.3	1	8
0	301021	成都巡卫	700	4	0.3	1	8
0	301022	成都巡卫	700	4	0.3	1	8
0	301023	成都巡卫	700	4	0.3	1	8
0	301024	成都巡卫	700	4	0.3	1	8
0	301030	马谡	2000	4	0.3	1	7
0	301031	成都巡卫	700	4	0.3	1	8
0	301032	成都巡卫	700	4	0.3	1	8
0	301033	成都巡卫	700	4	0.3	1	8
0	301034	成都巡卫	700	4	0.3	1	8
0	301040	成都巡卫	700	4	0.3	1	8
0	301041	成都巡卫	700	4	0.3	1	8
0	301042	成都巡卫	700	4	0.3	1	8
0	301043	成都巡卫	700	4	0.3	1	8
0	301044	成都巡卫	700	4	0.3	1	8
0	301050	赵云	2000	4	0.3	1	7
0	301051	成都巡卫	700	4	0.3	1	8
0	301052	成都巡卫	700	4	0.3	1	8
0	301053	成都巡卫	700	4	0.3	1	8
0	301054	成都巡卫	700	4	0.3	1	8
0	301060	陈到	2000	4	0.3	1	7
0	301061	成都守军	700	4	0.3	1	8
0	301062	成都守军	700	4	0.3	1	8
0	301070	魏延	2000	4	0.3	1	7
0	301071	成都守军	700	4	0.3	1	8
0	301072	成都守军	700	4	0.3	1	8
0	301080	严颜	2000	4	0.3	1	7
0	301081	成都守军	700	4	0.3	1	8
0	301082	成都守军	700	4	0.3	1	8
0	301090	张苞	2000	4	0.3	1	7
0	301091	成都守军	700	4	0.3	1	8
0	301092	成都守军	700	4	0.3	1	8
0	301100	庞统	2000	4	0.3	1	7
0	301101	皇城守军	700	4	0.3	1	8
0	301102	皇城守军	700	4	0.3	1	8
0	301110	法正	2000	4	0.3	1	7
0	301111	皇城守军	700	4	0.3	1	8
0	301112	皇城守军	700	4	0.3	1	8
0	301120	关兴	2000	4	0.3	1	7
0	301121	皇城守军	700	4	0.3	1	8
0	301122	皇城守军	700	4	0.3	1	8
0	301130	张飞	2000	4	0.3	1	7
0	301131	皇城守卫	700	4	0.3	1	8
0	301132	皇城守卫	700	4	0.3	1	8
0	301133	皇城守卫	700	4	0.3	1	8
0	301134	皇城守卫	700	4	0.3	1	8
0	301135	皇城守卫	700	4	0.3	1	8
0	301136	皇城守卫	700	4	0.3	1	8
0	301137	皇城守卫	700	4	0.3	1	8
0	301138	皇城守卫	700	4	0.3	1	8
0	301950	成都皇城大门1	1200	8	0.3	1	3
0	301951	成都皇城大门2	1200	8	0.3	1	3
0	301952	成都皇城大门3	1200	8	0.3	1	3
0	301953	成都箭楼	1000	8	0.3	1	2
0	301954	成都箭楼	1000	8	0.3	1	2
0	301955	成都岗楼	1000	8	0.3	1	2
0	301956	成都岗楼	1000	8	0.3	1	2
0	301957	成都辟邪	7000	8	0.3	1	1
0	301958	成都辟邪	7000	8	0.3	1	1
0	301959	成都辟邪	7000	8	0.3	1	1
0	301960	成都辟邪	7000	8	0.3	1	1
0	301961	成都大门	1200	8	0.3	1	3
0	301962	成都大门	1200	8	0.3	1	3
0	301963	成都大门	1200	8	0.3	1	3
0	301964	成都大门	1200	8	0.3	1	3
0	301966	成都出生点2	500	4	0.3	2	4
0	301967	成都据点1	500	4	0.3	0	4
0	301968	成都据点2	500	4	0.3	0	4
0	301969	成都据点3	500	4	0.3	0	4
0	301974	营寨1	500	4	0.3	1	4
0	301975	营寨2	500	4	0.3	1	4
0	301976	营寨3	500	4	0.3	1	4
3	301972	复活旗3	500	5	0.3	2	4
4	301973	复活旗4	500	5	0.3	2	4
5	301150	关羽	2000	5	0.3	1	7
5	301151	皇城守卫	700	5	0.3	1	8
5	301152	皇城守卫	700	5	0.3	1	8
5	301153	皇城守卫	700	5	0.3	1	8
5	301154	皇城守卫	700	5	0.3	1	8
5	301155	皇城守卫	700	5	0.3	1	8
5	301156	皇城守卫	700	5	0.3	1	8
5	301157	皇城守卫	700	5	0.3	1	8
5	301158	皇城守卫	700	5	0.3	1	8
5	301159	皇城守卫	700	5	0.3	1	8
5	301160	皇城守卫	700	5	0.3	1	8
6	301170	诸葛亮	2000	5	0.3	1	7
