id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	305000	邯郸南城门	800	8	0.3	1	3
0	305001	邯郸西城门	800	8	0.3	1	3
0	305002	邯郸东城门	800	8	0.3	1	3
0	305003	邯郸政厅	1000	20	0.3	1	1
0	305004	邯郸箭塔	1000	8	0.3	1	2
0	305005	邯郸箭塔	1000	8	0.3	1	2
0	305006	邯郸西营寨	500	4	0.3	0	4
0	305007	邯郸北营寨	500	4	0.3	0	4
0	305008	易阳营寨	500	4	0.3	2	4
200	305009	列人营寨	500	4	0.3	2	4
200	305010	肥乡营寨	500	4	0.3	2	4
0	305011	刘赦	2000	4	0.3	1	7
0	305012	先登强弩	700	4	0.3	1	8
0	305013	先登强弩	700	4	0.3	1	8
0	305014	陷阵营	700	4	0.3	1	8
0	305015	陷阵营	700	4	0.3	1	8
0	305016	逢纪	2000	4	0.3	1	7
0	305017	先登强弩	700	4	0.3	1	8
0	305018	先登强弩	700	4	0.3	1	8
0	305019	陷阵营	700	4	0.3	1	8
0	305020	陷阵营	700	4	0.3	1	8
0	305021	朱汉	2000	4	0.3	1	7
0	305022	飞熊军	700	4	0.3	1	8
0	305023	飞熊军	700	4	0.3	1	8
0	305024	陷阵营	700	4	0.3	1	8
0	305025	陷阵营	700	4	0.3	1	8
0	305026	刘丑	2000	4	0.3	1	7
0	305027	飞熊军	700	4	0.3	1	8
0	305028	飞熊军	700	4	0.3	1	8
0	305029	陷阵营	700	4	0.3	1	8
0	305030	陷阵营	700	4	0.3	1	8
0	305031	铁甲军	700	4	0.3	1	8
0	305032	先登强弩	700	4	0.3	1	8
0	305033	先登强弩	700	4	0.3	1	8
0	305034	铁甲军	700	4	0.3	1	8
0	305035	铁甲军	700	4	0.3	1	8
90	305000	邯郸南城门	1200	15	0.3	1	3
90	305001	邯郸西城门	1200	15	0.3	1	3
90	305002	邯郸东城门	1200	15	0.3	1	3
90	305003	邯郸政厅	3000	30	0.3	1	1
90	305004	邯郸箭塔	1000	15	0.3	1	2
90	305005	邯郸箭塔	1000	15	0.3	1	2
90	305006	邯郸西营寨	500	4	0.3	0	4
90	305007	邯郸北营寨	500	4	0.3	0	4
90	305008	易阳营寨	1500	8	0.3	2	4
200	305009	列人营寨	500	4	0.3	2	4
200	305010	肥乡营寨	500	4	0.3	2	4
90	305011	刘赦	2000	4	0.3	1	7
90	305012	先登强弩	700	4	0.3	1	8
90	305013	先登强弩	700	4	0.3	1	8
90	305014	陷阵营	700	4	0.3	1	8
90	305015	陷阵营	700	4	0.3	1	8
90	305016	逢纪	2000	4	0.3	1	7
90	305017	先登强弩	700	4	0.3	1	8
90	305018	先登强弩	700	4	0.3	1	8
90	305019	陷阵营	700	4	0.3	1	8
90	305020	陷阵营	700	4	0.3	1	8
90	305021	朱汉	2000	4	0.3	1	7
90	305022	飞熊军	700	4	0.3	1	8
90	305023	飞熊军	700	4	0.3	1	8
90	305024	陷阵营	700	4	0.3	1	8
90	305025	陷阵营	700	4	0.3	1	8
90	305026	刘丑	2000	4	0.3	1	7
90	305027	飞熊军	700	4	0.3	1	8
90	305028	飞熊军	700	4	0.3	1	8
90	305029	陷阵营	700	4	0.3	1	8
90	305030	陷阵营	700	4	0.3	1	8
90	305031	铁甲军	700	4	0.3	1	8
90	305032	先登强弩	700	4	0.3	1	8
90	305033	先登强弩	700	4	0.3	1	8
90	305034	铁甲军	700	4	0.3	1	8
90	305035	铁甲军	700	4	0.3	1	8
100	305003	邯郸政厅	3000	30	0.3	1	1
3	305011	刘赦	2000	4	0.3	1	7
4	305040	复活旗	500	4	0.3	2	4
5	305050	吕布	2000	4	0.3	1	7
90	120211	邯郸防守点	1000	15	3	1	4
6	305051	大宝剑	500	3	0.3	2	8
6	305052	大宝剑	500	3	0.3	2	8
6	305053	大宝剑	500	3	0.3	2	8
6	305054	大家好才是好	500	3	0.3	2	8
6	305055	大家好才是好	500	3	0.3	2	8
6	305056	大家好才是好	500	3	0.3	2	8
6	305057	奥托曼	500	3	0.3	2	8
6	305058	奥托曼	500	3	0.3	2	8
6	305059	奥托曼	500	3	0.3	2	8
