id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	308000	会稽南城门	800	8	0.3	1	3
0	308001	会稽西城门	800	8	0.3	1	3
0	308002	会稽北城门	800	8	0.3	1	3
0	308003	会稽政厅	1000	20	0.3	1	1
0	308004	会稽箭塔	1000	8	0.3	1	2
0	308005	会稽箭塔	1000	8	0.3	1	2
0	308006	会稽西营寨	500	5	0.3	0	4
0	308007	会稽北营寨	500	5	0.3	0	4
0	308008	会稽南营寨	500	5	0.3	0	4
0	308009	山阴营寨	500	5	0.3	2	4
200	308010	永兴营寨	500	5	0.3	2	4
200	308011	盐官营寨	500	5	0.3	2	4
0	308012	王朗	2000	5	0.3	1	7
0	308013	神射营	700	5	0.3	1	8
0	308014	神射营	700	5	0.3	1	8
0	308015	丹阳兵	700	5	0.3	1	8
0	308016	丹阳兵	700	5	0.3	1	8
0	308017	李异	2000	5	0.3	1	7
0	308018	神射营	700	5	0.3	1	8
0	308019	神射营	700	5	0.3	1	8
0	308020	丹阳兵	700	5	0.3	1	8
0	308021	丹阳兵	700	5	0.3	1	8
0	308022	芮良	2000	5	0.3	1	7
0	308023	神射营	700	5	0.3	1	8
0	308024	神射营	700	5	0.3	1	8
0	308025	丹阳兵	700	5	0.3	1	8
0	308026	丹阳兵	700	5	0.3	1	8
0	308027	随春	2000	5	0.3	1	7
0	308028	飞熊军	700	5	0.3	1	8
0	308029	飞熊军	700	5	0.3	1	8
0	308030	神射营	700	5	0.3	1	8
0	308031	神射营	700	5	0.3	1	8
0	308032	丹阳兵	700	5	0.3	1	8
0	308033	丹阳兵	700	5	0.3	1	8
0	308034	丹阳兵	700	5	0.3	1	8
0	308035	神射营	700	5	0.3	1	8
0	308036	神射营	700	5	0.3	1	8
90	308000	会稽南城门	1200	15	0.3	1	3
90	308001	会稽西城门	1200	15	0.3	1	3
90	308002	会稽北城门	1200	15	0.3	1	3
90	308003	会稽政厅	3000	30	0.3	1	1
90	308004	会稽箭塔	1000	15	0.3	1	2
90	308005	会稽箭塔	1000	15	0.3	1	2
90	308006	会稽西营寨	500	5	0.3	0	4
90	308007	会稽北营寨	500	5	0.3	0	4
90	308008	会稽南营寨	500	5	0.3	0	4
90	308009	山阴营寨	1500	8	0.3	2	4
200	308010	永兴营寨	500	5	0.3	2	4
200	308011	盐官营寨	500	5	0.3	2	4
90	308012	王朗	2000	5	0.3	1	7
90	308013	神射营	700	5	0.3	1	8
90	308014	神射营	700	5	0.3	1	8
90	308015	丹阳兵	700	5	0.3	1	8
90	308016	丹阳兵	700	5	0.3	1	8
90	308017	李异	2000	5	0.3	1	7
90	308018	神射营	700	5	0.3	1	8
90	308019	神射营	700	5	0.3	1	8
90	308020	丹阳兵	700	5	0.3	1	8
90	308021	丹阳兵	700	5	0.3	1	8
90	308022	芮良	2000	5	0.3	1	7
90	308023	神射营	700	5	0.3	1	8
90	308024	神射营	700	5	0.3	1	8
90	308025	丹阳兵	700	5	0.3	1	8
90	308026	丹阳兵	700	5	0.3	1	8
90	308027	随春	2000	5	0.3	1	7
90	308028	飞熊军	700	5	0.3	1	8
90	308029	飞熊军	700	5	0.3	1	8
90	308030	神射营	700	5	0.3	1	8
90	308031	神射营	700	5	0.3	1	8
90	308032	丹阳兵	700	5	0.3	1	8
90	308033	丹阳兵	700	5	0.3	1	8
90	308034	丹阳兵	700	5	0.3	1	8
90	308035	神射营	700	5	0.3	1	8
90	308036	神射营	700	5	0.3	1	8
100	308003	会稽政厅	3000	30	0.3	1	1
101	308055	张角	3000	30	0.3	1	1
7	308037	会稽政厅	3000	30	0.3	2	1
8	308038	复活旗	500	5	0.3	2	4
9	308039	张宝	2000	5	0.3	1	7
9	308040	黄巾力士	700	5	0.3	1	8
9	308041	黄巾力士	700	5	0.3	1	8
9	308042	黄巾力士	700	5	0.3	1	8
9	308043	黄巾力士	700	5	0.3	1	8
9	308044	黄巾力士	700	5	0.3	1	8
9	308045	黄巾力士	700	5	0.3	1	8
9	308046	黄巾力士	700	5	0.3	1	8
10	308047	张梁	2000	5	0.3	1	7
10	308048	黄巾射手	700	5	0.3	1	8
10	308049	黄巾射手	700	5	0.3	1	8
10	308050	黄巾射手	700	5	0.3	1	8
10	308051	黄巾射手	700	5	0.3	1	8
10	308052	黄巾射手	700	5	0.3	1	8
10	308053	黄巾射手	700	5	0.3	1	8
10	308054	黄巾射手	700	5	0.3	1	8
11	308055	张角	2000	5	0.3	1	7
11	308056	黄巾精锐	700	5	0.3	1	8
11	308057	黄巾精锐	700	5	0.3	1	8
11	308058	黄巾精锐	700	5	0.3	1	8
11	308059	黄巾精锐	700	5	0.3	1	8
11	308060	黄巾精锐	700	5	0.3	1	8
11	308061	黄巾精锐	700	5	0.3	1	8
11	308062	黄巾精锐	700	5	0.3	1	8
11	308063	黄巾精锐	700	5	0.3	1	8
90	120214	会稽防守点	1000	15	3	1	4
3	308064	99.90%	500	3	0.3	2	8
3	308065	99.90%	500	3	0.3	2	8
3	308066	99.90%	500	3	0.3	2	8
3	308067	好人	500	3	0.3	2	8
3	308068	好人	500	3	0.3	2	8
3	308069	好人	500	3	0.3	2	8
3	308070	魔王	500	3	0.3	2	8
3	308071	魔王	500	3	0.3	2	8
3	308072	魔王	500	3	0.3	2	8
