id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	306000	乐平北城门	800	8	0.3	1	3
0	306001	乐平南城门	800	8	0.3	1	3
0	306002	乐平西城门	800	8	0.3	1	3
0	306003	乐平箭楼	1000	8	0.3	1	2
0	306004	乐平箭楼	1000	8	0.3	1	2
0	306005	乐平政厅	1000	20	0.3	1	1
0	306006	上艾营寨	500	4	0.3	2	4
200	306007	沾县营寨	500	4	0.3	2	4
200	306008	少山营寨	500	4	0.3	2	4
0	306009	王博	2000	4	0.3	1	7
0	306010	神射营	700	4	0.3	1	8
0	306011	神射营	700	4	0.3	1	8
0	306012	铁甲军	700	4	0.3	1	8
0	306013	铁甲军	700	4	0.3	1	8
0	306014	赵邱	2000	4	0.3	1	7
0	306015	突骑兵	700	4	0.3	1	8
0	306016	突骑兵	700	4	0.3	1	8
0	306017	铁甲军	700	4	0.3	1	8
0	306018	铁甲军	700	4	0.3	1	8
0	306019	周奉	2000	4	0.3	1	7
0	306020	重骑兵	700	4	0.3	1	8
0	306021	重骑兵	700	4	0.3	1	8
0	306022	神射营	700	4	0.3	1	8
0	306023	神射营	700	4	0.3	1	8
0	306024	唐里	2000	4	0.3	1	7
0	306025	铁甲军	700	4	0.3	1	8
0	306026	铁甲军	700	4	0.3	1	8
0	306027	神射营	700	4	0.3	1	8
0	306028	神射营	700	4	0.3	1	8
0	306029	飞熊军	700	4	0.3	1	8
0	306030	飞熊军	700	4	0.3	1	8
0	306031	飞熊军	700	4	0.3	1	8
0	306032	神射营	700	4	0.3	1	8
0	306033	神射营	700	4	0.3	1	8
90	306000	乐平北城门	1200	15	0.3	1	3
90	306001	乐平南城门	1200	15	0.3	1	3
90	306002	乐平西城门	1200	15	0.3	1	3
90	306003	乐平箭楼	1000	15	0.3	1	2
90	306004	乐平箭楼	1000	15	0.3	1	2
90	306005	乐平政厅	3000	30	0.3	1	1
90	306006	上艾营寨	500	4	0.3	0	4
90	306007	沾县营寨	1500	8	0.3	2	4
90	306008	少山营寨	500	4	0.3	0	4
90	306009	王博	2000	4	0.3	1	7
90	306010	神射营	700	4	0.3	1	8
90	306011	神射营	700	4	0.3	1	8
90	306012	铁甲军	700	4	0.3	1	8
90	306013	铁甲军	700	4	0.3	1	8
90	306014	赵邱	2000	4	0.3	1	7
90	306015	突骑兵	700	4	0.3	1	8
90	306016	突骑兵	700	4	0.3	1	8
90	306017	铁甲军	700	4	0.3	1	8
90	306018	铁甲军	700	4	0.3	1	8
90	306019	周奉	2000	4	0.3	1	7
90	306020	重骑兵	700	4	0.3	1	8
90	306021	重骑兵	700	4	0.3	1	8
90	306022	神射营	700	4	0.3	1	8
90	306023	神射营	700	4	0.3	1	8
90	306024	唐里	2000	4	0.3	1	7
90	306025	铁甲军	700	4	0.3	1	8
90	306026	铁甲军	700	4	0.3	1	8
90	306027	神射营	700	4	0.3	1	8
90	306028	神射营	700	4	0.3	1	8
90	306029	飞熊军	700	4	0.3	1	8
90	306030	飞熊军	700	4	0.3	1	8
90	306031	飞熊军	700	4	0.3	1	8
90	306032	神射营	700	4	0.3	1	8
90	306033	神射营	700	4	0.3	1	8
100	306005	乐平政厅	3000	30	0.3	1	1
101	306052	张角	3000	30	0.3	1	1
7	306034	乐平政厅	3000	30	0.3	2	1
8	306035	复活旗	500	4	0.3	2	4
9	306036	张宝	2000	4	0.3	1	7
9	306037	黄巾力士	700	4	0.3	1	8
9	306038	黄巾力士	700	4	0.3	1	8
9	306039	黄巾力士	700	4	0.3	1	8
9	306040	黄巾力士	700	4	0.3	1	8
9	306041	黄巾力士	700	4	0.3	1	8
9	306042	黄巾力士	700	4	0.3	1	8
9	306043	黄巾力士	700	4	0.3	1	8
10	306044	张梁	2000	4	0.3	1	7
10	306045	黄巾射手	700	4	0.3	1	8
10	306046	黄巾射手	700	4	0.3	1	8
10	306047	黄巾射手	700	4	0.3	1	8
10	306048	黄巾射手	700	4	0.3	1	8
10	306049	黄巾射手	700	4	0.3	1	8
10	306050	黄巾射手	700	4	0.3	1	8
10	306051	黄巾射手	700	4	0.3	1	8
11	306052	张角	2000	4	0.3	1	7
11	306053	黄巾精锐	700	4	0.3	1	8
11	306054	黄巾精锐	700	4	0.3	1	8
11	306055	黄巾精锐	700	4	0.3	1	8
11	306056	黄巾精锐	700	4	0.3	1	8
11	306057	黄巾精锐	700	4	0.3	1	8
11	306058	黄巾精锐	700	4	0.3	1	8
11	306059	黄巾精锐	700	4	0.3	1	8
11	306060	黄巾精锐	700	4	0.3	1	8
90	120064	乐平防守点	1000	15	3	1	4
3	306063	少先队员	500	3	0.3	2	8
3	306064	少先队员	500	3	0.3	2	8
3	306065	少先队员	500	3	0.3	2	8
3	306066	赛大挺	500	3	0.3	2	8
3	306067	赛大挺	500	3	0.3	2	8
3	306068	赛大挺	500	3	0.3	2	8
3	306069	要优雅不要污	500	3	0.3	2	8
3	306070	要优雅不要污	500	3	0.3	2	8
3	306071	要优雅不要污	500	3	0.3	2	8
