id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	307000	吴县政厅	1000	20	0.3	1	1
0	307001	吴县东城门	800	8	0.3	1	3
0	307002	吴县北城门	800	8	0.3	1	3
0	307003	吴县南城门	800	8	0.3	1	3
0	307004	箭塔	1000	8	0.3	1	2
0	307005	箭塔	1000	8	0.3	1	2
0	307006	箭塔	1000	8	0.3	1	2
0	307007	箭塔	1000	8	0.3	1	2
0	307008	吴县东营寨	500	5	0.3	0	4
0	307009	吴县北营寨	500	5	0.3	0	4
0	307010	嘉兴营寨	500	5	0.3	0	4
0	307011	海盐营寨	500	5	0.3	2	4
200	307012	乌程营寨	500	5	0.3	2	4
200	307013	御亭营寨	500	5	0.3	2	4
0	307014	崔威	2000	5	0.3	1	7
0	307015	神射营	700	5	0.3	1	8
0	307016	神射营	700	5	0.3	1	8
0	307017	丹阳兵	700	5	0.3	1	8
0	307018	丹阳兵	700	5	0.3	1	8
0	307019	谭雄	2000	5	0.3	1	7
0	307020	飞熊军	700	5	0.3	1	8
0	307021	飞熊军	700	5	0.3	1	8
0	307022	丹阳兵	700	5	0.3	1	8
0	307023	丹阳兵	700	5	0.3	1	8
0	307024	刘助	2000	5	0.3	1	7
0	307025	神射营	700	5	0.3	1	8
0	307026	神射营	700	5	0.3	1	8
0	307027	丹阳兵	700	5	0.3	1	8
0	307028	丹阳兵	700	5	0.3	1	8
0	307029	许贡	2000	5	0.3	1	7
0	307030	丹阳兵	700	5	0.3	1	8
0	307031	丹阳兵	700	5	0.3	1	8
0	307032	神射营	700	5	0.3	1	8
0	307033	神射营	700	5	0.3	1	8
90	307000	吴县政厅	3000	30	0.3	1	1
90	307001	吴县东城门	1200	15	0.3	1	3
90	307002	吴县北城门	1200	15	0.3	1	3
90	307003	吴县南城门	1200	15	0.3	1	3
90	307004	箭塔	1000	15	0.3	1	2
90	307005	箭塔	1000	15	0.3	1	2
90	307006	箭塔	1000	15	0.3	1	2
90	307007	箭塔	1000	15	0.3	1	2
90	307008	吴县东营寨	500	5	0.3	0	4
90	307009	吴县北营寨	500	5	0.3	0	4
90	307010	嘉兴营寨	500	5	0.3	0	4
90	307011	海盐营寨	1500	8	0.3	2	4
200	307012	乌程营寨	500	5	0.3	2	4
200	307013	御亭营寨	500	5	0.3	2	4
90	307014	崔威	2000	5	0.3	1	7
90	307015	神射营	700	5	0.3	1	8
90	307016	神射营	700	5	0.3	1	8
90	307017	丹阳兵	700	5	0.3	1	8
90	307018	丹阳兵	700	5	0.3	1	8
90	307019	谭雄	2000	5	0.3	1	7
90	307020	飞熊军	700	5	0.3	1	8
90	307021	飞熊军	700	5	0.3	1	8
90	307022	丹阳兵	700	5	0.3	1	8
90	307023	丹阳兵	700	5	0.3	1	8
90	307024	刘助	2000	5	0.3	1	7
90	307025	神射营	700	5	0.3	1	8
90	307026	神射营	700	5	0.3	1	8
90	307027	丹阳兵	700	5	0.3	1	8
90	307028	丹阳兵	700	5	0.3	1	8
90	307029	许贡	2000	5	0.3	1	7
90	307030	丹阳兵	700	5	0.3	1	8
90	307031	丹阳兵	700	5	0.3	1	8
90	307032	神射营	700	5	0.3	1	8
90	307033	神射营	700	5	0.3	1	8
100	307000	吴县政厅	3000	30	0.3	1	1
3	307029	许贡	2000	5	0.3	1	7
4	307040	复活旗	500	5	0.3	2	4
5	307050	吕布	2000	5	0.3	1	7
90	120213	吴县防守点	1000	15	3	1	4
6	307051	八风特	500	3	0.3	2	8
6	307052	八风特	500	3	0.3	2	8
6	307053	八风特	500	3	0.3	2	8
6	307054	铜锣烧	500	3	0.3	2	8
6	307055	铜锣烧	500	3	0.3	2	8
6	307056	铜锣烧	500	3	0.3	2	8
6	307057	虎式	500	3	0.3	2	8
6	307058	虎式	500	3	0.3	2	8
6	307059	虎式	500	3	0.3	2	8
