id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	304000	越隽东城门	800	8	0.3	1	3
0	304001	越隽西城门	800	8	0.3	1	3
0	304002	越隽政厅	1000	20	0.3	1	1
0	304003	越隽箭塔	1000	8	0.3	1	2
0	304004	越隽箭塔	1000	8	0.3	1	2
0	304005	台登营寨	500	4	0.3	2	4
200	304006	南广营寨	500	4	0.3	2	4
0	304007	高定	2000	4	0.3	1	7
0	304008	蛮兵	700	4	0.3	1	8
0	304009	蛮兵	700	4	0.3	1	8
0	304010	蛮兵	700	4	0.3	1	8
0	304011	蛮兵	700	4	0.3	1	8
0	304012	弩兵	700	4	0.3	1	8
0	304013	弩兵	700	4	0.3	1	8
0	304014	高冲	2000	4	0.3	1	7
0	304015	飞刀兵	700	4	0.3	1	8
0	304016	飞刀兵	700	4	0.3	1	8
0	304017	蛮兵	700	4	0.3	1	8
0	304018	蛮兵	700	4	0.3	1	8
0	304019	高枣	2000	4	0.3	1	7
0	304020	飞刀兵	700	4	0.3	1	8
0	304021	飞刀兵	700	4	0.3	1	8
0	304022	蛮兵	700	4	0.3	1	8
0	304023	蛮兵	700	4	0.3	1	8
0	304024	箭楼	1000	8	0.3	1	6
0	304025	重步兵	700	4	0.3	1	8
0	304026	弩兵	700	4	0.3	1	8
0	304027	箭楼	1000	8	0.3	1	6
0	304028	重步兵	700	4	0.3	1	8
0	304029	重步兵	700	4	0.3	1	8
0	304030	蛮兵	700	4	0.3	1	8
0	304031	蛮兵	700	4	0.3	1	8
0	304032	蛮兵	700	4	0.3	1	8
0	304033	蛮兵	700	4	0.3	1	8
0	304034	蛮兵	700	4	0.3	1	8
0	304035	蛮兵	700	4	0.3	1	8
0	304036	蛮兵	700	4	0.3	1	8
0	304037	蛮兵	700	4	0.3	1	8
0	304038	飞刀兵	700	4	0.3	1	8
0	304039	飞刀兵	700	4	0.3	1	8
0	304040	蛮兵	700	4	0.3	1	8
0	304041	蛮兵	700	4	0.3	1	8
0	304042	蛮兵	700	4	0.3	1	8
0	304070	据点	500	4	0.3	2	4
90	304000	越隽东城门	1200	15	0.3	1	3
90	304001	越隽西城门	1200	15	0.3	1	3
90	304002	越隽政厅	3000	30	0.3	1	1
90	304003	越隽箭塔	1000	15	0.3	1	2
90	304004	越隽箭塔	1000	15	0.3	1	2
90	304005	台登营寨	1500	8	0.3	2	4
200	304006	南广营寨	500	4	0.3	2	4
90	304007	高定	2000	4	0.3	1	7
90	304008	蛮兵	700	4	0.3	1	8
90	304009	蛮兵	700	4	0.3	1	8
90	304010	蛮兵	700	4	0.3	1	8
90	304011	蛮兵	700	4	0.3	1	8
90	304012	弩兵	700	4	0.3	1	8
90	304013	弩兵	700	4	0.3	1	8
90	304014	高冲	2000	4	0.3	1	7
90	304015	飞刀兵	700	4	0.3	1	8
90	304016	飞刀兵	700	4	0.3	1	8
90	304017	蛮兵	700	4	0.3	1	8
90	304018	蛮兵	700	4	0.3	1	8
90	304019	高枣	2000	4	0.3	1	7
90	304020	飞刀兵	700	4	0.3	1	8
90	304021	飞刀兵	700	4	0.3	1	8
90	304022	蛮兵	700	4	0.3	1	8
90	304023	蛮兵	700	4	0.3	1	8
90	304024	箭楼	1000	8	0.3	1	6
90	304025	重步兵	700	4	0.3	1	8
90	304026	弩兵	700	4	0.3	1	8
90	304027	箭楼	1000	8	0.3	1	6
90	304028	重步兵	700	4	0.3	1	8
90	304029	重步兵	700	4	0.3	1	8
90	304030	蛮兵	700	4	0.3	1	8
90	304031	蛮兵	700	4	0.3	1	8
90	304032	蛮兵	700	4	0.3	1	8
90	304033	蛮兵	700	4	0.3	1	8
90	304034	蛮兵	700	4	0.3	1	8
90	304035	蛮兵	700	4	0.3	1	8
90	304036	蛮兵	700	4	0.3	1	8
90	304037	蛮兵	700	4	0.3	1	8
90	304038	飞刀兵	700	4	0.3	1	8
90	304039	飞刀兵	700	4	0.3	1	8
90	304040	蛮兵	700	4	0.3	1	8
90	304041	蛮兵	700	4	0.3	1	8
90	304042	蛮兵	700	4	0.3	1	8
90	304070	据点	500	4	0.3	2	4
100	304002	越隽政厅	3000	30	0.3	1	1
101	304061	张角	3000	30	0.3	1	1
7	304043	越隽政厅	3000	30	0.3	2	1
8	304044	复活旗	500	4	0.3	2	4
9	304045	张宝	2000	4	0.3	1	7
9	304046	黄巾力士	700	4	0.3	1	8
9	304047	黄巾力士	700	4	0.3	1	8
9	304048	黄巾力士	700	4	0.3	1	8
9	304049	黄巾力士	700	4	0.3	1	8
9	304050	黄巾力士	700	4	0.3	1	8
9	304051	黄巾力士	700	4	0.3	1	8
9	304052	黄巾力士	700	4	0.3	1	8
10	304053	张梁	2000	4	0.3	1	7
10	304054	黄巾射手	700	4	0.3	1	8
10	304055	黄巾射手	700	4	0.3	1	8
10	304056	黄巾射手	700	4	0.3	1	8
10	304057	黄巾射手	700	4	0.3	1	8
10	304058	黄巾射手	700	4	0.3	1	8
10	304059	黄巾射手	700	4	0.3	1	8
10	304060	黄巾射手	700	4	0.3	1	8
11	304061	张角	2000	4	0.3	1	7
11	304062	黄巾精锐	700	4	0.3	1	8
11	304063	黄巾精锐	700	4	0.3	1	8
11	304064	黄巾精锐	700	4	0.3	1	8
11	304065	黄巾精锐	700	4	0.3	1	8
11	304066	黄巾精锐	700	4	0.3	1	8
11	304067	黄巾精锐	700	4	0.3	1	8
11	304068	黄巾精锐	700	4	0.3	1	8
11	304069	黄巾精锐	700	4	0.3	1	8
