id	instanceid	цШЁф	йЩа©	HP╠╤йЩ	╧╔╩В╠╤йЩ	уСс╙	╫ги╚юЮпм
0	207401	с╙у╞	2898	1.5	2	2	4
0	207402	м╤й╞Ё╣	4745	1	0.1	2	12
0	207403	м╤й╞Ё╣	4745	1	0.1	2	12
0	207404	Ёб╡жйьню	1949	2	2	1	8
0	207405	Ёб╡жйьню	1949	2	2	1	8
0	207406	Ёб╡жйьню	1949	2	2	1	8
0	207407	Ёб╡жйьню	1949	2	2	1	8
0	207408	Ёб╡жйьню	1949	2	2	1	8
0	207409	Ёб╡жйьню	1949	2	2	1	8
0	207410	Ёб╡жйьню	1949	2	2	1	8
0	207411	Ёб╡жйьню	1949	2	2	1	8
0	207412	и╫тТ	1949	2	2	1	8
0	207413	и╫тТ	1949	2	2	1	8
0	207414	и╫тТ	1949	2	2	1	8
0	207415	уеР╒	3139	2	2	1	7
0	207417	Ёб╡жя╡из	1949	2	2	1	8
0	207418	Ёб╡жя╡из	1949	2	2	1	8
0	207419	Ёб╡жя╡ню	3139	2	2	1	7
0	207420	Ёб╡жйлню	1949	2	2	1	8
0	207421	Ёб╡жйлню	1949	2	2	1	8
0	207422	Ёб╡жйьню	1949	2	2	1	8
0	207423	Ёб╡жйьню	1949	2	2	1	8
0	207424	Ёб╡жйьню	1949	2	2	1	8
0	207425	Ёб╡жйьню	1949	2	2	1	8
0	207426	╨буя	3139	2	2	1	7
0	207427	к╝╬╝	38	1	1	0	0
0	207428	к╝╬╝	38	1	1	0	0
0	207429	╬эбМ	38	1	1	0	0
0	207430	╬эбМ	38	1	1	0	0
0	207431	╬эбМ	38	1	1	0	0
0	207432	Ёгце	38	1	1	0	0
0	207433	Ёгце	38	1	1	0	0
1	207402	м╤й╞Ё╣	4745	1	0.1	2	12
1	207403	м╤й╞Ё╣	4745	1	0.1	2	12
2	207412	и╫тТ	1949	2	2	1	8
2	207413	и╫тТ	1949	2	2	1	8
2	207414	и╫тТ	1949	2	2	1	8
3	207415	уеР╒	3139	2	2	1	7
4	207416	╬эбМ	38	1	1	0	0
5	207417	Ёб╡жя╡из	1949	2	2	1	8
5	207418	Ёб╡жя╡из	1949	2	2	1	8
6	207419	Ёб╡жя╡ню	1949	2	2	1	8
7	207434	╠╕оД	38	1	1	0	0
8	207420	Ёб╡жйлню	1949	2	2	1	8
8	207421	Ёб╡жйлню	1949	2	2	1	8
9	207433	Ёгце	38	1	1	0	0
10	207426	╨буя	3139	2	2	1	7
11	207404	Ёб╡жйьню	1949	2	2	1	8
11	207405	Ёб╡жйьню	1949	2	2	1	8
11	207406	Ёб╡жйьню	1949	2	2	1	8
11	207407	Ёб╡жйьню	1949	2	2	1	8
11	207408	Ёб╡жйьню	1949	2	2	1	8
11	207409	Ёб╡жйьню	1949	2	2	1	8
11	207410	Ёб╡жйьню	1949	2	2	1	8
11	207411	Ёб╡жйьню	1949	2	2	1	8
11	207412	и╫тТ	1949	2	2	1	8
11	207413	и╫тТ	1949	2	2	1	8
11	207414	и╫тТ	1949	2	2	1	8
11	207415	уеР╒	3139	2	2	1	7
11	207417	Ёб╡жя╡из	1949	2	2	1	8
11	207418	Ёб╡жя╡из	1949	2	2	1	8
11	207419	Ёб╡жя╡ню	1949	2	2	1	8
11	207420	Ёб╡жйлню	1949	2	2	1	8
11	207421	Ёб╡жйлню	1949	2	2	1	8
11	207422	Ёб╡жйьню	1949	2	2	1	8
11	207423	Ёб╡жйьню	1949	2	2	1	8
11	207424	Ёб╡жйьню	1949	2	2	1	8
11	207425	Ёб╡жйьню	1949	2	2	1	8
11	207426	╨буя	3139	2	2	1	7
