id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	206301	丹阳兵	881	2	2	1	8
0	206302	丹阳兵	881	2	2	1	8
0	206303	丹阳兵	881	2	2	1	8
0	206307	劫匪	881	2	2	1	8
0	206308	劫匪	881	2	2	1	8
0	206309	路霸	881	2	2	1	8
0	206310	路霸	881	2	2	1	8
0	206311	喽啰	881	2	2	1	8
0	206312	喽啰	881	2	2	1	8
0	206313	山贼头领	1098	2	2	1	7
0	206314	宝箱	23	1	1	0	0
0	206315	水井	23	1	1	0	0
0	206316	拒马	23	1	1	0	0
0	206317	拒马	23	1	1	0	0
0	206318	拒马	23	1	1	0	0
0	206319	拒马	23	1	1	0	0
1	206301	丹阳兵	881	2	2	1	8
1	206302	丹阳兵	881	2	2	1	8
1	206303	丹阳兵	881	2	2	1	8
2	206304	丹阳兵	3907	1	0.1	2	12
2	206305	丹阳兵	3907	1	0.1	2	12
2	206306	丹阳兵	3907	1	0.1	2	12
3	206316	拒马	23	1	1	0	0
3	206317	拒马	23	1	1	0	0
4	206313	山贼头领	1098	2	2	1	7
5	206307	劫匪	881	2	2	1	8
5	206308	劫匪	881	2	2	1	8
5	206309	路霸	881	2	2	1	8
5	206310	路霸	881	2	2	1	8
5	206311	喽啰	881	2	2	1	8
5	206312	喽啰	881	2	2	1	8
5	206313	山贼头领	1098	2	2	1	7
6	206315	水井	23	1	1	0	0
