id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	205401	汉中城门	16	1	1	0	0
0	205402	汉中箭塔	1600	1.5	0.5	1	2
0	205403	汉中箭塔	1600	1.5	0.5	1	2
0	205404	汉中侍卫	400	2	2	1	8
0	205405	汉中侍卫	400	2	2	1	8
0	205407	汉中侍卫	400	2	2	1	8
0	205408	汉中侍卫	400	2	2	1	8
0	205410	汉中侍卫	400	2	2	1	8
0	205411	汉中侍卫	400	2	2	1	8
0	205413	汉中侍卫	400	2	2	1	8
0	205414	汉中侍卫	400	2	2	1	8
0	205416	张清	480	2	2	1	7
0	205417	汉中侍卫	400	2	2	1	8
0	205418	汉中侍卫	400	2	2	1	8
0	205419	拒马	16	1	1	0	0
0	205420	杨柏	480	2	2	1	7
0	205421	汉中侍卫	400	2	2	1	8
0	205422	汉中侍卫	400	2	2	1	8
0	205424	汉中巡卫	400	2	2	1	8
0	205425	汉中巡卫	400	2	2	1	8
0	205426	汉中巡卫	400	2	2	1	8
0	205427	汉中巡卫	400	2	2	1	8
0	205428	汉中巡卫	400	2	2	1	8
0	205429	汉中巡卫	400	2	2	1	8
0	205430	汉中巡卫	400	2	2	1	8
0	205431	汉中巡卫	400	2	2	1	8
0	205432	汉中巡卫	400	2	2	1	8
0	205433	汉中巡卫	400	2	2	1	8
0	205434	汉中巡卫	400	2	2	1	8
0	205435	汉中巡卫	400	2	2	1	8
0	205436	井水	16	1	1	0	0
0	205437	宝箱	16	1	1	0	0
1	205404	汉中侍卫	400	2	2	1	8
1	205405	汉中侍卫	400	2	2	1	8
2	205406	家丁	2000	1	0.1	2	12
3	205407	汉中侍卫	400	2	2	1	8
3	205408	汉中侍卫	400	2	2	1	8
4	205409	家丁	2000	1	0.1	2	12
5	205410	汉中侍卫	400	2	2	1	8
5	205411	汉中侍卫	400	2	2	1	8
6	205412	家丁	2000	1	0.1	2	12
7	205413	汉中侍卫	400	2	2	1	8
7	205414	汉中侍卫	400	2	2	1	8
8	205415	家丁	2000	1	0.1	2	12
9	205416	张清	480	2	2	1	7
9	205417	汉中侍卫	400	2	2	1	8
9	205418	汉中侍卫	400	2	2	1	8
10	205419	拒马	16	1	1	0	0
10	205401	汉中城门	16	1	1	0	0
11	205423	马超家眷	2000	1	0.1	2	12
12	205406	家丁	2000	1	0.1	2	12
12	205409	家丁	2000	1	0.1	2	12
12	205412	家丁	2000	1	0.1	2	12
12	205415	家丁	2000	1	0.1	2	12
