id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	207901	李肃	6180	2	2	1	7
0	207902	西凉军	3984	2	2	1	8
0	207903	西凉军	3984	2	2	1	8
0	207907	李儒	6180	2	2	1	7
0	207908	西凉军	3984	2	2	1	8
0	207909	西凉军	3984	2	2	1	8
0	207911	李傕	6180	2	2	1	7
0	207912	西凉军	3984	2	2	1	8
0	207913	西凉军	3984	2	2	1	8
0	207914	郭汜	6180	2	2	1	7
0	207915	西凉军	3984	2	2	1	8
0	207916	西凉军	3984	2	2	1	8
0	207917	西凉军	3984	2	2	1	8
0	207918	西凉军	3984	2	2	1	8
0	207925	拒马	39	1	1	0	0
0	207926	拒马	39	1	1	0	0
0	207927	拒马	39	1	1	0	0
0	207928	拒马	39	1	1	0	0
0	207929	拒马	39	1	1	0	0
0	207930	拒马	39	1	1	0	0
0	207931	拒马	39	1	1	0	0
0	207932	水井	39	1	1	0	0
0	207933	水井	39	1	1	0	0
0	207934	水井	39	1	1	0	0
0	207935	宝箱	39	1	1	0	0
1	207901	李肃	6180	2	2	1	7
1	207902	西凉军	3984	2	2	1	8
1	207903	西凉军	3984	2	2	1	8
2	207925	拒马	39	1	1	0	0
3	207920	西凉军	3984	2	2	1	8
3	207921	西凉军	3984	2	2	1	8
3	207922	西凉军	3984	2	2	1	8
3	207923	西凉军	3984	2	2	1	8
4	207904	徐荣	6180	2	2	1	7
4	207905	西凉军	3984	2	2	1	8
4	207906	西凉军	3984	2	2	1	8
5	207924	刘辩	3984	2	2	2	8
6	207907	李儒	6180	2	2	1	7
6	207908	西凉军	3984	2	2	1	8
6	207909	西凉军	3984	2	2	1	8
7	207910	张济	6180	2	2	1	7
8	207926	拒马	39	1	1	0	0
9	207911	李傕	6180	2	2	1	7
9	207912	西凉军	3984	2	2	1	8
9	207913	西凉军	3984	2	2	1	8
10	207914	郭汜	6180	2	2	1	7
10	207915	西凉军	3984	2	2	1	8
10	207916	西凉军	3984	2	2	1	8
11	207919	吕布	6180	2	2	1	7
12	207932	水井	39	1	1	0	0
12	207933	水井	39	1	1	0	0
12	207934	水井	39	1	1	0	0
13	207917	西凉军	3984	2	2	1	8
13	207918	西凉军	3984	2	2	1	8
