id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	206701	建安箭塔	2561	1.5	0.5	1	2
0	206702	建安箭塔	2561	1.5	0.5	1	2
0	206703	百姓	3202	1	0.1	2	12
0	206704	建安守将	1968	2	2	1	7
0	206705	建安守军	1240	2	2	1	8
0	206706	建安守军	1240	2	2	1	8
0	206707	建安守军	1240	2	2	1	8
0	206708	建安守军	1240	2	2	1	8
0	206709	建安守军	1240	2	2	1	8
0	206710	建安驻军	1240	2	2	1	8
0	206711	建安驻军	1240	2	2	1	8
0	206726	贺齐	1968	2	2	1	7
0	206727	宝箱	26	1	1	0	0
0	206728	水井	26	1	1	0	0
0	206729	水井	26	1	1	0	0
0	206730	拒马	26	1	1	0	0
0	206731	拒马	26	1	1	0	0
0	206737	拒马	26	1	1	0	0
0	206738	拒马	26	1	1	0	0
0	206739	拒马	26	1	1	0	0
0	206741	拒马	26	1	1	0	0
0	206742	拒马	26	1	1	0	0
0	206743	拒马	26	1	1	0	0
0	206744	拒马	26	1	1	0	0
0	206745	拒马	26	1	1	0	0
0	206746	拒马	26	1	1	0	0
0	206747	拒马	26	1	1	0	0
0	206748	拒马	26	1	1	0	0
1	206713	建安伏军	1240	2	2	1	8
1	206714	建安伏军	1240	2	2	1	8
1	206715	建安伏军	1240	2	2	1	8
2	206716	建安守军	1240	2	2	1	8
2	206717	建安守军	1240	2	2	1	8
2	206718	建安守军	1240	2	2	1	8
3	206719	建安伏军	1240	2	2	1	8
3	206720	建安伏军	1240	2	2	1	8
3	206721	建安伏军	1240	2	2	1	8
3	206722	建安伏军	1240	2	2	1	8
3	206723	建安伏军	1240	2	2	1	8
3	206724	建安伏军	1240	2	2	1	8
3	206725	建安伏军	1240	2	2	1	8
4	206732	拒马	26	1	1	0	0
4	206733	拒马	26	1	1	0	0
4	206734	拒马	26	1	1	0	0
5	206735	拒马	26	1	1	0	0
5	206736	拒马	26	1	1	0	0
6	206740	拒马	26	1	1	0	0
7	206712	太史慈	6403	2	0.1	2	13
8	206704	建安守将	1968	2	2	1	7
9	206730	拒马	26	1	1	0	0
9	206731	拒马	26	1	1	0	0
10	206705	建安守军	1240	2	2	1	8
10	206706	建安守军	1240	2	2	1	8
11	206728	水井	26	1	1	0	0
11	206729	水井	26	1	1	0	0
12	206710	建安驻军	1240	2	2	1	8
12	206711	建安驻军	1240	2	2	1	8
13	206737	拒马	26	1	1	0	0
13	206738	拒马	26	1	1	0	0
13	206739	拒马	26	1	1	0	0
14	206727	宝箱	26	1	1	0	0
15	206726	贺齐	1968	2	2	1	7
16	206703	百姓	3202	2	0.1	2	12
