id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	197000	江陵守军	205	2	2	1	8
0	197001	江陵守军	205	2	2	1	8
0	197002	江陵守军	205	2	2	1	8
0	197010	刘石	290	2	2	1	7
0	197011	江陵守军	205	2	2	1	8
0	197012	江陵守军	205	2	2	1	8
0	197020	刘磐	290	2	2	1	7
0	197021	江陵守军	205	2	2	1	8
0	197022	江陵守军	205	2	2	1	8
0	197040	曹仁	419	2	1.8	1	9
0	197041	曹仁军	205	2	2	1	8
0	197042	曹仁军	205	2	2	1	8
0	197900	江陵城门	398	1.5	2	1	3
0	197901	江陵箭塔	398	1.5	0.5	1	2
0	197902	水井	13	1	1	0	0
0	197903	神秘宝箱	13	1	1	0	0
0	197904	拒马	13	1	1	0	0
0	197905	拒马	13	1	1	0	0
0	197906	拒马	13	1	1	0	0
0	197907	拒马	13	1	1	0	0
0	197908	拒马	13	1	1	0	0
0	197909	拒马	13	1	1	0	0
0	197910	拒马	13	1	1	0	0
0	197911	拒马	13	1	1	0	0
0	197912	拒马	13	1	1	0	0
0	197913	拒马	13	1	1	0	0
1	197000	江陵守军	205	2	2	1	8
1	197001	江陵守军	205	2	2	1	8
1	197002	江陵守军	205	2	2	1	8
2	197010	刘石	290	2	2	1	7
2	197011	江陵守军	205	2	2	1	8
2	197012	江陵守军	205	2	2	1	8
3	197020	刘磐	290	2	2	1	7
3	197021	江陵守军	205	2	2	1	8
3	197022	江陵守军	205	2	2	1	8
4	197904	拒马	13	1	1	0	0
5	197030	魏延	290	2	2	1	7
5	197031	魏延军	205	2	2	1	8
5	197032	魏延军	205	2	2	1	8
6	197040	曹仁	319	2	1.8	1	9
6	197041	曹仁军	205	2	2	1	8
6	197042	曹仁军	205	2	2	1	8
7	197902	水井	13	1	1	0	0
100	197040	曹仁	319	2	1.8	1	9
