id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	206200	严白鼠	792	2	2	1	7
0	206201	黑山步兵	676	2	2	1	8
0	206202	黑山步兵	676	2	2	1	8
0	206203	黑山步兵	676	2	2	1	8
0	206204	黑山步兵	676	2	2	1	8
0	206205	黑山步兵	676	2	2	1	8
0	206206	黑山骑兵	676	2	2	1	8
0	206207	黑山骑兵	676	2	2	1	8
0	206208	黑山骑兵	676	2	2	1	8
0	206209	严白猫	792	2	2	1	7
0	206210	严白虎	792	2	2	1	7
0	206211	黑山弩兵	676	2	2	1	8
0	206212	黑山弩兵	676	2	2	1	8
0	206213	黑山弩兵	676	2	2	1	8
0	206214	黑山弩兵	676	2	2	1	8
0	206215	严白龙	792	2	2	1	7
0	206216	拒马	23	1	1	0	0
0	206217	拒马	23	1	1	0	0
0	206218	拒马	23	1	1	0	0
0	206219	水井	23	1	1	0	0
0	206220	水井	23	1	1	0	0
0	206221	神秘宝箱	23	1	1	0	0
0	206222	建业政厅	3458	1.5	2	1	1
0	206223	建业箭楼	2306	1.5	0.5	1	2
0	206224	建业箭楼	2306	1.5	0.5	1	2
0	206225	建业箭楼	2306	1.5	0.5	1	2
0	206226	建业箭楼	2306	1.5	0.5	1	2
1	206200	严白鼠	792	2	2	1	7
1	206201	黑山步兵	676	2	2	1	8
1	206202	黑山步兵	676	2	2	1	8
2	206216	拒马	23	1	1	0	0
3	206209	严白猫	792	2	2	1	7
4	206227	神秘宝箱	23	1	1	0	0
5	206210	严白虎	792	2	2	1	7
6	206211	黑山弩兵	676	2	2	1	8
6	206212	黑山弩兵	676	2	2	1	8
7	206213	黑山弩兵	676	2	2	1	8
7	206214	黑山弩兵	676	2	2	1	8
8	206215	严白龙	792	2	2	1	7
9	206217	拒马	23	1	1	0	0
9	206218	拒马	23	1	1	0	0
10	206200	严白鼠	792	2	2	1	7
10	206201	黑山步兵	676	2	2	1	8
10	206202	黑山步兵	676	2	2	1	8
10	206203	黑山步兵	676	2	2	1	8
10	206204	黑山步兵	676	2	2	1	8
10	206205	黑山步兵	676	2	2	1	8
10	206206	黑山骑兵	676	2	2	1	8
10	206207	黑山骑兵	676	2	2	1	8
10	206208	黑山骑兵	676	2	2	1	8
10	206209	严白猫	792	2	2	1	7
10	206210	严白虎	792	2	2	1	7
10	206211	黑山弩兵	676	2	2	1	8
10	206212	黑山弩兵	676	2	2	1	8
10	206213	黑山弩兵	676	2	2	1	8
10	206214	黑山弩兵	676	2	2	1	8
10	206215	严白龙	792	2	2	1	7
11	206219	水井	23	1	1	0	0
11	206220	水井	23	1	1	0	0
