id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	207701	许综	5164	2	2	1	7
0	207702	长安守卫	2970	2	2	1	8
0	207703	长安守卫	2970	2	2	1	8
0	207704	长安守卫	2970	2	2	1	8
0	207705	长安守卫	2970	2	2	1	8
0	207709	夏侯充	5164	2	2	1	7
0	207710	长安守卫	2970	2	2	1	8
0	207711	长安守卫	2970	2	2	1	8
0	207712	夏侯霸	5164	2	2	1	7
0	207713	长安守卫	2970	2	2	1	8
0	207714	长安守卫	2970	2	2	1	8
0	207715	夏侯玄	5164	2	2	1	7
0	207716	长安守卫	2970	2	2	1	8
0	207717	长安守卫	2970	2	2	1	8
0	207718	夏侯楙	5164	2	2	1	7
0	207733	魏延	9698	2	0.1	2	13
0	207734	长安箭塔	3879	1.5	0.5	1	2
0	207735	长安箭塔	3879	1.5	0.5	1	2
0	207736	长安箭塔	3879	1.5	0.5	1	2
0	207737	长安箭塔	3879	1.5	0.5	1	2
0	207738	辟邪	5819	1.5	2	1	1
0	207739	辟邪	5819	1.5	2	1	1
0	207740	辟邪	5819	1.5	2	1	1
0	207741	辟邪	5819	1.5	2	1	1
0	207742	据点	1940	1.5	2	1	4
0	207744	宝箱	39	1	1	1	0
0	207745	拒马1	39	1	1	1	0
0	207746	拒马2	39	1	1	1	0
0	207747	拒马3	39	1	1	1	0
0	207748	拒马4	39	1	1	1	0
0	207749	拒马5	39	1	1	1	0
0	207750	拒马	39	1	1	1	0
0	207751	拒马	39	1	1	1	0
0	207752	拒马	39	1	1	1	0
0	207753	拒马	39	1	1	1	0
0	207754	拒马	39	1	1	1	0
0	207755	拒马	39	1	1	1	0
0	207756	拒马	39	1	1	1	0
0	207757	水井1	39	1	1	1	0
0	207758	水井2	39	1	1	1	0
1	207701	许综	5164	2	2	1	7
2	207745	拒马1	39	1	1	1	0
3	207742	据点	2940	1.5	2	1	4
4	207743	据点	2940	1.5	2	2	4
5	207706	典满	5164	2	2	1	7
5	207707	长安守卫	2970	2	2	1	8
5	207708	长安守卫	2970	2	2	1	8
6	207709	夏侯充	5164	2	2	1	7
6	207710	长安守卫	2970	2	2	1	8
6	207711	长安守卫	2970	2	2	1	8
7	207712	夏侯霸	5164	2	2	1	7
7	207713	长安守卫	2970	2	2	1	8
7	207714	长安守卫	2970	2	2	1	8
8	207715	夏侯玄	5164	2	2	1	7
8	207716	长安守卫	2970	2	2	1	8
8	207717	长安守卫	2970	2	2	1	8
9	207746	拒马2	39	1	1	1	0
9	207747	拒马3	39	1	1	1	0
9	207748	拒马4	39	1	1	1	0
9	207749	拒马5	39	1	1	1	0
10	207733	魏延	9698	2	0.1	2	13
11	207719	长安守卫	2970	2	2	1	8
11	207720	长安守卫	2970	2	2	1	8
12	207721	诸葛亮	9698	2	0.1	2	13
13	207722	司马懿	5164	2	2	1	7
13	207723	长安援军	2970	2	2	1	8
13	207724	长安援军	2970	2	2	1	8
13	207725	长安援军	2970	2	2	1	8
13	207726	长安援军	2970	2	2	1	8
13	207727	长安援军	2970	2	2	1	8
13	207728	长安援军	2970	2	2	1	8
13	207729	长安援军	2970	2	2	1	8
13	207730	长安援军	2970	2	2	1	8
13	207731	长安援军	2970	2	2	1	8
13	207732	长安援军	2970	2	2	1	8
14	207757	水井1	39	1	1	1	0
14	207758	水井2	39	1	1	1	0
