id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	157000	王宏	68	2	1.8	1	9
0	157010	长戟兵	42	2	2	1	8
0	157020	长戟兵	42	2	2	1	8
0	157030	黄巾步兵	42	2	2	1	8
0	157040	黄巾步兵	42	2	2	1	8
0	157050	黄巾弓兵	42	2	2	1	8
0	157060	百姓	212	999	0.1	2	12
0	157070	百姓	212	999	0.1	2	12
0	157080	百姓	212	999	0.1	2	12
0	157900	水井	2	1	1	0	0
0	157901	拒马1	2	1	1	0	0
0	157902	拒马2	2	1	1	0	0
0	157903	拒马3	2	1	1	0	0
0	157904	拒马4	2	1	1	0	0
0	157905	拒马5	2	1	1	0	0
1	157060	百姓	212	999	0.1	2	12
1	157070	百姓	212	999	0.1	2	12
1	157080	百姓	212	999	0.1	2	12
2	157030	黄巾步兵	42	2	2	1	8
2	157040	黄巾步兵	42	2	2	1	8
2	157050	黄巾弓兵	42	2	2	1	8
3	157900	水井	2	1	1	0	0
100	157000	王宏	68	2	1.8	1	9
