id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	206501	会稽城门	24	1	1	0	0
0	206502	会稽城门	24	1	1	0	0
0	206503	会稽城门	24	1	1	0	0
0	206504	会稽政厅	3549	1.5	2	1	1
0	206505	会稽箭塔	2366	1.5	0.5	1	2
0	206506	会稽箭塔	2366	1.5	0.5	1	2
0	206507	太史慈	1710	2	2	1	7
0	206508	会稽守军	1091	2	2	1	8
0	206509	会稽守军	1091	2	2	1	8
0	206511	神亭小将	1710	2	2	1	7
0	206513	刘繇	1710	2	2	1	7
0	206514	宝箱	24	1	1	0	0
0	206515	水井	24	1	1	0	0
0	206516	拒马	24	1	1	0	0
0	206517	拒马	24	1	1	0	0
0	206518	拒马	24	1	1	0	0
0	206519	拒马	24	1	1	0	0
0	206520	拒马	24	1	1	0	0
0	206521	拒马	24	1	1	0	0
0	206522	拒马	24	1	1	0	0
0	206523	拒马	24	1	1	0	0
0	206525	拒马	24	1	1	0	0
0	206526	拒马	24	1	1	0	0
0	206527	拒马	24	1	1	0	0
0	206528	拒马	24	1	1	0	0
0	206529	拒马	24	1	1	0	0
1	206507	太史慈	1710	2	2	1	7
2	206508	会稽守军	1091	2	2	1	8
2	206509	会稽守军	1091	2	2	1	8
3	206516	拒马	24	1	1	0	0
4	206510	太史慈	1710	2	2	1	7
5	206520	拒马	24	1	1	0	0
6	206511	神亭小将	1710	2	2	1	7
7	206512	太史慈	1710	2	2	1	7
8	206513	刘繇	1710	2	2	1	7
9	206515	水井	24	1	1	0	0
10	206521	拒马	24	1	1	0	0
10	206522	拒马	24	1	1	0	0
10	206523	拒马	24	1	1	0	0
11	206525	拒马	24	1	1	0	0
12	206503	会稽城门	24	1	1	0	0
