id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
2	206901	周泰	3081	2	2	1	7
0	206902	水匪	1651	2	2	1	8
0	206903	水匪	1651	2	2	1	8
0	206904	水匪	1651	2	2	1	8
0	206905	水匪	1651	2	2	1	8
0	206906	水匪根据地	2301	1.5	2	1	4
0	206907	蒋钦	3081	2	2	1	7
0	206908	精锐水匪	1651	2	2	1	8
0	206909	精锐水匪	1651	2	2	1	8
0	206912	水井	26	1	1	0	0
0	206913	拒马	26	1	1	0	0
0	206914	拒马	26	1	1	0	0
0	206915	拒马	26	1	1	0	0
0	206916	拒马	26	1	1	0	0
0	206917	拒马	26	1	1	0	0
0	206918	拒马	26	1	1	0	0
0	206919	拒马	26	1	1	0	0
0	206920	拒马	26	1	1	0	0
1	206910	蒋钦	3081	2	2	1	7
1	206911	周泰	3081	2	2	1	7
3	206913	拒马	26	1	1	0	0
3	206914	拒马	26	1	1	0	0
4	206907	蒋钦	3081	2	2	1	7
4	206908	精锐水匪	1651	2	2	1	8
4	206909	精锐水匪	1651	2	2	1	8
4	206910	蒋钦	3081	2	2	1	7
4	206911	周泰	3081	2	2	1	7
5	206910	蒋钦	3081	2	2	1	7
6	206911	周泰	3081	2	2	1	7
7	206912	水井	26	1	1	0	0
8	206906	水匪根据地	3301	1.5	2	1	4
