id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	207601	子午守军	2963	2	2	1	8
0	207602	子午守军	2963	2	2	1	8
0	207603	子午守军	2963	2	2	1	8
0	207610	魏平	4155	2	2	1	7
0	207611	子午守军	2963	2	2	1	8
0	207612	子午守军	2963	2	2	1	8
0	207613	魏续	4155	2	2	1	7
0	207623	拒马	39	1	1	0	0
0	207624	水井	39	1	1	0	0
0	207625	宝箱	39	1	1	0	0
1	207621	拒马	39	1	1	0	0
1	207622	拒马	39	1	1	0	0
2	207604	子午伏军	2963	2	2	1	8
2	207605	子午伏军	2963	2	2	1	8
2	207606	子午伏军	2963	2	2	1	8
3	207607	子午伏军	2963	2	2	1	8
3	207608	子午伏军	2963	2	2	1	8
3	207609	子午伏军	2963	2	2	1	8
4	207610	魏平	4155	2	2	1	7
4	207611	子午守军	2963	2	2	1	8
4	207612	子午守军	2963	2	2	1	8
5	207623	拒马	39	1	1	0	0
6	207614	杨仪	4155	2	2	2	7
7	207626	杨仪	4155	2	2	1	7
8	207615	子午伏军	2963	2	2	1	8
8	207616	子午伏军	2963	2	2	1	8
8	207617	子午伏军	2963	2	2	1	8
8	207618	子午伏军	2963	2	2	1	8
8	207619	子午伏军	2963	2	2	1	8
8	207620	子午伏军	2963	2	2	1	8
9	207624	水井	39	1	1	0	0
10	207625	宝箱	39	1	1	0	0
