id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	162001	东莱城门	186	1.5	2	1	3
0	162002	东莱城门	186	1.5	2	1	3
0	162003	东莱政厅	280	1.5	2	1	1
0	162004	东莱箭塔	186	1.5	0.5	1	2
101	162005	东莱箭塔	186	1.5	0.5	1	2
0	162006	拒马	2	1	1	0	0
0	162007	拒马	2	1	1	0	0
0	162008	重步兵	47	2	2	1	8
0	162009	重步兵	47	2	2	1	8
0	162010	弓箭兵	47	2	2	1	8
0	162017	弓箭兵	47	2	2	1	8
0	162018	弓箭兵	47	2	2	1	8
99	162019	重步兵	47	2	2	1	8
99	162020	重步兵	47	2	2	1	8
99	162021	弓箭兵	47	2	2	1	8
99	162022	弓箭兵	47	2	2	1	8
0	162023	重步兵	47	2	2	1	8
0	162024	重步兵	47	2	2	1	8
0	162025	弓箭兵	47	2	2	1	8
0	162026	弓箭兵	47	2	2	1	8
0	162060	管就	56	2	2	1	7
0	162027	虎卫营	47	2	2	1	8
0	162028	虎卫营	47	2	2	1	8
99	162029	重步兵	47	2	2	1	8
99	162030	重步兵	47	2	2	1	8
99	162031	弓箭兵	47	2	2	1	8
99	162032	弓箭兵	47	2	2	1	8
0	162033	重步兵	47	2	2	1	8
0	162034	重步兵	47	2	2	1	8
0	162035	弓箭兵	47	2	2	1	8
0	162036	弓箭兵	47	2	2	1	8
0	162037	虎卫营	47	2	2	1	8
0	162038	虎卫营	47	2	2	1	8
0	162039	弩兵	47	2	2	1	8
0	162040	弩兵	47	2	2	1	8
0	162070	管正	56	2	2	1	7
0	162041	水井	2	1	1	0	0
0	162042	水井	2	1	1	0	0
0	162043	宝箱	2	1	1	0	0
0	162080	东莱太史慈	466	99	0.1	2	13
0	162900	井水	2	1	1	0	0
0	162901	拒马	2	1	1	0	0
0	162902	拒马	2	1	1	0	0
0	162903	拒马	2	1	1	0	0
1	162080	东莱太史慈	466	99	0.1	2	13
2	162900	井水	2	1	1	0	0
100	162003	东莱政厅	280	1.5	2	1	1
