id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	188010	襄阳斥候	59	2	2	1	8
0	188011	襄阳斥候	59	2	2	1	8
0	188012	襄阳斥候	59	2	2	1	8
0	188020	水闸驻军	59	2	2	1	8
0	188021	水闸驻军	59	2	2	1	8
0	188022	水闸驻军	59	2	2	1	8
0	188070	于禁	89	2	2	1	7
0	188071	于禁军	59	2	2	1	8
0	188072	于禁军	59	2	2	1	8
0	188080	庞德	89	2	2	1	7
0	188081	庞德军	59	2	2	1	8
0	188082	庞德军	59	2	2	1	8
0	188091	拒马	8	1	1	0	0
0	188092	拒马	8	1	1	0	0
0	188093	拒马	8	1	1	0	0
0	188094	拒马	8	1	1	0	0
0	188095	拒马	8	1	1	0	0
0	188096	拒马	8	1	1	0	0
0	188097	拒马	8	1	1	0	0
0	188099	水井	8	1	1	0	0
0	188100	水井	8	1	1	0	0
0	188040	襄阳斥候	59	2	2	1	8
0	188041	襄阳斥候	59	2	2	1	8
0	188042	襄阳斥候	59	2	2	1	8
0	188043	襄阳斥候	59	2	2	1	8
1	188020	水闸驻军	59	2	2	1	8
1	188021	水闸驻军	59	2	2	1	8
1	188022	水闸驻军	59	2	2	1	8
2	188090	水门寨	299	2	2	2	4
3	188040	襄阳斥候	59	2	2	1	8
3	188041	襄阳斥候	59	2	2	1	8
3	188042	襄阳斥候	59	2	2	1	8
3	188043	襄阳斥候	59	2	2	1	8
4	188050	牛金	89	2	2	1	7
4	188051	襄阳军	59	2	2	1	8
5	188060	曹仁	89	2	2	1	7
5	188061	襄阳军	59	2	2	1	8
6	188030	牛金	89	2	2	1	7
6	188031	敢死队	59	2	2	1	8
6	188032	敢死队	59	2	2	1	8
6	188033	敢死队	59	2	2	1	8
7	188097	拒马	8	1	1	0	0
8	188070	于禁	89	2	2	1	7
8	188071	于禁军	59	2	2	1	8
8	188072	于禁军	59	2	2	1	8
9	188080	庞德	89	2	2	1	7
9	188081	庞德军	59	2	2	1	8
9	188082	庞德军	59	2	2	1	8
10	188098	襄阳城门	798	1.5	2	1	3
11	188030	牛金	89	2	2	1	7
11	188060	曹仁	89	2	2	1	7
12	188099	水井	8	1	1	0	0
12	188100	水井	8	1	1	0	0
