id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	189010	顾宪	95	2	2	1	7
0	189011	宛城守军	65	2	2	1	8
0	189012	宛城守军	65	2	2	1	8
0	189020	乐进	95	2	2	1	7
0	189021	宛城守军	65	2	2	1	8
0	189022	宛城守军	65	2	2	1	8
0	189023	宛城政厅	105	1.5	2	1	1
0	189024	宛城箭塔	56	1.5	0.5	1	2
0	189025	宛城箭塔	56	1.5	0.5	1	2
0	189040	山贼	65	2	2	1	8
0	189041	山贼	65	2	2	1	8
0	189042	土匪	65	2	2	1	8
0	189043	土匪	65	2	2	1	8
0	189044	神秘宝箱	8	1	1	0	0
0	189045	拒马	8	1	1	0	0
0	189046	拒马	8	1	1	0	0
0	189047	宛城城门	100	1.5	2	1	3
0	189048	宛城城门	100	1.5	2	1	3
1	189030	徐晃	95	2	2	1	7
1	189031	宛城援军	65	2	2	1	8
1	189032	宛城援军	65	2	2	1	8
2	189010	顾宪	95	2	2	1	7
2	189011	宛城守军	65	2	2	1	8
2	189012	宛城守军	65	2	2	1	8
3	189040	山贼	65	2	2	1	8
3	189041	山贼	65	2	2	1	8
3	189042	土匪	65	2	2	1	8
3	189043	土匪	65	2	2	1	8
4	189040	山贼	65	2	2	1	8
4	189041	山贼	65	2	2	1	8
5	189042	土匪	65	2	2	1	8
5	189043	土匪	65	2	2	1	8
6	189048	宛城城门	100	1.5	2	1	3
7	189030	徐晃	95	2	2	1	7
