id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	205201	成都城门	15	1	1	0	0
0	205202	成都城门	15	1	1	0	0
0	205203	成都政厅	2201	1.5	2	1	1
0	205204	成都箭塔	1467	1.5	0.5	1	2
0	205205	成都箭塔	1467	1.5	0.5	1	2
0	205206	成都守军	367	2	2	1	8
0	205207	成都守军	367	2	2	1	8
0	205208	成都守军	367	2	2	1	8
0	205209	成都守军	367	2	2	1	8
0	205214	成都守军	367	2	2	1	8
0	205215	成都守军	367	2	2	1	8
0	205216	成都守军	367	2	2	1	8
0	205217	成都守军	367	2	2	1	8
0	205218	成都守军	367	2	2	1	8
0	205219	成都守军	367	2	2	1	8
0	205220	成都守军	367	2	2	1	8
0	205221	成都守军	367	2	2	1	8
0	205222	成都军寨	734	1.5	2	1	4
0	205223	张任	440	2	2	1	7
0	205224	成都守军	367	2	2	1	8
0	205225	成都守军	367	2	2	1	8
0	205232	刘巴	440	2	2	1	7
0	205233	成都守军	367	2	2	1	8
0	205234	成都守军	367	2	2	1	8
0	205239	拒马	15	1	1	0	0
0	205240	拒马	15	1	1	0	0
0	205241	水井	15	1	1	0	0
0	205242	水井	15	1	1	0	0
1	205226	张飞	3668	1	0.1	2	13
1	205227	张飞军	1834	1	0.1	2	12
1	205228	张飞军	1834	1	0.1	2	12
2	205210	成都守军	367	2	2	1	8
2	205211	成都守军	367	2	2	1	8
2	205212	成都守军	367	2	2	1	8
2	205213	成都守军	367	2	2	1	8
2	205229	黄权	440	2	2	1	7
2	205230	成都守军	367	2	2	1	8
2	205231	成都守军	367	2	2	1	8
4	205238	拒马	15	1	1	0	0
5	205235	马岱	440	2	2	1	7
5	205236	马超援军	367	2	2	1	8
5	205237	马超援军	367	2	2	1	8
6	205223	张任	440	2	2	1	7
7	205232	刘巴	440	2	2	1	7
7	205233	成都守军	367	2	2	1	8
7	205234	成都守军	367	2	2	1	8
7	205229	黄权	440	2	2	1	7
7	205230	成都守军	367	2	2	1	8
7	205231	成都守军	367	2	2	1	8
8	205241	水井	15	1	1	0	0
8	205242	水井	15	1	1	0	0
