id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	191000	申仪	188	2	2	1	7
0	191001	西城守军	162	2	2	1	8
0	191002	西城守军	162	2	2	1	8
0	191020	申耽	816	1	0.1	2	13
0	191021	上庸政厅	690	1.5	2	2	1
0	191022	箭塔	126	1.5	0.5	2	2
0	191023	箭塔	126	1.5	0.5	2	2
0	191030	山贼	162	2	2	1	8
0	191031	山贼	162	2	2	1	8
0	191032	山贼	162	2	2	1	8
0	191033	山贼	162	2	2	1	8
0	191034	土匪	162	2	2	1	8
0	191035	土匪	162	2	2	1	8
0	191040	山贼据点	263	1.5	2	1	4
0	191060	拒马	11	1	1	0	0
0	191061	拒马	11	1	1	0	0
0	191062	拒马	11	1	1	0	0
0	191063	拒马	11	1	1	0	0
0	191064	拒马	11	1	1	0	0
0	191065	拒马	11	1	1	0	0
0	191066	拒马	11	1	1	0	0
0	191067	拒马	11	1	1	0	0
0	191068	拒马	11	1	1	0	0
0	191071	拒马	11	1	1	0	0
0	191070	水井	11	1	1	0	0
1	191000	申仪	188	2	2	1	7
1	191001	西城守军	162	2	2	1	8
1	191002	西城守军	162	2	2	1	8
2	191010	申仪	816	1	0.1	2	13
2	191011	西城守军	408	1	0.1	2	12
2	191012	西城守军	408	1	0.1	2	12
3	191068	拒马	11	1	1	0	0
4	191080	西城城门	126	1.5	2	1	3
5	191020	申耽	816	1	0.1	2	13
6	191030	山贼	162	2	2	1	8
6	191031	山贼	162	2	2	1	8
6	191032	山贼	162	2	2	1	8
6	191033	山贼	162	2	2	1	8
6	191034	土匪	162	2	2	1	8
6	191035	土匪	162	2	2	1	8
8	191041	神秘宝箱	11	1	1	0	0
8	191042	粮草车	11	1	1	0	0
8	191043	粮草车	11	1	1	0	0
8	191044	粮草车	11	1	1	0	0
9	191050	孟达	188	2	2	1	7
9	191051	孟达伏军	162	2	2	1	8
9	191052	孟达伏军	162	2	2	1	8
9	191053	孟达伏军	162	2	2	1	8
10	191071	拒马	11	1	1	0	0
11	191070	水井	11	1	1	0	0
12	191040	山贼据点	263	1.5	2	1	4
