id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	205301	梓潼箭楼	582	1.5	0.5	1	2
0	205302	梓潼箭楼	582	1.5	0.5	1	2
0	205303	梓潼大门	15	1	1	0	0
0	205304	梓潼大门	15	1	1	0	0
0	205305	梓潼大门	582	1.5	2	1	3
0	205306	马超军	371	2	2	1	8
0	205307	马超军	371	2	2	1	8
0	205308	马超军	371	2	2	1	8
0	205309	马超军	371	2	2	1	8
0	205310	马超军	371	2	2	1	8
0	205311	马超军	371	2	2	1	8
0	205312	营寨	741	1.5	2	1	4
0	205313	马岱	445	2	2	1	7
0	205314	马超军	371	2	2	1	8
0	205315	马超军	371	2	2	1	8
0	205316	马超军	371	2	2	1	8
0	205317	马超军	371	2	2	1	8
0	205318	马岱	445	2	2	1	7
0	205319	马超军	371	2	2	1	8
0	205320	马超军	371	2	2	1	8
0	205321	马超	645	2	2	1	7
0	205327	拒马	15	1	1	0	0
0	205328	拒马	15	1	1	0	0
0	205329	拒马	15	1	1	0	0
0	205330	拒马	15	1	1	0	0
0	205331	拒马	15	1	1	0	0
0	205332	拒马	15	1	1	0	0
0	205333	拒马	15	1	1	0	0
0	205334	拒马	15	1	1	0	0
0	205335	水井	15	1	1	0	0
0	205336	神秘宝箱	15	1	1	0	0
2	205322	马超	645	2	2	2	7
3	205323	梓潼游勇	371	2	1.5	1	8
3	205324	梓潼游勇	371	2	1.5	1	8
3	205325	梓潼游勇	371	2	1.5	1	8
3	205326	梓潼游勇	371	2	1.5	1	8
4	205333	拒马	15	1	1	0	0
5	205334	拒马	15	1	1	0	0
6	205335	水井	15	1	1	0	0
7	205313	马岱	445	2	2	1	7
8	205318	马岱	445	2	2	1	7
9	205321	马超	645	2	2	1	7
10	205304	梓潼大门	15	1	1	0	0
