id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	72001	安丰政厅	3000	40	0.3	1	1
0	22300	安丰东营寨	500	4	0.3	0	4
0	22301	安丰北营寨	500	4	0.3	0	4
0	22302	安风营寨	500	4	0.3	0	4
0	72002	安丰东城门	1200	20	0.3	1	3
0	72003	安丰北城门	1200	20	0.3	1	3
0	72004	安丰南城门	1200	20	0.3	1	3
0	72005	箭塔	1000	20	0.3	1	2
0	72006	箭塔	1000	20	0.3	1	2
0	72007	箭塔	1000	20	0.3	1	2
0	72008	箭塔	1000	20	0.3	1	2
0	72009	箭塔	1000	20	0.3	1	2
0	72010	箭塔	1000	20	0.3	1	2
0	72011	箭塔	1000	20	0.3	1	2
0	72012	箭塔	1000	20	0.3	1	2
0	72013	重步兵	700	4	0.3	1	8
0	72014	重步兵	700	4	0.3	1	8
0	72015	弩兵	700	4	0.3	1	8
0	72016	弩兵	700	4	0.3	1	8
0	72017	重步兵	700	4	0.3	1	8
0	72018	重步兵	700	4	0.3	1	8
0	72019	弩兵	700	4	0.3	1	8
0	72020	弩兵	700	4	0.3	1	8
0	72021	重步兵	700	4	0.3	1	8
0	72022	重步兵	700	4	0.3	1	8
0	72023	弩兵	700	4	0.3	1	8
0	72024	弩兵	700	4	0.3	1	8
0	72025	重步兵	700	4	0.3	1	8
0	72026	重步兵	700	4	0.3	1	8
0	72027	重步兵	700	4	0.3	1	8
0	72028	弩兵	700	4	0.3	1	8
0	72029	弩兵	700	4	0.3	1	8
0	72030	弩兵	700	4	0.3	1	8
0	72031	轻骑兵	700	4	0.3	1	8
0	72032	轻骑兵	700	4	0.3	1	8
0	72033	长戟兵	700	4	0.3	1	8
0	72034	长戟兵	700	4	0.3	1	8
0	72035	轻骑兵	700	4	0.3	1	8
0	72036	轻骑兵	700	4	0.3	1	8
0	72037	长戟兵	700	4	0.3	1	8
0	72038	长戟兵	700	4	0.3	1	8
0	72039	轻骑兵	700	4	0.3	1	8
0	72040	轻骑兵	700	4	0.3	1	8
0	72041	长戟兵	700	4	0.3	1	8
0	72042	长戟兵	700	4	0.3	1	8
0	72043	重步兵	700	4	0.3	1	8
0	72044	重步兵	700	4	0.3	1	8
0	72045	重步兵	700	4	0.3	1	8
0	72046	重步兵	700	4	0.3	1	8
0	72047	王采	2000	4	0.3	1	7
0	72048	重步兵	700	4	0.3	1	8
0	72049	重步兵	700	4	0.3	1	8
0	72050	重步兵	700	4	0.3	1	8
0	72051	重步兵	700	4	0.3	1	8
0	72052	王维	2000	4	0.3	1	7
0	72053	重步兵	700	4	0.3	1	8
0	72054	重步兵	700	4	0.3	1	8
0	72055	重步兵	700	4	0.3	1	8
0	72056	重步兵	700	4	0.3	1	8
0	72057	王耀	2000	4	0.3	1	7
0	72058	弩兵	700	4	0.3	1	8
0	72059	弩兵	700	4	0.3	1	8
0	72060	弩兵	700	4	0.3	1	8
0	72061	弩兵	700	4	0.3	1	8
0	72062	弩兵	700	4	0.3	1	8
0	72063	弩兵	700	4	0.3	1	8
0	72064	弩兵	700	4	0.3	1	8
0	72065	弩兵	700	4	0.3	1	8
0	72066	弩兵	700	4	0.3	1	8
0	72067	弩兵	700	4	0.3	1	8
0	72068	弩兵	700	4	0.3	1	8
0	72069	弩兵	700	4	0.3	1	8
0	72070	弩兵	700	4	0.3	1	8
0	72071	弩兵	700	4	0.3	1	8
0	72072	弩兵	700	4	0.3	1	8
0	72073	弩兵	700	4	0.3	1	8
0	72074	弩兵	700	4	0.3	1	8
0	72075	弩兵	700	4	0.3	1	8
0	72076	弩兵	700	4	0.3	1	8
0	72077	弩兵	700	4	0.3	1	8
0	72078	弩兵	700	4	0.3	1	8
0	72079	弩兵	700	4	0.3	1	8
0	72080	弩兵	700	4	0.3	1	8
0	72081	弩兵	700	4	0.3	1	8
0	72082	弩兵	700	4	0.3	1	8
0	72083	弩兵	700	4	0.3	1	8
0	72084	弩兵	700	4	0.3	1	8
0	72085	弩兵	700	4	0.3	1	8
0	72086	重步兵	700	4	0.3	1	8
0	72087	重步兵	700	4	0.3	1	8
0	72088	重步兵	700	4	0.3	1	8
0	72089	重步兵	700	4	0.3	1	8
0	72090	弩兵	700	4	0.3	1	8
0	72091	弩兵	700	4	0.3	1	8
0	72092	弩兵	700	4	0.3	1	8
0	72093	弩兵	700	4	0.3	1	8
0	72094	重步兵	700	4	0.3	1	8
0	72095	重步兵	700	4	0.3	1	8
0	72096	弩兵	700	4	0.3	1	8
0	72097	弩兵	700	4	0.3	1	8
0	72098	重步兵	700	4	0.3	1	8
