id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	89901	巴陵西城门	1200	20	0.3	1	3
0	22156	巴陵东营寨	500	4	0.3	0	4
0	22157	下隽营寨	500	4	0.3	0	4
0	22158	浦圻营寨	500	4	0.3	0	4
0	89902	巴陵北城门	1200	20	0.3	1	3
0	89903	巴陵政厅	3000	40	0.3	1	1
0	89904	巴陵箭塔	1000	20	0.3	1	2
0	89905	巴陵箭塔	1000	20	0.3	1	2
0	89906	文聘	2000	4	0.3	1	7
0	89907	弩兵	700	4	0.3	1	8
0	89908	弩兵	700	4	0.3	1	8
0	89909	弩兵	700	4	0.3	1	8
0	89910	重步兵	700	4	0.3	1	8
0	89911	重步兵	700	4	0.3	1	8
0	89912	神射营	700	4	0.3	1	8
0	89913	神射营	700	4	0.3	1	8
0	89914	神射营	700	4	0.3	1	8
0	89915	神射营	700	4	0.3	1	8
0	89916	重步兵	700	4	0.3	1	8
0	89917	重步兵	700	4	0.3	1	8
0	89918	刘磐	2000	4	0.3	1	7
0	89919	弩兵	700	4	0.3	1	8
0	89920	弩兵	700	4	0.3	1	8
0	89921	神射营	700	4	0.3	1	8
0	89922	神射营	700	4	0.3	1	8
0	89923	文岱	2000	4	0.3	1	7
0	89924	弩兵	700	4	0.3	1	8
0	89925	弩兵	700	4	0.3	1	8
0	89926	神射营	700	4	0.3	1	8
0	89927	神射营	700	4	0.3	1	8
0	89928	重步兵	700	4	0.3	1	8
0	89929	文休	2000	4	0.3	1	7
0	89930	弩兵	700	4	0.3	1	8
0	89931	弩兵	700	4	0.3	1	8
0	89932	重骑兵	700	4	0.3	1	8
0	89933	重骑兵	700	4	0.3	1	8
0	89934	弩兵	700	4	0.3	1	8
0	89935	弩兵	700	4	0.3	1	8
0	89936	重步兵	700	4	0.3	1	8
0	89937	重步兵	700	4	0.3	1	8
0	89938	重步兵	700	4	0.3	1	8
0	89939	重步兵	700	4	0.3	1	8
0	89940	重步兵	700	4	0.3	1	8
0	89941	神射营	700	4	0.3	1	8
0	89942	文厚	2000	4	0.3	1	7
0	89943	重步兵	700	4	0.3	1	8
0	89944	重步兵	700	4	0.3	1	8
0	89945	神射营	700	4	0.3	1	8
0	89946	神射营	700	4	0.3	1	8
0	89947	重骑兵	700	4	0.3	1	8
0	89948	重步兵	700	4	0.3	1	8
0	89949	重步兵	700	4	0.3	1	8
0	89950	神射营	700	4	0.3	1	8
0	89951	神射营	700	4	0.3	1	8
0	89952	重步兵	700	4	0.3	1	8
0	89953	神射营	700	4	0.3	1	8
0	89954	神射营	700	4	0.3	1	8
0	89955	神射营	700	4	0.3	1	8
0	89956	神射营	700	4	0.3	1	8
0	89957	神射营	700	4	0.3	1	8
0	89958	神射营	700	4	0.3	1	8
0	89959	神射营	700	4	0.3	1	8
0	89960	神射营	700	4	0.3	1	8
0	89961	神射营	700	4	0.3	1	8
0	89962	神射营	700	4	0.3	1	8
0	89963	神射营	700	4	0.3	1	8
0	89964	神射营	700	4	0.3	1	8
0	89965	神射营	700	4	0.3	1	8
0	89966	神射营	700	4	0.3	1	8
0	89967	神射营	700	4	0.3	1	8
0	89968	神射营	700	4	0.3	1	8
0	89969	神射营	700	4	0.3	1	8
0	89970	神射营	700	4	0.3	1	8
0	89971	神射营	700	4	0.3	1	8
0	89972	神射营	700	4	0.3	1	8
0	89973	神射营	700	4	0.3	1	8
0	89974	神射营	700	4	0.3	1	8
0	89975	神射营	700	4	0.3	1	8
0	89976	神射营	700	4	0.3	1	8
0	89977	神射营	700	4	0.3	1	8
0	89978	神射营	700	4	0.3	1	8
0	89979	神射营	700	4	0.3	1	8
0	89980	神射营	700	4	0.3	1	8
0	89981	神射营	700	4	0.3	1	8
0	89982	神射营	700	4	0.3	1	8
0	89983	神射营	700	4	0.3	1	8
0	89984	箭楼	1000	20	0.3	1	2
0	89985	弩兵	700	4	0.3	1	8
0	89986	弩兵	700	4	0.3	1	8
0	89987	重步兵	700	4	0.3	1	8
0	89988	重步兵	700	4	0.3	1	8
0	89989	重步兵	700	4	0.3	1	8
0	89990	重步兵	700	4	0.3	1	8
0	89991	弩兵	700	4	0.3	1	8
0	89992	弩兵	700	4	0.3	1	8
0	89993	重步兵	700	4	0.3	1	8
0	89994	重步兵	700	4	0.3	1	8
0	89995	重骑兵	700	4	0.3	1	8
0	89996	神射营	700	4	0.3	1	8
0	89997	重步兵	700	4	0.3	1	8
0	89998	重步兵	700	4	0.3	1	8
0	89999	重步兵	700	4	0.3	1	8
0	90000	重步兵	700	4	0.3	1	8
0	90001	重骑兵	700	4	0.3	1	8
0	90002	重步兵	700	4	0.3	0	8
0	110288	襄屯营寨	500	4	0.3	2	4
1	22156	巴陵东营寨	500	5	0.3	0	4
1	22157	下隽营寨	500	5	0.3	0	4
1	22158	浦圻营寨	500	5	0.3	0	4
1	89901	巴陵西城门	1200	20	0.3	1	3
1	89902	巴陵北城门	1200	20	0.3	1	3
1	89903	巴陵政厅	3000	40	0.3	1	1
1	89904	巴陵箭塔	1000	20	0.3	1	2
1	89905	巴陵箭塔	1000	20	0.3	1	2
1	89906	文聘	2000	5	0.3	1	7
1	89907	弩兵	700	5	0.3	1	8
1	89908	弩兵	700	5	0.3	1	8
1	89909	弩兵	700	5	0.3	1	8
1	89918	刘磐	2000	5	0.3	1	7
1	89919	弩兵	700	5	0.3	1	8
1	89923	文岱	2000	5	0.3	1	7
1	89924	弩兵	700	5	0.3	1	8
1	89929	文休	2000	5	0.3	1	7
1	89934	弩兵	700	5	0.3	1	8
1	89942	文厚	2000	5	0.3	1	7
1	89947	重骑兵	700	5	0.3	1	8
1	89961	神射营	700	5	0.3	1	8
1	89962	神射营	700	5	0.3	1	8
1	89968	神射营	700	5	0.3	1	8
1	89970	神射营	700	5	0.3	1	8
1	89971	神射营	700	5	0.3	1	8
1	89984	箭楼	1000	20	0.3	1	2
1	89991	弩兵	700	5	0.3	1	8
1	89992	弩兵	700	5	0.3	1	8
1	110288	襄屯营寨	1500	8	0.3	2	4
1	120111	巴陵防守点	1000	15	3	1	4
2	89903	巴陵政厅	3000	40	0.3	1	1
10	110287	艾县营寨	500	5	0.3	2	4
10	110287	艾县营寨	500	5	0.3	2	4
