id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	61501	±±·áÄÏ³ÇÃÅ	1200	20	0.3	1	3
0	22213	±±·áÎ÷ÓªÕ¯	500	4	0.3	0	4
0	22214	±±·á±±ÓªÕ¯	500	4	0.3	0	4
0	22215	±±·áÄÏÓªÕ¯	500	4	0.3	0	4
0	61502	±±·áÎ÷³ÇÃÅ	1200	20	0.3	1	3
0	61503	±±·á±±³ÇÃÅ	1200	20	0.3	1	3
0	61504	±±·áÕþÌü	3000	40	0.3	1	1
0	61505	±±·á¼ýËþ	1000	20	0.3	1	2
0	61506	±±·á¼ýËþ	1000	20	0.3	1	2
0	61507	ÇáÆï±ø	700	4	0.3	1	8
0	61508	ÇáÆï±ø	700	4	0.3	1	8
0	61509	¹­¼ý±ø	700	4	0.3	1	8
0	61510	ÇáÆï±ø	700	4	0.3	1	8
0	61511	ÇáÆï±ø	700	4	0.3	1	8
0	61512	¹­¼ý±ø	700	4	0.3	1	8
0	61513	ÇáÆï±ø	700	4	0.3	1	8
0	61514	ÇáÆï±ø	700	4	0.3	1	8
0	61515	¹­¼ý±ø	700	4	0.3	1	8
0	61516	Í»Æï	700	4	0.3	1	8
0	61517	Í»Æï	700	4	0.3	1	8
0	61518	Í»Æï	700	4	0.3	1	8
0	61519	Í»Æï	700	4	0.3	1	8
0	61520	¹«Ëïºá	2000	4	0.3	1	7
0	61521	Í»Æï	700	4	0.3	1	8
0	61522	Í»Æï	700	4	0.3	1	8
0	61523	Í»Æï	700	4	0.3	1	8
0	61524	Í»Æï	700	4	0.3	1	8
0	61525	¹«Ëï÷ç	2000	4	0.3	1	7
0	61526	Í»Æï	700	4	0.3	1	8
0	61527	Í»Æï	700	4	0.3	1	8
0	61528	Í»Æï	700	4	0.3	1	8
0	61529	Í»Æï	700	4	0.3	1	8
0	61530	ÁøÒã	2000	4	0.3	1	7
0	61531	¹­¼ý±ø	700	4	0.3	1	8
0	61532	¹­¼ý±ø	700	4	0.3	1	8
0	61533	¹­¼ý±ø	700	4	0.3	1	8
0	61534	¹­¼ý±ø	700	4	0.3	1	8
0	61535	¹­¼ý±ø	700	4	0.3	1	8
0	61536	¹­¼ý±ø	700	4	0.3	1	8
0	61537	¹­¼ý±ø	700	4	0.3	1	8
0	61538	¹­¼ý±ø	700	4	0.3	1	8
0	61539	¹­¼ý±ø	700	4	0.3	1	8
0	61540	¹­¼ý±ø	700	4	0.3	1	8
0	61541	¹­¼ý±ø	700	4	0.3	1	8
0	61542	¹­¼ý±ø	700	4	0.3	1	8
0	61543	¹­¼ý±ø	700	4	0.3	1	8
0	61544	¹­¼ý±ø	700	4	0.3	1	8
0	61545	¹­¼ý±ø	700	4	0.3	1	8
0	61546	¹­¼ý±ø	700	4	0.3	1	8
0	61547	¹­¼ý±ø	700	4	0.3	1	8
0	61548	¹­¼ý±ø	700	4	0.3	1	8
0	61549	Í»Æï	700	4	0.3	1	8
0	61550	Í»Æï	700	4	0.3	1	8
0	61551	Í»Æï	700	4	0.3	1	8
0	61552	Í»Æï	700	4	0.3	1	8
0	61553	Í»Æï	700	4	0.3	1	8
0	61554	Í»Æï	700	4	0.3	1	8
0	61555	Í»Æï	700	4	0.3	1	8
0	61556	Í»Æï	700	4	0.3	1	8
0	61557	Í»Æï	700	4	0.3	1	8
0	61558	Í»Æï	700	4	0.3	1	8
0	61559	Í»Æï	700	4	0.3	1	8
0	61560	ÇáÆï±ø	700	4	0.3	1	8
0	61561	ÇáÆï±ø	700	4	0.3	1	8
0	61562	¹­¼ý±ø	700	4	0.3	1	8
0	61563	¹­¼ý±ø	700	4	0.3	1	8
0	61564	ÇáÆï±ø	700	4	0.3	1	8
0	61565	ÇáÆï±ø	700	4	0.3	1	8
0	61566	¹­¼ý±ø	700	4	0.3	1	8
0	61567	¹­¼ý±ø	700	4	0.3	1	8
0	61568	ÇáÆï±ø	700	4	0.3	1	8
0	61569	ÇáÆï±ø	700	4	0.3	1	8
0	61570	¹­¼ý±ø	700	4	0.3	1	8
0	61571	¹­¼ý±ø	700	4	0.3	1	8
0	61572	¹­¼ý±ø	700	4	0.3	1	8
0	61573	¹­¼ý±ø	700	4	0.3	1	8
0	61574	¹­¼ý±ø	700	4	0.3	1	8
0	61575	¹­¼ý±ø	700	4	0.3	1	8
0	61576	¹­¼ý±ø	700	4	0.3	1	8
0	61577	¹­¼ý±ø	700	4	0.3	1	8
0	61578	¹«ËïÔ¨	2000	4	0.3	1	7
0	110018	´óÍõÓªÕ¯	500	4	0.3	2	4
1	22213	±±·áÎ÷ÓªÕ¯	500	5	0.3	0	4
1	22214	±±·á±±ÓªÕ¯	500	5	0.3	0	4
1	22215	±±·áÄÏÓªÕ¯	500	5	0.3	0	4
1	61501	±±·áÄÏ³ÇÃÅ	1200	20	0.3	1	3
1	61502	±±·áÎ÷³ÇÃÅ	1200	20	0.3	1	3
1	61503	±±·á±±³ÇÃÅ	1200	20	0.3	1	3
1	61504	±±·áÕþÌü	3000	40	0.3	1	1
1	61505	±±·á¼ýËþ	1000	20	0.3	1	2
1	61506	±±·á¼ýËþ	1000	20	0.3	1	2
1	61518	Í»Æï	700	5	0.3	1	8
1	61519	Í»Æï	700	5	0.3	1	8
1	61520	¹«Ëïºá	2000	5	0.3	1	7
1	61523	Í»Æï	700	5	0.3	1	8
1	61524	Í»Æï	700	5	0.3	1	8
1	61525	¹«Ëï÷ç	2000	5	0.3	1	7
1	61528	Í»Æï	700	5	0.3	1	8
1	61529	Í»Æï	700	5	0.3	1	8
1	61530	ÁøÒã	2000	5	0.3	1	7
1	61533	¹­¼ý±ø	700	5	0.3	1	8
1	61536	¹­¼ý±ø	700	5	0.3	1	8
1	61539	¹­¼ý±ø	700	5	0.3	1	8
1	61542	¹­¼ý±ø	700	5	0.3	1	8
1	61545	¹­¼ý±ø	700	5	0.3	1	8
1	61548	¹­¼ý±ø	700	5	0.3	1	8
1	61572	¹­¼ý±ø	700	5	0.3	1	8
1	61574	¹­¼ý±ø	700	5	0.3	1	8
1	61576	¹­¼ý±ø	700	5	0.3	1	8
1	61578	¹«ËïÔ¨	2000	5	0.3	1	7
1	110018	´óÍõÓªÕ¯	1500	8	0.3	2	4
1	120068	±±·á·ÀÊØµã	1000	15	3	1	4
2	61504	±±·áÕþÌü	3000	40	0.3	1	1
10	110016	¸´ÏØÓªÕ¯	500	5	0.3	2	4
10	110016	¸´ÏØÓªÕ¯	500	5	0.3	2	4
10	110017	³ÇÌ¹ÓªÕ¯	500	5	0.3	2	4
10	110017	³ÇÌ¹ÓªÕ¯	500	5	0.3	2	4
