id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	60001	²»ÄÍ¶«³ÇÃÅ	1200	20	0.3	1	3
0	22376	²»ÄÍ±±ÓªÕ¯	500	4	0.3	0	4
0	22377	°²±ßÓªÕ¯	500	4	0.3	0	4
0	60002	²»ÄÍ±±³ÇÃÅ	1200	20	0.3	1	3
0	60003	²»ÄÍÕþÌü	3000	40	0.3	1	1
0	60004	²»ÄÍ¼ýËþ	1000	20	0.3	1	2
0	60005	²»ÄÍ¼ýËþ	1000	20	0.3	1	2
0	60006	¼ýËþ	1000	20	0.3	1	2
0	60007	¼ýËþ	1000	20	0.3	1	2
0	60008	¼ýËþ	1000	20	0.3	1	2
0	60009	³¤êª±ø	700	4	0.3	1	8
0	60010	³¤êª±ø	700	4	0.3	1	8
0	60011	³¤êª±ø	700	4	0.3	1	8
0	60012	³¤êª±ø	700	4	0.3	1	8
0	60013	³¤êª±ø	700	4	0.3	1	8
0	60014	³¤êª±ø	700	4	0.3	1	8
0	60015	¹­¼ý±ø	700	4	0.3	1	8
0	60016	¹­¼ý±ø	700	4	0.3	1	8
0	60017	¹­¼ý±ø	700	4	0.3	1	8
0	60018	¹­¼ý±ø	700	4	0.3	1	8
0	60019	³¤êª±ø	700	4	0.3	1	8
0	60020	³¤êª±ø	700	4	0.3	1	8
0	60021	³¤êª±ø	700	4	0.3	1	8
0	60022	³¤êª±ø	700	4	0.3	1	8
0	60023	³¤êª±ø	700	4	0.3	1	8
0	60024	³¤êª±ø	700	4	0.3	1	8
0	60025	ÐìÏÍ	2000	4	0.3	1	7
0	60026	ÇáÆï±ø	700	4	0.3	1	8
0	60027	ÇáÆï±ø	700	4	0.3	1	8
0	60028	Ðì»³	2000	4	0.3	1	7
0	60029	³¤êª±ø	700	4	0.3	1	8
0	60030	³¤êª±ø	700	4	0.3	1	8
0	60031	³¤êª±ø	700	4	0.3	1	8
0	60032	³¤êª±ø	700	4	0.3	1	8
0	60033	Í»Æï±ø	700	4	0.3	1	8
0	60034	Í»Æï±ø	700	4	0.3	1	8
0	60035	Í»Æï±ø	700	4	0.3	1	8
0	60036	Í»Æï±ø	700	4	0.3	1	8
0	60037	¹­¼ý±ø	700	4	0.3	1	8
0	60038	¹­¼ý±ø	700	4	0.3	1	8
0	60039	¹­¼ý±ø	700	4	0.3	1	8
0	60040	¹­¼ý±ø	700	4	0.3	1	8
0	60041	¹­¼ý±ø	700	4	0.3	1	8
0	60042	¹­¼ý±ø	700	4	0.3	1	8
0	60043	ÐìÑÏ	2000	4	0.3	1	7
0	60044	¹­¼ý±ø	700	4	0.3	1	8
0	60045	¹­¼ý±ø	700	4	0.3	1	8
0	60046	¹­¼ý±ø	700	4	0.3	1	8
0	60047	¹­¼ý±ø	700	4	0.3	1	8
0	60048	Í»Æï±ø	700	4	0.3	1	8
0	60049	Í»Æï±ø	700	4	0.3	1	8
0	60050	¹­¼ý±ø	700	4	0.3	1	8
0	60051	¹­¼ý±ø	700	4	0.3	1	8
0	60052	¹­¼ý±ø	700	4	0.3	1	8
0	60053	¹­¼ý±ø	700	4	0.3	1	8
0	60054	¹­¼ý±ø	700	4	0.3	1	8
0	60055	¹­¼ý±ø	700	4	0.3	1	8
0	60056	¹­¼ý±ø	700	4	0.3	1	8
0	60057	¹­¼ý±ø	700	4	0.3	1	8
0	60058	¹­¼ý±ø	700	4	0.3	1	8
0	60059	¹­¼ý±ø	700	4	0.3	1	8
0	60060	Í»Æï±ø	700	4	0.3	1	8
0	60061	Í»Æï±ø	700	4	0.3	1	8
0	60062	Í»Æï±ø	700	4	0.3	1	8
0	60063	Í»Æï±ø	700	4	0.3	1	8
0	60064	Í»Æï±ø	700	4	0.3	1	8
0	60065	Í»Æï±ø	700	4	0.3	1	8
0	60066	³¤êª±ø	700	4	0.3	1	8
0	60067	³¤êª±ø	700	4	0.3	1	8
0	60068	³¤êª±ø	700	4	0.3	1	8
0	60069	³¤êª±ø	700	4	0.3	1	8
0	60070	³¤êª±ø	700	4	0.3	1	8
0	60071	³¤êª±ø	700	4	0.3	1	8
0	60072	³¤êª±ø	700	4	0.3	1	8
0	60073	³¤êª±ø	700	4	0.3	1	8
0	60074	³¤êª±ø	700	4	0.3	1	8
0	60075	³¤êª±ø	700	4	0.3	1	8
0	60076	ÐìÑ«	2000	4	0.3	1	7
0	60077	¹­¼ý±ø	700	4	0.3	1	8
0	60078	¹­¼ý±ø	700	4	0.3	1	8
0	60079	¹­¼ý±ø	700	4	0.3	1	8
0	60080	¹­¼ý±ø	700	4	0.3	1	8
0	110000	½ð¸ÕÉ½ÓªÕ¯	500	4	0.3	2	4
0	130082	²»ÄÍÓªÕ¯	500	4	0.3	0	4
1	22376	²»ÄÍ±±ÓªÕ¯	500	5	0.3	0	4
1	22377	°²±ßÓªÕ¯	500	5	0.3	0	4
1	60001	²»ÄÍ¶«³ÇÃÅ	1200	20	0.3	1	3
1	60002	²»ÄÍ±±³ÇÃÅ	1200	20	0.3	1	3
1	60003	²»ÄÍÕþÌü	3000	40	0.3	1	1
1	60004	²»ÄÍ¼ýËþ	1000	20	0.3	1	2
1	60005	²»ÄÍ¼ýËþ	1000	20	0.3	1	2
1	60006	¼ýËþ	1000	20	0.3	1	2
1	60007	¼ýËþ	1000	20	0.3	1	2
1	60008	¼ýËþ	1000	20	0.3	1	2
1	60028	Ðì»³	2000	5	0.3	1	7
1	60029	³¤êª±ø	700	5	0.3	1	8
1	60030	³¤êª±ø	700	5	0.3	1	8
1	60039	¹­¼ý±ø	700	5	0.3	1	8
1	60040	¹­¼ý±ø	700	5	0.3	1	8
1	60043	ÐìÑÏ	2000	5	0.3	1	7
1	60044	¹­¼ý±ø	700	5	0.3	1	8
1	60045	¹­¼ý±ø	700	5	0.3	1	8
1	60054	¹­¼ý±ø	700	5	0.3	1	8
1	60055	¹­¼ý±ø	700	5	0.3	1	8
1	60076	ÐìÑ«	2000	5	0.3	1	7
1	60077	¹­¼ý±ø	700	5	0.3	1	8
1	60078	¹­¼ý±ø	700	5	0.3	1	8
1	60079	¹­¼ý±ø	700	5	0.3	1	8
1	60080	¹­¼ý±ø	700	5	0.3	1	8
1	110000	½ð¸ÕÉ½ÓªÕ¯	1500	8	0.3	2	4
1	120151	²»ÄÍ·ÀÊØµã	1000	15	3	1	4
