id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	95501	苍梧东城门	1200	20	0.3	1	3
0	22384	苍梧北营寨	500	4	0.3	0	4
0	22385	永靖营寨	500	4	0.3	0	4
0	95502	苍梧北城门	1200	20	0.3	1	3
0	95503	苍梧政厅	3000	40	0.3	1	1
0	95504	苍梧箭塔	1000	20	0.3	1	2
0	95505	苍梧箭塔	1000	20	0.3	1	2
0	95506	箭塔	1000	20	0.3	1	2
0	95507	箭塔	1000	20	0.3	1	2
0	95508	箭塔	1000	20	0.3	1	2
0	95509	象兵	700	4	0.3	1	8
0	95510	象兵	700	4	0.3	1	8
0	95511	象兵	700	4	0.3	1	8
0	95512	重步兵	700	4	0.3	1	8
0	95513	重步兵	700	4	0.3	1	8
0	95514	重步兵	700	4	0.3	1	8
0	95515	弩兵	700	4	0.3	1	8
0	95516	弩兵	700	4	0.3	1	8
0	95517	弩兵	700	4	0.3	1	8
0	95518	弩兵	700	4	0.3	1	8
0	95519	重步兵	700	4	0.3	1	8
0	95520	重步兵	700	4	0.3	1	8
0	95521	重步兵	700	4	0.3	1	8
0	95522	重步兵	700	4	0.3	1	8
0	95523	弓箭兵	700	4	0.3	1	8
0	95524	弓箭兵	700	4	0.3	1	8
0	95525	吴沧	2000	4	0.3	1	7
0	95526	轻骑兵	700	4	0.3	1	8
0	95527	轻骑兵	700	4	0.3	1	8
0	95528	吴怀	2000	4	0.3	1	7
0	95529	重步兵	700	4	0.3	1	8
0	95530	重步兵	700	4	0.3	1	8
0	95531	重步兵	700	4	0.3	1	8
0	95532	重步兵	700	4	0.3	1	8
0	95533	重步兵	700	4	0.3	1	8
0	95534	重步兵	700	4	0.3	1	8
0	95535	重步兵	700	4	0.3	1	8
0	95536	重步兵	700	4	0.3	1	8
0	95537	弓箭兵	700	4	0.3	1	8
0	95538	弓箭兵	700	4	0.3	1	8
0	95539	弓箭兵	700	4	0.3	1	8
0	95540	弓箭兵	700	4	0.3	1	8
0	95541	弓箭兵	700	4	0.3	1	8
0	95542	弓箭兵	700	4	0.3	1	8
0	95543	吴翻	2000	4	0.3	1	7
0	95544	弩兵	700	4	0.3	1	8
0	95545	弩兵	700	4	0.3	1	8
0	95546	弩兵	700	4	0.3	1	8
0	95547	弩兵	700	4	0.3	1	8
0	95548	重步兵	700	4	0.3	1	8
0	95549	重步兵	700	4	0.3	1	8
0	95550	弓箭兵	700	4	0.3	1	8
0	95551	弓箭兵	700	4	0.3	1	8
0	95552	弓箭兵	700	4	0.3	1	8
0	95553	弓箭兵	700	4	0.3	1	8
0	95554	弓箭兵	700	4	0.3	1	8
0	95555	弓箭兵	700	4	0.3	1	8
0	95556	弓箭兵	700	4	0.3	1	8
0	95557	弓箭兵	700	4	0.3	1	8
0	95558	弓箭兵	700	4	0.3	1	8
0	95559	弓箭兵	700	4	0.3	1	8
0	95560	象兵	700	4	0.3	1	8
0	95561	象兵	700	4	0.3	1	8
0	95562	重步兵	700	4	0.3	1	8
0	95563	重步兵	700	4	0.3	1	8
0	95564	重步兵	700	4	0.3	1	8
0	95565	象兵	700	4	0.3	1	8
0	95566	象兵	700	4	0.3	1	8
0	95567	重步兵	700	4	0.3	1	8
0	95568	重步兵	700	4	0.3	1	8
0	95569	重步兵	700	4	0.3	1	8
0	95570	重步兵	700	4	0.3	1	8
0	95571	重步兵	700	4	0.3	1	8
0	95572	重步兵	700	4	0.3	1	8
0	95573	重步兵	700	4	0.3	1	8
0	95574	重步兵	700	4	0.3	1	8
0	95575	重步兵	700	4	0.3	1	8
0	95576	吴巨	2000	4	0.3	1	7
0	95577	弓箭兵	700	4	0.3	1	8
0	95578	弓箭兵	700	4	0.3	1	8
0	95579	象兵	700	4	0.3	1	8
0	95580	象兵	700	4	0.3	1	8
0	110345	临允营寨	500	4	0.3	2	4
0	130088	苍梧营寨	500	4	0.3	0	4
1	22384	苍梧北营寨	500	5	0.3	0	4
1	22385	永靖营寨	500	5	0.3	0	4
1	95501	苍梧东城门	1200	20	0.3	1	3
1	95502	苍梧北城门	1200	20	0.3	1	3
1	95503	苍梧政厅	3000	40	0.3	1	1
1	95504	苍梧箭塔	1000	20	0.3	1	2
1	95505	苍梧箭塔	1000	20	0.3	1	2
1	95506	箭塔	1000	20	0.3	1	2
1	95507	箭塔	1000	20	0.3	1	2
1	95508	箭塔	1000	20	0.3	1	2
1	95528	吴怀	2000	5	0.3	1	7
1	95529	重步兵	700	5	0.3	1	8
1	95530	重步兵	700	5	0.3	1	8
1	95539	弓箭兵	700	5	0.3	1	8
1	95540	弓箭兵	700	5	0.3	1	8
1	95543	吴翻	2000	5	0.3	1	7
1	95544	弩兵	700	5	0.3	1	8
1	95545	弩兵	700	5	0.3	1	8
1	95554	弓箭兵	700	5	0.3	1	8
1	95555	弓箭兵	700	5	0.3	1	8
1	95576	吴巨	2000	5	0.3	1	7
1	95577	弓箭兵	700	5	0.3	1	8
1	95578	弓箭兵	700	5	0.3	1	8
1	95579	象兵	700	5	0.3	1	8
1	95580	象兵	700	5	0.3	1	8
1	110345	临允营寨	1500	8	0.3	2	4
1	120157	苍梧防守点	1000	15	3	1	4
1	130088	苍梧营寨	500	5	0.3	0	4
2	95503	苍梧政厅	3000	40	0.3	1	1
10	110344	高要营寨	500	5	0.3	2	4
10	110344	高要营寨	500	5	0.3	2	4
10	110346	封阳营寨	500	5	0.3	2	4
10	110346	封阳营寨	500	5	0.3	2	4
