id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	21136	陈仓西城门	1200	20	0.3	1	3
0	21137	陈仓南城门	1200	20	0.3	1	3
0	21138	陈仓政厅	3000	40	0.3	1	1
0	21139	陈仓箭塔	1000	20	0.3	1	2
0	21140	陈仓箭塔	1000	20	0.3	1	2
0	22007	陈仓西营寨	500	4	0.3	0	4
0	22008	故道营寨	500	4	0.3	0	4
0	77301	箭楼	1000	20	0.3	1	2
0	77302	虎卫营	700	4	0.3	1	8
0	77303	虎卫营	700	4	0.3	1	8
0	77304	虎卫营	700	4	0.3	1	8
0	77305	虎卫营	700	4	0.3	1	8
0	77306	弩兵	700	4	0.3	1	8
0	77307	弩兵	700	4	0.3	1	8
0	77308	虎卫营	700	4	0.3	1	8
0	77309	虎卫营	700	4	0.3	1	8
0	77310	弩兵	700	4	0.3	1	8
0	77311	弩兵	700	4	0.3	1	8
0	77312	虎卫营	700	4	0.3	1	8
0	77313	虎卫营	700	4	0.3	1	8
0	77314	弩兵	700	4	0.3	1	8
0	77315	弩兵	700	4	0.3	1	8
0	77316	投石车	700	4	0.3	1	8
0	77317	投石车	700	4	0.3	1	8
0	77318	投石车	700	4	0.3	1	8
0	77319	投石车	700	4	0.3	1	8
0	77320	投石车	700	4	0.3	1	8
0	77321	投石车	700	4	0.3	1	8
0	77322	投石车	700	4	0.3	1	8
0	77323	投石车	700	4	0.3	1	8
0	77324	投石车	700	4	0.3	1	8
0	77325	投石车	700	4	0.3	1	8
0	77326	虎卫营	700	4	0.3	1	8
0	77327	虎卫营	700	4	0.3	1	8
0	77328	弩兵	700	4	0.3	1	8
0	77329	弩兵	700	4	0.3	1	8
0	77330	弩兵	700	4	0.3	1	8
0	77331	弩兵	700	4	0.3	1	8
0	77332	弩兵	700	4	0.3	1	8
0	77333	弩兵	700	4	0.3	1	8
0	77334	弩兵	700	4	0.3	1	8
0	77335	弩兵	700	4	0.3	1	8
0	77336	虎卫营	700	4	0.3	1	8
0	77337	虎卫营	700	4	0.3	1	8
0	77338	弩兵	700	4	0.3	1	8
0	77339	弩兵	700	4	0.3	1	8
0	77340	虎卫营	700	4	0.3	1	8
0	77341	虎卫营	700	4	0.3	1	8
0	77342	弩兵	700	4	0.3	1	8
0	77343	弩兵	700	4	0.3	1	8
0	77344	虎卫营	700	4	0.3	1	8
0	77345	虎卫营	700	4	0.3	1	8
0	77346	弩兵	700	4	0.3	1	8
0	77347	弩兵	700	4	0.3	1	8
0	77348	虎卫营	700	4	0.3	1	8
0	77349	虎卫营	700	4	0.3	1	8
0	77350	弩兵	700	4	0.3	1	8
0	77351	弩兵	700	4	0.3	1	8
0	77352	虎卫营	700	4	0.3	1	8
0	77353	虎卫营	700	4	0.3	1	8
0	77354	虎卫营	700	4	0.3	1	8
0	77355	虎卫营	700	4	0.3	1	8
0	77356	雷薄	2000	4	0.3	1	7
0	77357	虎卫营	700	4	0.3	1	8
0	77358	虎卫营	700	4	0.3	1	8
0	77359	虎卫营	700	4	0.3	1	8
0	77360	虎卫营	700	4	0.3	1	8
0	77361	靳详	2000	4	0.3	1	7
0	77362	虎卫营	700	4	0.3	1	8
0	77363	虎卫营	700	4	0.3	1	8
0	77364	弩兵	700	4	0.3	1	8
0	77365	弩兵	700	4	0.3	1	8
0	77366	弩兵	700	4	0.3	1	8
0	77367	弩兵	700	4	0.3	1	8
0	77368	王生	2000	4	0.3	1	7
0	110167	隃糜营寨	500	4	0.3	2	4
1	21136	陈仓西城门	1200	20	0.3	1	3
1	21137	陈仓南城门	1200	20	0.3	1	3
1	21138	陈仓政厅	3000	40	0.3	1	1
1	21139	陈仓箭塔	1000	20	0.3	1	2
1	21140	陈仓箭塔	1000	20	0.3	1	2
1	22007	陈仓西营寨	500	5	0.3	0	4
1	22008	故道营寨	500	5	0.3	0	4
1	77301	箭楼	1000	20	0.3	1	2
1	77319	投石车	700	5	0.3	1	8
1	77320	投石车	700	5	0.3	1	8
1	77330	弩兵	700	5	0.3	1	8
1	77331	弩兵	700	5	0.3	1	8
1	77354	虎卫营	700	5	0.3	1	8
1	77355	虎卫营	700	5	0.3	1	8
1	77356	雷薄	2000	5	0.3	1	7
1	77359	虎卫营	700	5	0.3	1	8
1	77360	虎卫营	700	5	0.3	1	8
1	77361	靳详	2000	5	0.3	1	7
1	77364	弩兵	700	5	0.3	1	8
1	77365	弩兵	700	5	0.3	1	8
1	77366	弩兵	700	5	0.3	1	8
1	77367	弩兵	700	5	0.3	1	8
1	77368	王生	2000	5	0.3	1	7
1	110167	隃糜营寨	1500	8	0.3	2	4
1	120025	陈仓防守点	1000	15	3	1	4
2	21138	陈仓政厅	3000	40	0.3	1	1
10	110166	敖关营寨	500	5	0.3	2	4
10	110166	敖关营寨	500	5	0.3	2	4
