id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	82901	成都皇城南城门	1200	20	0.3	1	3
0	22088	成都南营寨	500	4	0.3	0	4
0	22089	成都东营寨	500	4	0.3	0	4
0	22396	成都西营寨	500	4	0.3	0	4
0	82902	成都皇城西城门	1200	20	0.3	1	3
0	82903	成都皇城东城门	1200	20	0.3	1	3
0	82904	成都箭楼	1000	20	0.3	1	2
0	82905	成都箭楼	1000	20	0.3	1	2
0	82906	成都岗楼	1000	20	0.3	1	2
0	82907	成都岗楼	1000	20	0.3	1	2
0	82908	成都辟邪	3000	30	0.3	1	1
0	82909	成都辟邪	3000	30	0.3	1	1
0	82910	成都辟邪	3000	30	0.3	1	1
0	82911	成都辟邪	3000	30	0.3	1	1
0	82912	成都西城门	1200	20	0.3	1	3
0	82913	成都南城门	1200	20	0.3	1	3
0	82914	成都东城门	1200	20	0.3	1	3
0	82915	成都外城门	1200	20	0.3	1	3
0	82916	刘备	2000	4	0.3	1	7
0	82917	神射营	700	4	0.3	1	8
0	82918	神射营	700	4	0.3	1	8
0	82919	神射营	700	4	0.3	1	8
0	82920	神射营	700	4	0.3	1	8
0	82921	神射营	700	4	0.3	1	8
0	82922	神射营	700	4	0.3	1	8
0	82923	铁甲军	700	4	0.3	1	8
0	82924	铁甲军	700	4	0.3	1	8
0	82925	铁甲军	700	4	0.3	1	8
0	82926	铁甲军	700	4	0.3	1	8
0	82927	白毦兵	700	4	0.3	1	8
0	82928	白毦兵	700	4	0.3	1	8
0	82929	白毦兵	700	4	0.3	1	8
0	82930	白毦兵	700	4	0.3	1	8
0	82931	白毦兵	700	4	0.3	1	8
0	82932	白毦兵	700	4	0.3	1	8
0	82933	铁甲军	700	4	0.3	1	8
0	82934	铁甲军	700	4	0.3	1	8
0	82935	白毦兵	700	4	0.3	1	8
0	82936	白毦兵	700	4	0.3	1	8
0	82937	白毦兵	700	4	0.3	1	8
0	82938	白毦兵	700	4	0.3	1	8
0	82939	关羽	2000	4	0.3	1	7
0	82940	西凉铁骑	700	4	0.3	1	8
0	82941	西凉铁骑	700	4	0.3	1	8
0	82942	西凉铁骑	700	4	0.3	1	8
0	82943	西凉铁骑	700	4	0.3	1	8
0	82944	白毦兵	700	4	0.3	1	8
0	82945	白毦兵	700	4	0.3	1	8
0	82946	神射营	700	4	0.3	1	8
0	82947	神射营	700	4	0.3	1	8
0	82948	神射营	700	4	0.3	1	8
0	82949	神射营	700	4	0.3	1	8
0	82950	神射营	700	4	0.3	1	8
0	82951	神射营	700	4	0.3	1	8
0	82952	张飞	2000	4	0.3	1	7
0	82953	重骑兵	700	4	0.3	1	8
0	82954	重骑兵	700	4	0.3	1	8
0	82955	重骑兵	700	4	0.3	1	8
0	82956	重骑兵	700	4	0.3	1	8
0	82957	白毦兵	700	4	0.3	1	8
0	82958	白毦兵	700	4	0.3	1	8
0	82959	神射营	700	4	0.3	1	8
0	82960	神射营	700	4	0.3	1	8
0	82961	神射营	700	4	0.3	1	8
0	82962	神射营	700	4	0.3	1	8
0	82963	神射营	700	4	0.3	1	8
0	82964	神射营	700	4	0.3	1	8
0	82965	赵云	2000	4	0.3	1	7
0	82966	白毦兵	700	4	0.3	1	8
0	82967	白毦兵	700	4	0.3	1	8
0	82968	白毦兵	700	4	0.3	1	8
0	82969	西凉铁骑	700	4	0.3	1	8
0	82970	西凉铁骑	700	4	0.3	1	8
