id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	24000	东安政厅	2000	20	0.3	1	1
0	24001	东安箭塔	1200	12	0.4	1	2
0	24002	东安箭塔	1200	12	0.4	1	2
0	24003	东安城门1	800	15	0.3	1	3
0	24004	东安城门2	800	15	0.3	1	3
0	24005	东安营寨	2000	10	0.3	2	4
0	24007	据点	500	4	0.3	0	4
0	24008	刘修	2000	4	0.5	1	7
0	24009	刘弥	3000	4	0.8	1	7
0	24010	重步兵	400	3	0.3	1	8
0	24011	重步兵	400	3	0.3	1	8
0	24012	重步兵	400	3	0.3	1	8
0	24013	重步兵	400	3	0.3	1	8
0	24014	重步兵	400	3	0.3	1	8
0	24015	重步兵	400	3	0.3	1	8
0	24016	虎卫营	400	3	0.3	1	8
0	24017	虎卫营	400	3	0.3	1	8
0	24018	虎卫营	400	3	0.3	1	8
0	24019	虎卫营	400	3	0.3	1	8
0	24020	弩兵	400	3	0.3	1	8
0	24021	弩兵	400	3	0.3	1	8
0	24022	弩兵	400	3	0.3	1	8
0	24023	弩兵	400	3	0.3	1	8
0	24024	弩兵	400	3	0.3	1	8
0	24025	弩兵	400	3	0.3	1	8
0	24026	虎卫营	400	3	0.3	1	8
0	24027	虎卫营	400	3	0.3	1	8
0	24028	虎卫营	400	3	0.3	1	8
0	24029	虎卫营	400	3	0.3	1	8
0	24030	虎卫营	400	3	0.3	1	8
0	24031	虎卫营	400	3	0.3	1	8
0	24032	虎卫营	400	3	0.3	1	8
0	24033	虎卫营	400	3	0.3	1	8
0	24034	虎卫营	400	3	0.3	1	8
0	24035	虎卫营	400	3	0.3	1	8
0	24036	虎卫营	400	3	0.3	1	8
0	24037	虎卫营	400	3	0.3	1	8
0	24038	虎卫营	400	3	0.3	1	8
0	24039	虎卫营	400	3	0.3	1	8
0	24040	虎卫营	400	3	0.3	1	8
0	24041	虎卫营	400	3	0.3	1	8
0	24042	虎卫营	400	3	0.3	1	8
0	24043	虎卫营	400	3	0.3	1	8
0	24044	虎卫营	400	3	0.3	1	8
0	24045	虎卫营	400	3	0.3	1	8
1	24000	东安政厅	3000	40	0.3	1	1
1	24001	东安箭塔	1200	18	0.5	1	2
1	24002	东安箭塔	1200	18	0.5	1	2
1	24003	东安城门1	800	20	0.3	1	3
1	24004	东安城门2	800	20	0.3	1	3
1	24005	东安营寨	2000	10	0.3	2	4
1	24006	复活点	1000	8	3	1	4
1	24007	据点	1000	4	0.3	0	4
1	24076	刘修	2000	5	0.5	1	7
1	24077	刘弥	3000	5	0.8	1	7
1	24020	弩兵	700	5	0.3	1	8
1	24021	弩兵	700	5	0.3	1	8
1	24022	弩兵	700	5	0.3	1	8
1	24023	弩兵	700	5	0.3	1	8
1	24024	弩兵	700	5	0.3	1	8
1	24025	弩兵	700	5	0.3	1	8
2	24000	东安政厅	3000	30	0.3	1	1
10	24046	大家快上车	400	2	0.3	2	8
10	24047	大家快上车	400	2	0.3	2	8
10	24048	大家快上车	400	2	0.3	2	8
11	24049	咸鸭蛋超人	400	2	0.3	2	8
11	24050	咸鸭蛋超人	400	2	0.3	2	8
11	24051	咸鸭蛋超人	400	2	0.3	2	8
12	24052	玉米好棒	400	2	0.3	2	8
12	24053	玉米好棒	400	2	0.3	2	8
12	24054	玉米好棒	400	2	0.3	2	8
13	24055	大佬你好	400	2	0.3	2	8
13	24056	大佬你好	400	2	0.3	2	8
13	24057	大佬你好	400	2	0.3	2	8
14	24058	别叫我大佬	1200	25	20	2	8
14	24059	别叫我大佬	1200	25	20	2	8
14	24060	别叫我大佬	1200	25	20	2	8
20	24061	城防援军	400	2	0.3	1	8
20	24062	城防援军	400	2	0.3	1	8
20	24063	城防援军	400	2	0.3	1	8
20	24064	城防援军	400	2	0.3	1	8
20	24065	城防援军	400	2	0.3	1	8
20	24066	城防援军	400	2	0.3	1	8
21	24067	城防援军	400	2	0.3	1	8
21	24068	城防援军	400	2	0.3	1	8
21	24069	城防援军	400	2	0.3	1	8
22	24070	城防援军	400	2	0.3	1	8
22	24071	城防援军	400	2	0.3	1	8
22	24072	城防援军	400	2	0.3	1	8
23	24073	城防援军	400	2	0.3	1	8
23	24074	城防援军	400	2	0.3	1	8
23	24075	城防援军	400	2	0.3	1	8
40	24008	刘修	2000	3	0.5	1	7
41	24009	刘弥	3000	4	0.8	1	7
