id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	80601	嗟銓淉泆	3000	40	0.3	1	1
0	22318	嫘祫茠朘	500	4	0.3	0	4
0	22319	虴嗷茠朘	500	4	0.3	0	4
0	22320	擘峉刓茠朘	500	4	0.3	0	4
0	80602	璋坢	1000	20	0.3	1	2
0	80603	璋坢	1000	20	0.3	1	2
0	80604	嗟銓鰍傑藷	1200	20	0.3	1	3
0	80605	鎮鬲	2000	4	0.3	1	7
0	80606	璽笢	2000	4	0.3	1	7
0	80607	璽俋	2000	4	0.3	1	7
0	80608	璽爵	2000	4	0.3	1	7
0	80609	僮璋條	700	4	0.3	1	8
0	80610	僮璋條	700	4	0.3	1	8
0	80611	僮璋條	700	4	0.3	1	8
0	80612	僮璋條	700	4	0.3	1	8
0	80613	僮璋條	700	4	0.3	1	8
0	80614	僮璋條	700	4	0.3	1	8
0	80615	僮璋條	700	4	0.3	1	8
0	80616	僮璋條	700	4	0.3	1	8
0	80617	僮璋條	700	4	0.3	1	8
0	80618	僮璋條	700	4	0.3	1	8
0	80619	僮璋條	700	4	0.3	1	8
0	80620	僮璋條	700	4	0.3	1	8
0	80621	僮璋條	700	4	0.3	1	8
0	80622	僮璋條	700	4	0.3	1	8
0	80623	僮璋條	700	4	0.3	1	8
0	80624	僮璋條	700	4	0.3	1	8
0	80625	僮璋條	700	4	0.3	1	8
0	80626	僮璋條	700	4	0.3	1	8
0	80627	僮璋條	700	4	0.3	1	8
0	80628	僮璋條	700	4	0.3	1	8
0	80629	僮璋條	700	4	0.3	1	8
0	80630	僮璋條	700	4	0.3	1	8
0	80631	僮璋條	700	4	0.3	1	8
0	80632	僮璋條	700	4	0.3	1	8
0	80633	僮璋條	700	4	0.3	1	8
0	80634	僮璋條	700	4	0.3	1	8
0	80635	僮璋條	700	4	0.3	1	8
0	80636	僮璋條	700	4	0.3	1	8
0	80637	僮璋條	700	4	0.3	1	8
0	80638	僮璋條	700	4	0.3	1	8
0	80639	僮璋條	700	4	0.3	1	8
0	80640	僮璋條	700	4	0.3	1	8
0	80641	僮璋條	700	4	0.3	1	8
0	80642	僮璋條	700	4	0.3	1	8
0	80643	僮璋條	700	4	0.3	1	8
0	80644	僮璋條	700	4	0.3	1	8
0	80645	笭る條	700	4	0.3	1	8
0	80646	笭る條	700	4	0.3	1	8
0	80647	笭る條	700	4	0.3	1	8
0	80648	笭る條	700	4	0.3	1	8
0	80649	酗磢條	700	4	0.3	1	8
0	80650	酗磢條	700	4	0.3	1	8
0	80651	酗磢條	700	4	0.3	1	8
0	80652	酗磢條	700	4	0.3	1	8
0	80653	酗磢條	700	4	0.3	1	8
0	80654	酗磢條	700	4	0.3	1	8
0	80655	酗磢條	700	4	0.3	1	8
0	80656	酗磢條	700	4	0.3	1	8
0	80657	酗磢條	700	4	0.3	1	8
0	80658	酗磢條	700	4	0.3	1	8
