id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	88201	房陵西城门	1200	20	0.3	1	3
0	22184	房陵西营寨	500	4	0.3	0	4
0	22185	昌魏营寨	500	4	0.3	0	4
0	88202	房陵南城门	1200	20	0.3	1	3
0	88203	房陵政厅	3000	40	0.3	1	1
0	88204	房陵箭塔	1000	20	0.3	1	2
0	88205	房陵箭塔	1000	20	0.3	1	2
0	88206	箭塔	1000	20	0.3	1	2
0	88207	重步兵	700	4	0.3	1	8
0	88208	重步兵	700	4	0.3	1	8
0	88209	重步兵	700	4	0.3	1	8
0	88210	重步兵	700	4	0.3	1	8
0	88211	弩兵	700	4	0.3	1	8
0	88212	弩兵	700	4	0.3	1	8
0	88213	重步兵	700	4	0.3	1	8
0	88214	重步兵	700	4	0.3	1	8
0	88215	弩兵	700	4	0.3	1	8
0	88216	弩兵	700	4	0.3	1	8
0	88217	重步兵	700	4	0.3	1	8
0	88218	重步兵	700	4	0.3	1	8
0	88219	弩兵	700	4	0.3	1	8
0	88220	弩兵	700	4	0.3	1	8
0	88221	投石车	700	4	0.3	1	8
0	88222	投石车	700	4	0.3	1	8
0	88223	投石车	700	4	0.3	1	8
0	88224	投石车	700	4	0.3	1	8
0	88225	投石车	700	4	0.3	1	8
0	88226	投石车	700	4	0.3	1	8
0	88227	投石车	700	4	0.3	1	8
0	88228	投石车	700	4	0.3	1	8
0	88229	投石车	700	4	0.3	1	8
0	88230	投石车	700	4	0.3	1	8
0	88231	重步兵	700	4	0.3	1	8
0	88232	重步兵	700	4	0.3	1	8
0	88233	弩兵	700	4	0.3	1	8
0	88234	弩兵	700	4	0.3	1	8
0	88235	弩兵	700	4	0.3	1	8
0	88236	弩兵	700	4	0.3	1	8
0	88237	弩兵	700	4	0.3	1	8
0	88238	弩兵	700	4	0.3	1	8
0	88239	弩兵	700	4	0.3	1	8
0	88240	弩兵	700	4	0.3	1	8
0	88241	重步兵	700	4	0.3	1	8
0	88242	重步兵	700	4	0.3	1	8
0	88243	弩兵	700	4	0.3	1	8
0	88244	弩兵	700	4	0.3	1	8
0	88245	重步兵	700	4	0.3	1	8
0	88246	重步兵	700	4	0.3	1	8
0	88247	弩兵	700	4	0.3	1	8
0	88248	弩兵	700	4	0.3	1	8
0	88249	重步兵	700	4	0.3	1	8
0	88250	重步兵	700	4	0.3	1	8
0	88251	弩兵	700	4	0.3	1	8
0	88252	弩兵	700	4	0.3	1	8
0	88253	重步兵	700	4	0.3	1	8
0	88254	重步兵	700	4	0.3	1	8
0	88255	弩兵	700	4	0.3	1	8
0	88256	弩兵	700	4	0.3	1	8
0	88257	重步兵	700	4	0.3	1	8
0	88258	重步兵	700	4	0.3	1	8
0	88259	重步兵	700	4	0.3	1	8
0	88260	重步兵	700	4	0.3	1	8
0	88261	孟薄	2000	4	0.3	1	7
0	88262	重步兵	700	4	0.3	1	8
0	88263	重步兵	700	4	0.3	1	8
0	88264	重步兵	700	4	0.3	1	8
0	88265	重步兵	700	4	0.3	1	8
0	88266	孟兴	2000	4	0.3	1	7
0	88267	重步兵	700	4	0.3	1	8
0	88268	重步兵	700	4	0.3	1	8
0	88269	弩兵	700	4	0.3	1	8
0	88270	弩兵	700	4	0.3	1	8
0	88271	弩兵	700	4	0.3	1	8
0	88272	弩兵	700	4	0.3	1	8
0	88273	孟达	2000	4	0.3	1	7
0	110270	绥阳营寨	500	4	0.3	2	4
1	22184	房陵西营寨	500	5	0.3	0	4
1	22185	昌魏营寨	500	5	0.3	0	4
1	88201	房陵西城门	1200	20	0.3	1	3
1	88202	房陵南城门	1200	20	0.3	1	3
1	88203	房陵政厅	3000	40	0.3	1	1
1	88204	房陵箭塔	1000	20	0.3	1	2
1	88205	房陵箭塔	1000	20	0.3	1	2
1	88206	箭塔	1000	20	0.3	1	2
1	88224	投石车	700	5	0.3	1	8
1	88225	投石车	700	5	0.3	1	8
1	88235	弩兵	700	5	0.3	1	8
1	88236	弩兵	700	5	0.3	1	8
1	88259	重步兵	700	5	0.3	1	8
1	88260	重步兵	700	5	0.3	1	8
1	88261	孟薄	2000	5	0.3	1	7
1	88264	重步兵	700	5	0.3	1	8
1	88265	重步兵	700	5	0.3	1	8
1	88266	孟兴	2000	5	0.3	1	7
1	88269	弩兵	700	5	0.3	1	8
1	88270	弩兵	700	5	0.3	1	8
1	88271	弩兵	700	5	0.3	1	8
1	88272	弩兵	700	5	0.3	1	8
1	88273	孟达	2000	5	0.3	1	7
1	110270	绥阳营寨	1500	8	0.3	2	4
1	120028	房陵防守点	1000	15	3	1	4
2	88203	房陵政厅	3000	40	0.3	1	1
10	110271	沶乡营寨	500	5	0.3	2	4
10	110271	沶乡营寨	500	5	0.3	2	4
