id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	91801	阜陵政厅	3000	40	0.3	1	1
0	22392	阜陵西南营寨	500	4	0.3	0	4
0	22393	阜陵东营寨	500	4	0.3	0	4
0	91802	阜陵箭楼	1000	20	0.3	1	2
0	91803	阜陵箭楼	1000	20	0.3	1	2
0	91804	阜陵南城门	1200	20	0.3	1	3
0	91805	阜陵西城门	1200	20	0.3	1	3
0	91806	阜陵东城门	1200	20	0.3	1	3
0	91807	轻骑兵	700	4	0.3	1	8
0	91808	轻骑兵	700	4	0.3	1	8
0	91809	重步兵	700	4	0.3	1	8
0	91810	重步兵	700	4	0.3	1	8
0	91811	轻骑兵	700	4	0.3	1	8
0	91812	轻骑兵	700	4	0.3	1	8
0	91813	重步兵	700	4	0.3	1	8
0	91814	重步兵	700	4	0.3	1	8
0	91815	轻骑兵	700	4	0.3	1	8
0	91816	轻骑兵	700	4	0.3	1	8
0	91817	重步兵	700	4	0.3	1	8
0	91818	重步兵	700	4	0.3	1	8
0	91819	长戟兵	700	4	0.3	1	8
0	91820	长戟兵	700	4	0.3	1	8
0	91821	重步兵	700	4	0.3	1	8
0	91822	重步兵	700	4	0.3	1	8
0	91823	戈定	2000	4	0.3	1	7
0	91824	长戟兵	700	4	0.3	1	8
0	91825	长戟兵	700	4	0.3	1	8
0	91826	重步兵	700	4	0.3	1	8
0	91827	重步兵	700	4	0.3	1	8
0	91828	丁信	2000	4	0.3	1	7
0	91829	长戟兵	700	4	0.3	1	8
0	91830	长戟兵	700	4	0.3	1	8
0	91831	重步兵	700	4	0.3	1	8
0	91832	重步兵	700	4	0.3	1	8
0	91833	丁蕃	2000	4	0.3	1	7
0	91834	神射营	700	4	0.3	1	8
0	91835	神射营	700	4	0.3	1	8
0	91836	神射营	700	4	0.3	1	8
0	91837	神射营	700	4	0.3	1	8
0	91838	神射营	700	4	0.3	1	8
0	91839	神射营	700	4	0.3	1	8
0	91840	神射营	700	4	0.3	1	8
0	91841	神射营	700	4	0.3	1	8
0	91842	神射营	700	4	0.3	1	8
0	91843	神射营	700	4	0.3	1	8
0	91844	神射营	700	4	0.3	1	8
0	91845	丹阳兵	700	4	0.3	1	8
0	91846	神射营	700	4	0.3	1	8
0	91847	神射营	700	4	0.3	1	8
0	91848	丹阳兵	700	4	0.3	1	8
0	91849	长戟兵	700	4	0.3	1	8
0	91850	长戟兵	700	4	0.3	1	8
0	91851	长戟兵	700	4	0.3	1	8
0	91852	长戟兵	700	4	0.3	1	8
0	91853	长戟兵	700	4	0.3	1	8
0	91854	长戟兵	700	4	0.3	1	8
0	91855	丹阳兵	700	4	0.3	1	8
0	91856	丹阳兵	700	4	0.3	1	8
0	91857	丹阳兵	700	4	0.3	1	8
0	91858	丹阳兵	700	4	0.3	1	8
0	91859	神射营	700	4	0.3	1	8
0	91860	神射营	700	4	0.3	1	8
0	91861	轻骑兵	700	4	0.3	1	8
0	91862	轻骑兵	700	4	0.3	1	8
0	91863	神射营	700	4	0.3	1	8
0	91864	神射营	700	4	0.3	1	8
0	91865	神射营	700	4	0.3	1	8
0	91866	丹阳兵	700	4	0.3	1	8
0	91867	丹阳兵	700	4	0.3	1	8
0	91868	神射营	700	4	0.3	1	8
0	91869	神射营	700	4	0.3	1	8
0	91870	舒邵	2000	4	0.3	1	7
0	110308	历阳营寨	500	4	0.3	2	4
1	22392	阜陵西南营寨	500	5	0.3	0	4
1	22393	阜陵东营寨	500	5	0.3	0	4
1	91801	阜陵政厅	3000	40	0.3	1	1
1	91802	阜陵箭楼	1000	20	0.3	1	2
1	91803	阜陵箭楼	1000	20	0.3	1	2
1	91804	阜陵南城门	1200	20	0.3	1	3
1	91805	阜陵西城门	1200	20	0.3	1	3
1	91806	阜陵东城门	1200	20	0.3	1	3
1	91821	重步兵	700	5	0.3	1	8
1	91822	重步兵	700	5	0.3	1	8
1	91823	戈定	2000	5	0.3	1	7
1	91826	重步兵	700	5	0.3	1	8
1	91827	重步兵	700	5	0.3	1	8
1	91828	丁信	2000	5	0.3	1	7
1	91831	重步兵	700	5	0.3	1	8
1	91832	重步兵	700	5	0.3	1	8
1	91833	丁蕃	2000	5	0.3	1	7
1	91836	神射营	700	5	0.3	1	8
1	91839	神射营	700	5	0.3	1	8
1	91842	神射营	700	5	0.3	1	8
1	91845	丹阳兵	700	5	0.3	1	8
1	91848	丹阳兵	700	5	0.3	1	8
1	91866	丹阳兵	700	5	0.3	1	8
1	91867	丹阳兵	700	5	0.3	1	8
1	91868	神射营	700	5	0.3	1	8
1	91869	神射营	700	5	0.3	1	8
1	91870	舒邵	2000	5	0.3	1	7
1	110308	历阳营寨	1500	8	0.3	2	4
1	120163	阜陵防守点	1000	15	3	1	4
2	91801	阜陵政厅	3000	40	0.3	1	1
10	110307	乌江营寨	500	5	0.3	2	4
10	110307	乌江营寨	500	5	0.3	2	4
10	110309	阜县营寨	500	5	0.3	2	4
10	110309	阜县营寨	500	5	0.3	2	4
