id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	83701	涪陵政厅	3000	40	0.3	1	1
0	22388	涪陵西南营寨	500	4	0.3	0	4
0	22389	涪陵东营寨	500	4	0.3	0	4
0	83702	涪陵箭楼	1000	20	0.3	1	2
0	83703	涪陵箭楼	1000	20	0.3	1	2
0	83704	涪陵南城门	1200	20	0.3	1	3
0	83705	涪陵西城门	1200	20	0.3	1	3
0	83706	涪陵东城门	1200	20	0.3	1	3
0	83707	轻骑兵	700	4	0.3	1	8
0	83708	轻骑兵	700	4	0.3	1	8
0	83709	重步兵	700	4	0.3	1	8
0	83710	重步兵	700	4	0.3	1	8
0	83711	轻骑兵	700	4	0.3	1	8
0	83712	轻骑兵	700	4	0.3	1	8
0	83713	重步兵	700	4	0.3	1	8
0	83714	重步兵	700	4	0.3	1	8
0	83715	轻骑兵	700	4	0.3	1	8
0	83716	轻骑兵	700	4	0.3	1	8
0	83717	重步兵	700	4	0.3	1	8
0	83718	重步兵	700	4	0.3	1	8
0	83719	长戟兵	700	4	0.3	1	8
0	83720	长戟兵	700	4	0.3	1	8
0	83721	重步兵	700	4	0.3	1	8
0	83722	重步兵	700	4	0.3	1	8
0	83723	卓赝	2000	4	0.3	1	7
0	83724	长戟兵	700	4	0.3	1	8
0	83725	长戟兵	700	4	0.3	1	8
0	83726	重步兵	700	4	0.3	1	8
0	83727	重步兵	700	4	0.3	1	8
0	83728	卓膺	2000	4	0.3	1	7
0	83729	长戟兵	700	4	0.3	1	8
0	83730	长戟兵	700	4	0.3	1	8
0	83731	重步兵	700	4	0.3	1	8
0	83732	重步兵	700	4	0.3	1	8
0	83733	刘循	2000	4	0.3	1	7
0	83734	神射营	700	4	0.3	1	8
0	83735	神射营	700	4	0.3	1	8
0	83736	神射营	700	4	0.3	1	8
0	83737	神射营	700	4	0.3	1	8
0	83738	神射营	700	4	0.3	1	8
0	83739	神射营	700	4	0.3	1	8
0	83740	神射营	700	4	0.3	1	8
0	83741	神射营	700	4	0.3	1	8
0	83742	神射营	700	4	0.3	1	8
0	83743	神射营	700	4	0.3	1	8
0	83744	神射营	700	4	0.3	1	8
0	83745	元戎弩	700	4	0.3	1	8
0	83746	神射营	700	4	0.3	1	8
0	83747	神射营	700	4	0.3	1	8
0	83748	元戎弩	700	4	0.3	1	8
0	83749	长戟兵	700	4	0.3	1	8
0	83750	长戟兵	700	4	0.3	1	8
0	83751	长戟兵	700	4	0.3	1	8
0	83752	长戟兵	700	4	0.3	1	8
0	83753	长戟兵	700	4	0.3	1	8
0	83754	长戟兵	700	4	0.3	1	8
0	83755	元戎弩	700	4	0.3	1	8
0	83756	元戎弩	700	4	0.3	1	8
0	83757	元戎弩	700	4	0.3	1	8
0	83758	元戎弩	700	4	0.3	1	8
0	83759	神射营	700	4	0.3	1	8
0	83760	神射营	700	4	0.3	1	8
0	83761	轻骑兵	700	4	0.3	1	8
0	83762	轻骑兵	700	4	0.3	1	8
0	83763	神射营	700	4	0.3	1	8
0	83764	神射营	700	4	0.3	1	8
0	83765	神射营	700	4	0.3	1	8
0	83766	元戎弩	700	4	0.3	1	8
0	83767	元戎弩	700	4	0.3	1	8
0	83768	神射营	700	4	0.3	1	8
0	83769	神射营	700	4	0.3	1	8
0	83770	张任	2000	4	0.3	1	7
0	110221	汉葭营寨	500	4	0.3	2	4
1	22388	涪陵西南营寨	500	5	0.3	0	4
1	22389	涪陵东营寨	500	5	0.3	0	4
1	83701	涪陵政厅	3000	40	0.3	1	1
1	83702	涪陵箭楼	1000	20	0.3	1	2
1	83703	涪陵箭楼	1000	20	0.3	1	2
1	83704	涪陵南城门	1200	20	0.3	1	3
1	83705	涪陵西城门	1200	20	0.3	1	3
1	83706	涪陵东城门	1200	20	0.3	1	3
1	83721	重步兵	700	5	0.3	1	8
1	83722	重步兵	700	5	0.3	1	8
1	83723	卓赝	2000	5	0.3	1	7
1	83726	重步兵	700	5	0.3	1	8
1	83727	重步兵	700	5	0.3	1	8
1	83728	卓膺	2000	5	0.3	1	7
1	83731	重步兵	700	5	0.3	1	8
1	83732	重步兵	700	5	0.3	1	8
1	83733	刘循	2000	5	0.3	1	7
1	83736	神射营	700	5	0.3	1	8
1	83739	神射营	700	5	0.3	1	8
1	83742	神射营	700	5	0.3	1	8
1	83745	元戎弩	700	5	0.3	1	8
1	83748	元戎弩	700	5	0.3	1	8
1	83766	元戎弩	700	5	0.3	1	8
1	83767	元戎弩	700	5	0.3	1	8
1	83768	神射营	700	5	0.3	1	8
1	83769	神射营	700	5	0.3	1	8
1	83770	张任	2000	5	0.3	1	7
1	110221	汉葭营寨	1500	8	0.3	2	4
1	120161	涪陵防守点	1000	15	3	1	4
2	83701	涪陵政厅	3000	40	0.3	1	1
10	110220	丹兴营寨	500	5	0.3	2	4
10	110220	丹兴营寨	500	5	0.3	2	4
10	110222	汉复营寨	500	5	0.3	2	4
10	110222	汉复营寨	500	5	0.3	2	4
