id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	60601	ÐÁÃ÷	3000	40	0.3	1	7
0	60602	¹­¼ý±ø	700	4	0.3	1	8
0	60603	¹­¼ý±ø	700	4	0.3	1	8
0	60604	¹­¼ý±ø	700	4	0.3	1	8
0	60605	¹­¼ý±ø	700	4	0.3	1	8
0	60606	¹­¼ý±ø	700	4	0.3	1	8
0	60607	¹­¼ý±ø	700	4	0.3	1	8
0	60608	¹­¼ý±ø	700	4	0.3	1	8
0	60609	¹­¼ý±ø	700	4	0.3	1	8
0	60610	¹­¼ý±ø	700	4	0.3	1	8
0	60611	¹­¼ý±ø	700	4	0.3	1	8
0	60612	¹­¼ý±ø	700	4	0.3	1	8
0	60613	¹­¼ý±ø	700	4	0.3	1	8
0	60614	¹­¼ý±ø	700	4	0.3	1	8
0	60615	Í»Æï±ø	700	4	0.3	1	8
0	60616	Í»Æï±ø	700	4	0.3	1	8
0	60617	Í»Æï±ø	700	4	0.3	1	8
0	60618	Í»Æï±ø	700	4	0.3	1	8
0	60619	Í»Æï±ø	700	4	0.3	1	8
0	60620	Í»Æï±ø	700	4	0.3	1	8
0	60621	Í»Æï±ø	700	4	0.3	1	8
0	60622	Í»Æï±ø	700	4	0.3	1	8
0	60623	Í»Æï±ø	700	4	0.3	1	8
0	60624	Í»Æï±ø	700	4	0.3	1	8
0	60625	Í»Æï±ø	700	4	0.3	1	8
0	60626	Í»Æï±ø	700	4	0.3	1	8
0	60627	Í»Æï±ø	700	4	0.3	1	8
0	60628	Í»Æï±ø	700	4	0.3	1	8
0	60629	Í»Æï±ø	700	4	0.3	1	8
0	60630	Í»Æï±ø	700	4	0.3	1	8
0	60631	Í»Æï±ø	700	4	0.3	1	8
0	60632	Í»Æï±ø	700	4	0.3	1	8
0	60633	Í»Æï±ø	700	4	0.3	1	8
0	60634	Í»Æï±ø	700	4	0.3	1	8
0	60635	Í»Æï±ø	700	4	0.3	1	8
0	60636	Í»Æï±ø	700	4	0.3	1	8
0	60637	Í»Æï±ø	700	4	0.3	1	8
0	60638	Í»Æï±ø	700	4	0.3	1	8
0	60639	Í»Æï±ø	700	4	0.3	1	8
0	60640	Í»Æï±ø	700	4	0.3	1	8
0	60641	Í»Æï±ø	700	4	0.3	1	8
0	60642	Í»Æï±ø	700	4	0.3	1	8
0	60643	Í»Æï±ø	700	4	0.3	1	8
0	60644	Í»Æï±ø	700	4	0.3	1	8
0	60645	Í»Æï±ø	700	4	0.3	1	8
0	60646	Í»Æï±ø	700	4	0.3	1	8
0	60647	Í»Æï±ø	700	4	0.3	1	8
0	60648	Í»Æï±ø	700	4	0.3	1	8
0	110362	º£ÖÞÓªÕ¯	500	4	0.3	2	4
0	130123	º£Ú¤ÓªÕ¯	500	4	0.3	0	4
0	130132	º£Ú¤ÓªÕ¯	500	4	0.3	0	4
1	60601	ÐÁÃ÷	3000	40	0.3	1	7
1	60602	¹­¼ý±ø	700	5	0.3	1	8
1	60603	¹­¼ý±ø	700	5	0.3	1	8
1	60604	¹­¼ý±ø	700	5	0.3	1	8
1	60605	¹­¼ý±ø	700	5	0.3	1	8
1	60606	¹­¼ý±ø	700	5	0.3	1	8
1	60607	¹­¼ý±ø	700	5	0.3	1	8
1	60610	¹­¼ý±ø	700	5	0.3	1	8
1	60611	¹­¼ý±ø	700	5	0.3	1	8
1	60622	Í»Æï±ø	700	5	0.3	1	8
1	60623	Í»Æï±ø	700	5	0.3	1	8
1	60624	Í»Æï±ø	700	5	0.3	1	8
1	60638	Í»Æï±ø	700	5	0.3	1	8
1	60639	Í»Æï±ø	700	5	0.3	1	8
1	60640	Í»Æï±ø	700	5	0.3	1	8
1	110362	º£ÖÞÓªÕ¯	1500	8	0.3	2	4
1	120185	º£Ú¤·ÀÊØµã	1000	15	3	1	4
1	130123	º£Ú¤ÓªÕ¯	500	5	0.3	0	4
1	130132	º£Ú¤ÓªÕ¯	500	5	0.3	0	4
2	60601	ÐÁÃ÷	3000	40	0.3	1	9
