id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	64601	邯郸南城门	800	8	0.3	1	3
0	22273	邯郸西营寨	500	4	0.3	0	4
0	22274	邯郸北营寨	500	4	0.3	0	4
0	64602	邯郸西城门	800	8	0.3	1	3
0	64603	邯郸东城门	800	8	0.3	1	3
0	64604	邯郸政厅	1000	20	0.3	1	1
0	64605	邯郸箭塔	1000	8	0.3	1	2
0	64606	邯郸箭塔	1000	8	0.3	1	2
0	64607	刘赦	2000	4	0.3	1	7
0	64608	先登强弩	700	4	0.3	1	8
0	64609	先登强弩	700	4	0.3	1	8
0	64610	陷阵营	700	4	0.3	1	8
0	64611	陷阵营	700	4	0.3	1	8
0	64612	逢纪	2000	4	0.3	1	7
0	64613	先登强弩	700	4	0.3	1	8
0	64614	先登强弩	700	4	0.3	1	8
0	64615	陷阵营	700	4	0.3	1	8
0	64616	陷阵营	700	4	0.3	1	8
0	64617	朱汉	2000	4	0.3	1	7
0	64618	飞熊军	700	4	0.3	1	8
0	64619	飞熊军	700	4	0.3	1	8
0	64620	陷阵营	700	4	0.3	1	8
0	64621	陷阵营	700	4	0.3	1	8
0	64622	刘丑	2000	4	0.3	1	7
0	64623	飞熊军	700	4	0.3	1	8
0	64624	飞熊军	700	4	0.3	1	8
0	64625	陷阵营	700	4	0.3	1	8
0	64626	陷阵营	700	4	0.3	1	8
0	64627	铁甲军	700	4	0.3	1	8
0	64628	先登强弩	700	4	0.3	1	8
0	64629	先登强弩	700	4	0.3	1	8
0	64630	铁甲军	700	4	0.3	1	8
0	64631	铁甲军	700	4	0.3	1	8
0	110053	列人营寨	500	4	0.3	2	4
0	130029	邯郸营寨	500	4	0.3	0	4
0	130030	邯郸营寨	500	4	0.3	0	4
1	22273	邯郸西营寨	500	5	0.3	0	4
1	22274	邯郸北营寨	500	5	0.3	0	4
1	64601	邯郸南城门	1200	15	0.3	1	3
1	64602	邯郸西城门	1200	15	0.3	1	3
1	64603	邯郸东城门	1200	15	0.3	1	3
1	64604	邯郸政厅	3000	30	0.3	1	1
1	64605	邯郸箭塔	1000	15	0.3	1	2
1	64606	邯郸箭塔	1000	15	0.3	1	2
1	64607	刘赦	2000	5	0.3	1	7
1	64608	先登强弩	700	5	0.3	1	8
1	64609	先登强弩	700	5	0.3	1	8
1	64610	陷阵营	700	5	0.3	1	8
1	64611	陷阵营	700	5	0.3	1	8
1	64612	逢纪	2000	5	0.3	1	7
1	64613	先登强弩	700	5	0.3	1	8
1	64614	先登强弩	700	5	0.3	1	8
1	64615	陷阵营	700	5	0.3	1	8
1	64616	陷阵营	700	5	0.3	1	8
1	64617	朱汉	2000	5	0.3	1	7
1	64618	飞熊军	700	5	0.3	1	8
1	64619	飞熊军	700	5	0.3	1	8
1	64620	陷阵营	700	5	0.3	1	8
1	64621	陷阵营	700	5	0.3	1	8
1	64622	刘丑	2000	5	0.3	1	7
1	64623	飞熊军	700	5	0.3	1	8
1	64624	飞熊军	700	5	0.3	1	8
1	64625	陷阵营	700	5	0.3	1	8
1	64626	陷阵营	700	5	0.3	1	8
1	64627	铁甲军	700	5	0.3	1	8
1	64628	先登强弩	700	5	0.3	1	8
1	64629	先登强弩	700	5	0.3	1	8
1	64630	铁甲军	700	5	0.3	1	8
1	64631	铁甲军	700	5	0.3	1	8
1	110053	列人营寨	1500	8	0.3	2	4
1	120084	邯郸防守点	1000	15	3	1	4
1	130029	邯郸营寨	500	5	0.3	0	4
1	130030	邯郸营寨	500	5	0.3	0	4
2	64604	邯郸政厅	3000	30	0.3	1	1
10	110052	易阳营寨	500	5	0.3	2	4
10	110052	易阳营寨	500	5	0.3	2	4
10	110054	肥乡营寨	500	5	0.3	2	4
10	110054	肥乡营寨	500	5	0.3	2	4
