id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	63501	河间政厅	3000	40	0.3	1	1
0	22386	河间西南营寨	500	4	0.3	0	4
0	22387	河间东营寨	500	4	0.3	0	4
0	63502	河间箭楼	1000	20	0.3	1	2
0	63503	河间箭楼	1000	20	0.3	1	2
0	63504	河间南城门	1200	20	0.3	1	3
0	63505	河间西城门	1200	20	0.3	1	3
0	63506	河间东城门	1200	20	0.3	1	3
0	63507	轻骑兵	700	4	0.3	1	8
0	63508	轻骑兵	700	4	0.3	1	8
0	63509	弓箭兵	700	4	0.3	1	8
0	63510	弓箭兵	700	4	0.3	1	8
0	63511	轻骑兵	700	4	0.3	1	8
0	63512	轻骑兵	700	4	0.3	1	8
0	63513	弓箭兵	700	4	0.3	1	8
0	63514	弓箭兵	700	4	0.3	1	8
0	63515	轻骑兵	700	4	0.3	1	8
0	63516	轻骑兵	700	4	0.3	1	8
0	63517	弓箭兵	700	4	0.3	1	8
0	63518	弓箭兵	700	4	0.3	1	8
0	63519	重步兵	700	4	0.3	1	8
0	63520	重步兵	700	4	0.3	1	8
0	63521	弓箭兵	700	4	0.3	1	8
0	63522	弓箭兵	700	4	0.3	1	8
0	63523	淳于任	2000	4	0.3	1	7
0	63524	重步兵	700	4	0.3	1	8
0	63525	重步兵	700	4	0.3	1	8
0	63526	弓箭兵	700	4	0.3	1	8
0	63527	弓箭兵	700	4	0.3	1	8
0	63528	韩莒子	2000	4	0.3	1	7
0	63529	重步兵	700	4	0.3	1	8
0	63530	重步兵	700	4	0.3	1	8
0	63531	弓箭兵	700	4	0.3	1	8
0	63532	弓箭兵	700	4	0.3	1	8
0	63533	眭元进	2000	4	0.3	1	7
0	63534	弩兵	700	4	0.3	1	8
0	63535	弩兵	700	4	0.3	1	8
0	63536	弩兵	700	4	0.3	1	8
0	63537	弩兵	700	4	0.3	1	8
0	63538	弩兵	700	4	0.3	1	8
0	63539	弩兵	700	4	0.3	1	8
0	63540	弩兵	700	4	0.3	1	8
0	63541	弩兵	700	4	0.3	1	8
0	63542	弩兵	700	4	0.3	1	8
0	63543	弩兵	700	4	0.3	1	8
0	63544	弩兵	700	4	0.3	1	8
0	63545	弩兵	700	4	0.3	1	8
0	63546	弩兵	700	4	0.3	1	8
0	63547	弩兵	700	4	0.3	1	8
0	63548	弩兵	700	4	0.3	1	8
0	63549	重步兵	700	4	0.3	1	8
0	63550	重步兵	700	4	0.3	1	8
0	63551	重步兵	700	4	0.3	1	8
0	63552	重步兵	700	4	0.3	1	8
0	63553	重步兵	700	4	0.3	1	8
0	63554	重步兵	700	4	0.3	1	8
0	63555	轻骑兵	700	4	0.3	1	8
0	63556	轻骑兵	700	4	0.3	1	8
0	63557	轻骑兵	700	4	0.3	1	8
0	63558	轻骑兵	700	4	0.3	1	8
0	63559	弩兵	700	4	0.3	1	8
0	63560	弩兵	700	4	0.3	1	8
0	63561	轻骑兵	700	4	0.3	1	8
0	63562	轻骑兵	700	4	0.3	1	8
0	63563	轻骑兵	700	4	0.3	1	8
0	63564	轻骑兵	700	4	0.3	1	8
0	63565	弩兵	700	4	0.3	1	8
0	63566	弩兵	700	4	0.3	1	8
0	63567	弩兵	700	4	0.3	1	8
0	63568	弩兵	700	4	0.3	1	8
0	63569	弩兵	700	4	0.3	1	8
0	63570	淳于琼	2000	4	0.3	1	7
0	110039	成平营寨	500	4	0.3	2	4
1	22386	河间西南营寨	500	5	0.3	0	4
1	22387	河间东营寨	500	5	0.3	0	4
1	63501	河间政厅	3000	40	0.3	1	1
1	63502	河间箭楼	1000	20	0.3	1	2
1	63503	河间箭楼	1000	20	0.3	1	2
1	63504	河间南城门	1200	20	0.3	1	3
1	63505	河间西城门	1200	20	0.3	1	3
1	63506	河间东城门	1200	20	0.3	1	3
1	63521	弓箭兵	700	5	0.3	1	8
1	63522	弓箭兵	700	5	0.3	1	8
1	63523	淳于任	2000	5	0.3	1	7
1	63526	弓箭兵	700	5	0.3	1	8
1	63527	弓箭兵	700	5	0.3	1	8
1	63528	韩莒子	2000	5	0.3	1	7
1	63531	弓箭兵	700	5	0.3	1	8
1	63532	弓箭兵	700	5	0.3	1	8
1	63533	眭元进	2000	5	0.3	1	7
1	63536	弩兵	700	5	0.3	1	8
1	63539	弩兵	700	5	0.3	1	8
1	63542	弩兵	700	5	0.3	1	8
1	63545	弩兵	700	5	0.3	1	8
1	63548	弩兵	700	5	0.3	1	8
1	63566	弩兵	700	5	0.3	1	8
1	63567	弩兵	700	5	0.3	1	8
1	63568	弩兵	700	5	0.3	1	8
1	63569	弩兵	700	5	0.3	1	8
1	63570	淳于琼	2000	5	0.3	1	7
1	110039	成平营寨	1500	8	0.3	2	4
1	120158	河间防守点	1000	15	3	1	4
2	63501	河间政厅	3000	40	0.3	1	1
10	110038	乐成营寨	500	5	0.3	2	4
10	110038	乐成营寨	500	5	0.3	2	4
10	110040	束州营寨	500	5	0.3	2	4
10	110040	束州营寨	500	5	0.3	2	4
