id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	95901	合浦西城门	1200	20	0.3	1	3
0	22162	合浦东营寨	500	4	0.3	0	4
0	22163	昌平营寨	500	4	0.3	0	4
0	22164	连道营寨	500	4	0.3	0	4
0	95902	合浦北城门	1200	20	0.3	1	3
0	95903	合浦政厅	3000	40	0.3	1	1
0	95904	合浦箭塔	1000	20	0.3	1	2
0	95905	合浦箭塔	1000	20	0.3	1	2
0	95906	士壹	2000	4	0.3	1	7
0	95907	象兵	700	4	0.3	1	8
0	95908	象兵	700	4	0.3	1	8
0	95909	象兵	700	4	0.3	1	8
0	95910	重步兵	700	4	0.3	1	8
0	95911	重步兵	700	4	0.3	1	8
0	95912	神射营	700	4	0.3	1	8
0	95913	神射营	700	4	0.3	1	8
0	95914	神射营	700	4	0.3	1	8
0	95915	神射营	700	4	0.3	1	8
0	95916	重步兵	700	4	0.3	1	8
0	95917	重步兵	700	4	0.3	1	8
0	95918	士祗	2000	4	0.3	1	7
0	95919	象兵	700	4	0.3	1	8
0	95920	象兵	700	4	0.3	1	8
0	95921	神射营	700	4	0.3	1	8
0	95922	神射营	700	4	0.3	1	8
0	95923	士廞	2000	4	0.3	1	7
0	95924	象兵	700	4	0.3	1	8
0	95925	象兵	700	4	0.3	1	8
0	95926	神射营	700	4	0.3	1	8
0	95927	神射营	700	4	0.3	1	8
0	95928	重步兵	700	4	0.3	1	8
0	95929	士内	2000	4	0.3	1	7
0	95930	象兵	700	4	0.3	1	8
0	95931	象兵	700	4	0.3	1	8
0	95932	重骑兵	700	4	0.3	1	8
0	95933	重骑兵	700	4	0.3	1	8
0	95934	象兵	700	4	0.3	1	8
0	95935	象兵	700	4	0.3	1	8
0	95936	重步兵	700	4	0.3	1	8
0	95937	重步兵	700	4	0.3	1	8
0	95938	重步兵	700	4	0.3	1	8
0	95939	重步兵	700	4	0.3	1	8
0	95940	重步兵	700	4	0.3	1	8
0	95941	神射营	700	4	0.3	1	8
0	95942	士则	2000	4	0.3	1	7
0	95943	重步兵	700	4	0.3	1	8
0	95944	重步兵	700	4	0.3	1	8
0	95945	神射营	700	4	0.3	1	8
0	95946	神射营	700	4	0.3	1	8
0	95947	重骑兵	700	4	0.3	1	8
0	95948	重步兵	700	4	0.3	1	8
0	95949	重步兵	700	4	0.3	1	8
0	95950	神射营	700	4	0.3	1	8
0	95951	神射营	700	4	0.3	1	8
0	95952	重步兵	700	4	0.3	1	8
0	95953	神射营	700	4	0.3	1	8
0	95954	神射营	700	4	0.3	1	8
0	95955	神射营	700	4	0.3	1	8
0	95956	神射营	700	4	0.3	1	8
0	95957	神射营	700	4	0.3	1	8
0	95958	神射营	700	4	0.3	1	8
0	95959	神射营	700	4	0.3	1	8
0	95960	神射营	700	4	0.3	1	8
0	95961	神射营	700	4	0.3	1	8
0	95962	神射营	700	4	0.3	1	8
0	95963	神射营	700	4	0.3	1	8
0	95964	神射营	700	4	0.3	1	8
0	95965	神射营	700	4	0.3	1	8
0	95966	神射营	700	4	0.3	1	8
0	95967	神射营	700	4	0.3	1	8
0	95968	神射营	700	4	0.3	1	8
0	95969	神射营	700	4	0.3	1	8
0	95970	神射营	700	4	0.3	1	8
0	95971	神射营	700	4	0.3	1	8
0	95972	神射营	700	4	0.3	1	8
0	95973	神射营	700	4	0.3	1	8
0	95974	神射营	700	4	0.3	1	8
0	95975	神射营	700	4	0.3	1	8
