id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	89301	华容城门	1200	20	0.3	1	3
0	89302	贝羽	3000	40	0.3	1	7
0	89303	重步兵	700	4	0.3	1	8
0	89304	重步兵	700	4	0.3	1	8
0	89305	重步兵	700	4	0.3	1	8
0	89306	重步兵	700	4	0.3	1	8
0	89307	神射营	700	4	0.3	1	8
0	89308	神射营	700	4	0.3	1	8
0	89309	神射营	700	4	0.3	1	8
0	89310	神射营	700	4	0.3	1	8
0	89311	神射营	700	4	0.3	1	8
0	89312	神射营	700	4	0.3	1	8
0	89313	神射营	700	4	0.3	1	8
0	89314	神射营	700	4	0.3	1	8
0	89315	神射营	700	4	0.3	1	8
0	89316	神射营	700	4	0.3	1	8
0	89317	重步兵	700	4	0.3	1	8
0	89318	重步兵	700	4	0.3	1	8
0	89319	重步兵	700	4	0.3	1	8
0	89320	重步兵	700	4	0.3	1	8
0	89321	贝叶	2000	4	0.3	1	
0	89322	重步兵	700	4	0.3	1	8
0	89323	重步兵	700	4	0.3	1	8
0	89324	重步兵	700	4	0.3	1	8
0	89325	重步兵	700	4	0.3	1	8
0	89326	神射营	700	4	0.3	1	8
0	89327	神射营	700	4	0.3	1	8
0	89328	重步兵	700	4	0.3	1	8
0	89329	重步兵	700	4	0.3	1	8
0	89330	神射营	700	4	0.3	1	8
0	89331	神射营	700	4	0.3	1	8
0	89332	重步兵	700	4	0.3	1	8
0	89333	重步兵	700	4	0.3	1	8
0	89334	神射营	700	4	0.3	1	8
0	89335	神射营	700	4	0.3	1	8
0	89336	神射营	700	4	0.3	1	8
0	89337	神射营	700	4	0.3	1	8
0	89338	重步兵	700	4	0.3	1	8
0	89339	重步兵	700	4	0.3	1	8
0	89340	重步兵	700	4	0.3	1	8
0	89341	重步兵	700	4	0.3	1	8
0	89342	神射营	700	4	0.3	1	8
0	89343	神射营	700	4	0.3	1	8
0	89344	神射营	700	4	0.3	1	8
0	89345	神射营	700	4	0.3	1	8
0	89346	重步兵	700	4	0.3	1	8
0	89347	重步兵	700	4	0.3	1	8
0	89348	神射营	700	4	0.3	1	8
0	89349	神射营	700	4	0.3	1	8
0	89350	重步兵	700	4	0.3	1	8
0	89351	重步兵	700	4	0.3	1	8
0	89352	轻骑兵	700	4	0.3	1	8
0	89353	轻骑兵	700	4	0.3	1	8
0	89354	重步兵	700	4	0.3	1	8
0	89355	重步兵	700	4	0.3	1	8
0	89356	重步兵	700	4	0.3	1	8
0	89357	重步兵	700	4	0.3	1	8
0	89358	重步兵	700	4	0.3	1	8
0	89359	重步兵	700	4	0.3	1	8
0	89360	重步兵	700	4	0.3	1	8
0	89361	重步兵	700	4	0.3	1	8
0	89362	重步兵	700	4	0.3	1	8
0	89363	重步兵	700	4	0.3	1	8
0	89364	重步兵	700	4	0.3	1	8
0	89365	重步兵	700	4	0.3	1	8
0	89366	重步兵	700	4	0.3	1	8
0	89367	重步兵	700	4	0.3	1	8
0	89368	重步兵	700	4	0.3	1	8
0	89369	重步兵	700	4	0.3	1	8
0	89370	轻骑兵	700	4	0.3	1	8
0	89371	轻骑兵	700	4	0.3	1	8
0	89372	神射营	700	4	0.3	1	8
0	89373	神射营	700	4	0.3	1	8
0	89374	神射营	700	4	0.3	1	8
0	89375	神射营	700	4	0.3	1	8
0	89376	神射营	700	4	0.3	1	8
0	89377	神射营	700	4	0.3	1	8
0	89378	神射营	700	4	0.3	1	8
0	89379	神射营	700	4	0.3	1	8
0	110397	竞陵营寨	500	4	0.3	2	4
1	89301	华容城门	1200	20	0.3	1	7
1	89302	贝羽	3000	40	0.3	1	7
1	89308	神射营	700	5	0.3	1	8
1	89313	神射营	700	5	0.3	1	8
1	89317	重步兵	700	5	0.3	1	8
1	89326	神射营	700	5	0.3	1	8
1	89328	重步兵	700	5	0.3	1	8
1	89336	神射营	700	5	0.3	1	8
1	89339	重步兵	700	5	0.3	1	8
1	89362	重步兵	700	5	0.3	1	8
1	89363	重步兵	700	5	0.3	1	8
1	89377	神射营	700	5	0.3	1	8
1	89378	神射营	700	5	0.3	1	8
1	110397	竞陵营寨	1500	8	0.3	2	4
1	120183	华容防守点	1000	15	3	1	4
2	89302	贝羽	3000	40	0.3	1	9
