id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	73101	壶关城门	1200	20	0.3	1	3
0	73102	高干	3000	40	0.3	1	7
0	73103	铁甲军	700	4	0.3	1	4
0	73104	铁甲军	700	4	0.3	1	8
0	73105	铁甲军	700	4	0.3	1	8
0	73106	铁甲军	700	4	0.3	1	8
0	73107	先登强弩	700	4	0.3	1	8
0	73108	先登强弩	700	4	0.3	1	8
0	73109	先登强弩	700	4	0.3	1	8
0	73110	先登强弩	700	4	0.3	1	8
0	73111	先登强弩	700	4	0.3	1	8
0	73112	先登强弩	700	4	0.3	1	8
0	73113	先登强弩	700	4	0.3	1	8
0	73114	先登强弩	700	4	0.3	1	8
0	73115	先登强弩	700	4	0.3	1	8
0	73116	先登强弩	700	4	0.3	1	8
0	73117	铁甲军	700	4	0.3	1	8
0	73118	铁甲军	700	4	0.3	1	8
0	73119	铁甲军	700	4	0.3	1	8
0	73120	铁甲军	700	4	0.3	1	8
0	73121	高猜	2000	4	0.3	1	7
0	73122	铁甲军	700	4	0.3	1	8
0	73123	铁甲军	700	4	0.3	1	8
0	73124	长戟兵	700	4	0.3	1	8
0	73125	长戟兵	700	4	0.3	1	8
0	73126	先登强弩	700	4	0.3	1	8
0	73127	先登强弩	700	4	0.3	1	8
0	73128	长戟兵	700	4	0.3	1	8
0	73129	长戟兵	700	4	0.3	1	8
0	73130	先登强弩	700	4	0.3	1	8
0	73131	先登强弩	700	4	0.3	1	8
0	73132	长戟兵	700	4	0.3	1	8
0	73133	长戟兵	700	4	0.3	1	8
0	73134	先登强弩	700	4	0.3	1	8
0	73135	先登强弩	700	4	0.3	1	8
0	73136	先登强弩	700	4	0.3	1	8
0	73137	先登强弩	700	4	0.3	1	8
0	73138	铁甲军	700	4	0.3	1	8
0	73139	铁甲军	700	4	0.3	1	8
0	73140	长戟兵	700	4	0.3	1	8
0	73141	长戟兵	700	4	0.3	1	8
0	73142	先登强弩	700	4	0.3	1	8
0	73143	先登强弩	700	4	0.3	1	8
0	73144	先登强弩	700	4	0.3	1	8
0	73145	先登强弩	700	4	0.3	1	8
0	73146	长戟兵	700	4	0.3	1	8
0	73147	长戟兵	700	4	0.3	1	8
0	73148	先登强弩	700	4	0.3	1	8
0	73149	先登强弩	700	4	0.3	1	8
0	73150	长戟兵	700	4	0.3	1	8
0	73151	长戟兵	700	4	0.3	1	8
0	73152	铁甲军	700	4	0.3	1	8
0	73153	铁甲军	700	4	0.3	1	8
0	73154	铁甲军	700	4	0.3	1	8
0	73155	铁甲军	700	4	0.3	1	8
0	73156	铁甲军	700	4	0.3	1	8
0	73157	铁甲军	700	4	0.3	1	8
0	73158	铁甲军	700	4	0.3	1	8
0	73159	铁甲军	700	4	0.3	1	8
0	73160	铁甲军	700	4	0.3	1	8
0	73161	铁甲军	700	4	0.3	1	8
0	73162	铁甲军	700	4	0.3	1	8
0	73163	铁甲军	700	4	0.3	1	8
0	73164	铁甲军	700	4	0.3	1	8
0	73165	铁甲军	700	4	0.3	1	8
0	73166	铁甲军	700	4	0.3	1	8
0	73167	铁甲军	700	4	0.3	1	8
0	73168	铁甲军	700	4	0.3	1	8
0	73169	铁甲军	700	4	0.3	1	8
0	73170	铁甲军	700	4	0.3	1	8
0	73171	铁甲军	700	4	0.3	1	8
0	73172	先登强弩	700	4	0.3	1	8
0	73173	先登强弩	700	4	0.3	1	8
0	73174	先登强弩	700	4	0.3	1	8
0	73175	先登强弩	700	4	0.3	1	8
0	73176	先登强弩	700	4	0.3	1	8
0	73177	先登强弩	700	4	0.3	1	8
0	73178	先登强弩	700	4	0.3	1	8
0	73179	先登强弩	700	4	0.3	1	8
0	110377	壶关口营寨	500	4	0.3	2	4
1	73101	壶关城门	1200	20	0.3	1	3
1	73102	高干	3000	40	0.3	1	7
1	73108	先登强弩	700	5	0.3	1	8
1	73113	先登强弩	700	5	0.3	1	8
1	73117	铁甲军	700	5	0.3	1	8
1	73126	先登强弩	700	5	0.3	1	8
1	73128	长戟兵	700	5	0.3	1	8
1	73136	先登强弩	700	5	0.3	1	8
1	73139	铁甲军	700	5	0.3	1	8
1	73162	铁甲军	700	5	0.3	1	8
1	73163	铁甲军	700	5	0.3	1	8
1	73177	先登强弩	700	5	0.3	1	8
1	73178	先登强弩	700	5	0.3	1	8
1	110377	壶关口营寨	1500	8	0.3	2	4
1	120173	壶关防守点	1000	15	3	1	4
2	73102	高干	3000	40	0.3	1	9
