id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	84301	蔬栠傑藷	1200	20	0.3	1	3
0	84302	隸諅	3000	40	0.3	1	7
0	84303	僮璋條	700	4	0.3	1	8
0	84304	僮璋條	700	4	0.3	1	8
0	84305	笭祭條	700	4	0.3	1	8
0	84306	笭祭條	700	4	0.3	1	8
0	84307	僮璋條	700	4	0.3	1	8
0	84308	僮璋條	700	4	0.3	1	8
0	84309	僮璋條	700	4	0.3	1	8
0	84310	僮璋條	700	4	0.3	1	8
0	84311	僮璋條	700	4	0.3	1	8
0	84312	僮璋條	700	4	0.3	1	8
0	84313	僮璋條	700	4	0.3	1	8
0	84314	僮璋條	700	4	0.3	1	8
0	84315	僮璋條	700	4	0.3	1	8
0	84316	僮璋條	700	4	0.3	1	8
0	84317	шる條	700	4	0.3	1	8
0	84318	шる條	700	4	0.3	1	8
0	84319	笭祭條	700	4	0.3	1	8
0	84320	笭祭條	700	4	0.3	1	8
0	84321	僮璋條	700	4	0.3	1	8
0	84322	僮璋條	700	4	0.3	1	8
0	84323	笭祭條	700	4	0.3	1	8
0	84324	笭祭條	700	4	0.3	1	8
0	84325	шる條	700	4	0.3	1	8
0	84326	шる條	700	4	0.3	1	8
0	84327	笭祭條	700	4	0.3	1	8
0	84328	笭祭條	700	4	0.3	1	8
0	84329	шる條	700	4	0.3	1	8
0	84330	шる條	700	4	0.3	1	8
0	84331	僮璋條	700	4	0.3	1	8
0	84332	僮璋條	700	4	0.3	1	8
0	84333	僮璋條	700	4	0.3	1	8
0	84334	僮璋條	700	4	0.3	1	8
0	110393	蚗譴碩茠朘	500	4	0.3	2	4
0	130158	蔬栠茠朘	500	4	0.3	0	4
0	130166	蔬栠茠朘	500	4	0.3	0	4
1	84301	蔬栠傑藷	1200	20	0.3	1	7
1	84302	隸諅	3000	40	0.3	1	7
1	84307	僮璋條	700	5	0.3	1	8
1	84308	僮璋條	700	5	0.3	1	8
1	84312	僮璋條	700	5	0.3	1	8
1	84313	僮璋條	700	5	0.3	1	8
1	84317	шる條	700	5	0.3	1	8
1	84318	шる條	700	5	0.3	1	8
1	84327	笭祭條	700	5	0.3	1	8
1	84328	笭祭條	700	5	0.3	1	8
1	84331	僮璋條	700	5	0.3	1	8
1	84333	僮璋條	700	5	0.3	1	8
1	110393	蚗譴碩茠朘	1500	8	0.3	2	4
1	120172	蔬栠滅忐萸	1000	15	3	1	4
1	130158	蔬栠茠朘	500	5	0.3	0	4
1	130166	蔬栠茠朘	500	5	0.3	0	4
2	84302	隸諅	3000	40	0.3	1	9
