id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	81801	江油箭塔	1000	20	0.3	1	2
0	22216	江油西营寨	500	4	0.3	0	4
0	22217	江油北营寨	500	4	0.3	0	4
0	22218	江油南营寨	500	4	0.3	0	4
0	81802	江油箭塔	1000	20	0.3	1	2
0	81803	江油南城门	1200	20	0.3	1	3
0	81804	江油西城门	1200	20	0.3	1	3
0	81805	江油北城门	1200	20	0.3	1	3
0	81806	江油政厅	3000	40	0.3	1	1
0	81807	重步兵	700	4	0.3	1	8
0	81808	重步兵	700	4	0.3	1	8
0	81809	弩兵	700	4	0.3	1	8
0	81810	轻骑兵	700	4	0.3	1	8
0	81811	轻骑兵	700	4	0.3	1	8
0	81812	弩兵	700	4	0.3	1	8
0	81813	轻骑兵	700	4	0.3	1	8
0	81814	轻骑兵	700	4	0.3	1	8
0	81815	弩兵	700	4	0.3	1	8
0	81816	重骑兵	700	4	0.3	1	8
0	81817	重骑兵	700	4	0.3	1	8
0	81818	重步兵	700	4	0.3	1	8
0	81819	重步兵	700	4	0.3	1	8
0	81820	马权	2000	4	0.3	1	7
0	81821	重骑兵	700	4	0.3	1	8
0	81822	重骑兵	700	4	0.3	1	8
0	81823	重步兵	700	4	0.3	1	8
0	81824	重步兵	700	4	0.3	1	8
0	81825	马书	2000	4	0.3	1	7
0	81826	重骑兵	700	4	0.3	1	8
0	81827	重骑兵	700	4	0.3	1	8
0	81828	重步兵	700	4	0.3	1	8
0	81829	重步兵	700	4	0.3	1	8
0	81830	马邈	2000	4	0.3	1	7
0	81831	弩兵	700	4	0.3	1	8
0	81832	弩兵	700	4	0.3	1	8
0	81833	弩兵	700	4	0.3	1	8
0	81834	弩兵	700	4	0.3	1	8
0	81835	弩兵	700	4	0.3	1	8
0	81836	弩兵	700	4	0.3	1	8
0	81837	弩兵	700	4	0.3	1	8
0	81838	弩兵	700	4	0.3	1	8
0	81839	弩兵	700	4	0.3	1	8
0	81840	弩兵	700	4	0.3	1	8
0	81841	弩兵	700	4	0.3	1	8
0	81842	弩兵	700	4	0.3	1	8
0	81843	弩兵	700	4	0.3	1	8
0	81844	弩兵	700	4	0.3	1	8
0	81845	弩兵	700	4	0.3	1	8
0	81846	弩兵	700	4	0.3	1	8
0	81847	弩兵	700	4	0.3	1	8
0	81848	弩兵	700	4	0.3	1	8
0	81849	重骑兵	700	4	0.3	1	8
0	81850	重步兵	700	4	0.3	1	8
0	81851	重步兵	700	4	0.3	1	8
0	81852	重骑兵	700	4	0.3	1	8
0	81853	重骑兵	700	4	0.3	1	8
0	81854	重骑兵	700	4	0.3	1	8
0	81855	重骑兵	700	4	0.3	1	8
0	81856	重步兵	700	4	0.3	1	8
0	81857	重步兵	700	4	0.3	1	8
0	81858	重骑兵	700	4	0.3	1	8
0	81859	重骑兵	700	4	0.3	1	8
0	81860	轻骑兵	700	4	0.3	1	8
0	81861	轻骑兵	700	4	0.3	1	8
0	81862	弩兵	700	4	0.3	1	8
0	81863	弩兵	700	4	0.3	1	8
0	81864	轻骑兵	700	4	0.3	1	8
0	81865	轻骑兵	700	4	0.3	1	8
0	81866	弩兵	700	4	0.3	1	8
0	81867	弩兵	700	4	0.3	1	8
0	81868	轻骑兵	700	4	0.3	1	8
0	81869	轻骑兵	700	4	0.3	1	8
0	81870	神射营	700	4	0.3	1	8
0	81871	神射营	700	4	0.3	1	8
0	81872	神射营	700	4	0.3	1	8
0	81873	神射营	700	4	0.3	1	8
0	81874	神射营	700	4	0.3	1	8
0	81875	神射营	700	4	0.3	1	8
0	81876	重步兵	700	4	0.3	1	8
0	81877	重步兵	700	4	0.3	1	8
0	81878	马诚	2000	4	0.3	1	7
0	110204	平武营寨	500	4	0.3	2	4
1	22216	江油西营寨	500	5	0.3	0	4
1	22217	江油北营寨	500	5	0.3	0	4
1	22218	江油南营寨	500	5	0.3	0	4
1	81801	江油箭塔	1000	20	0.3	1	2
1	81802	江油箭塔	1000	20	0.3	1	2
1	81803	江油南城门	1200	20	0.3	1	3
1	81804	江油西城门	1200	20	0.3	1	3
1	81805	江油北城门	1200	20	0.3	1	3
1	81806	江油政厅	3000	40	0.3	1	1
1	81808	重步兵	700	5	0.3	1	8
1	81811	轻骑兵	700	5	0.3	1	8
1	81814	轻骑兵	700	5	0.3	1	8
1	81820	马权	2000	5	0.3	1	7
1	81825	马书	2000	5	0.3	1	7
1	81830	马邈	2000	5	0.3	1	7
1	81833	弩兵	700	5	0.3	1	8
1	81836	弩兵	700	5	0.3	1	8
1	81839	弩兵	700	5	0.3	1	8
1	81842	弩兵	700	5	0.3	1	8
1	81845	弩兵	700	5	0.3	1	8
1	81848	弩兵	700	5	0.3	1	8
1	81872	神射营	700	5	0.3	1	8
1	81873	神射营	700	5	0.3	1	8
1	81874	神射营	700	5	0.3	1	8
1	81875	神射营	700	5	0.3	1	8
1	81876	重步兵	700	5	0.3	1	8
1	81877	重步兵	700	5	0.3	1	8
1	81878	马诚	2000	5	0.3	1	7
1	110204	平武营寨	1500	8	0.3	2	4
1	120069	江油防守点	1000	15	3	1	4
2	81806	江油政厅	3000	40	0.3	1	1
10	110202	德阳亭营寨	500	5	0.3	2	4
10	110202	德阳亭营寨	500	5	0.3	2	4
10	110203	左植营寨	500	5	0.3	2	4
10	110203	左植营寨	500	5	0.3	2	4
