id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	30500	即墨城门	1200	15	0.3	1	3
0	30501	即墨城门	1200	15	0.3	1	3
0	30502	即墨政厅	3000	30	0.3	1	1
0	30503	即墨箭塔	1000	12	0.3	1	2
0	30504	即墨箭塔	1000	12	0.3	1	2
0	30505	即墨防守点	700	1.5	0.3	1	4
0	30506	即墨出生点	1500	8	0.3	2	4
0	30507	即墨据点1	800	5	0.3	0	4
0	30508	即墨据点2	800	5	0.3	0	4
0	30509	王修	3000	4	0.3	1	7
0	30510	邓升	2000	4	0.3	1	7
0	30511	王肃	2000	4	0.3	1	7
0	30512	虎卫营	700	3	0.3	1	8
0	30513	虎卫营	700	3	0.3	1	8
0	30514	虎卫营	700	3	0.3	1	8
0	30515	虎卫营	700	3	0.3	1	8
0	30516	虎卫营	700	3	0.3	1	8
0	30517	虎卫营	700	3	0.3	1	8
0	30518	虎卫营	700	3	0.3	1	8
0	30519	虎卫营	700	3	0.3	1	8
0	30520	虎卫营	700	3	0.3	1	8
0	30521	虎卫营	700	3	0.3	1	8
0	30522	虎卫营	700	3	0.3	1	8
0	30523	虎卫营	700	3	0.3	1	8
0	30524	虎卫营	700	3	0.3	1	8
0	30525	虎卫营	700	3	0.3	1	8
0	30526	虎卫营	700	3	0.3	1	8
0	30527	虎卫营	700	3	0.3	1	8
0	30528	虎卫营	700	3	0.3	1	8
0	30529	虎卫营	700	3	0.3	1	8
0	30530	虎卫营	700	3	0.3	1	8
0	30531	虎卫营	700	3	0.3	1	8
0	30532	虎卫营	700	3	0.3	1	8
0	30533	虎卫营	700	3	0.3	1	8
0	30534	虎卫营	700	3	0.3	1	8
0	30535	虎卫营	700	3	0.3	1	8
0	30536	虎卫营	700	3	0.3	1	8
0	30537	虎卫营	700	3	0.3	1	8
0	30538	虎卫营	700	3	0.3	1	8
0	30539	虎卫营	700	3	0.3	1	8
0	30540	虎卫营	700	3	0.3	1	8
0	30541	虎卫营	700	3	0.3	1	8
0	30542	虎卫营	700	3	0.3	1	8
0	30543	虎卫营	700	3	0.3	1	8
0	30544	弩兵	700	3	0.3	1	8
0	30545	弩兵	700	3	0.3	1	8
0	30546	弩兵	700	3	0.3	1	8
0	30547	弩兵	700	3	0.3	1	8
0	30548	弩兵	700	3	0.3	1	8
0	30549	弩兵	700	3	0.3	1	8
0	30550	弩兵	700	3	0.3	1	8
0	30551	弩兵	700	3	0.3	1	8
0	30552	弩兵	700	3	0.3	1	8
0	30553	弩兵	700	3	0.3	1	8
0	30554	弩兵	700	3	0.3	1	8
0	30555	弩兵	700	3	0.3	1	8
0	30556	弩兵	700	3	0.3	1	8
0	30557	弩兵	700	3	0.3	1	8
0	30558	士气水井					
1	30500	即墨城门	1200	15	0.3	1	3
1	30501	即墨城门	1200	15	0.3	1	3
1	30502	即墨政厅	3000	40	0.3	1	1
1	30503	即墨箭塔	1200	18	0.5	1	2
1	30504	即墨箭塔	1200	18	0.5	1	2
1	30505	即墨防守点	1000	1.5	3	1	4
1	30506	即墨出生点	1500	8	0.3	2	4
1	30507	即墨据点1	1000	4	0.3	0	4
1	30508	即墨据点2	1000	4	0.3	0	4
1	30509	王修	3000	6	0.3	1	7
1	30510	邓升	2000	6	0.3	1	7
1	30511	王肃	2000	6	0.3	1	7
1	30512	虎卫营	700	5	0.3	1	8
1	30513	虎卫营	700	5	0.3	1	8
1	30514	虎卫营	700	5	0.3	1	8
1	30515	虎卫营	700	5	0.3	1	8
1	30516	虎卫营	700	5	0.3	1	8
1	30517	虎卫营	700	5	0.3	1	8
1	30518	虎卫营	700	5	0.3	1	8
1	30519	虎卫营	700	5	0.3	1	8
1	30520	虎卫营	700	5	0.3	1	8
1	30521	虎卫营	700	5	0.3	1	8
1	30522	虎卫营	700	5	0.3	1	8
1	30523	虎卫营	700	5	0.3	1	8
1	30524	虎卫营	700	5	0.3	1	8
1	30525	虎卫营	700	5	0.3	1	8
1	30526	虎卫营	700	5	0.3	1	8
1	30527	虎卫营	700	5	0.3	1	8
1	30528	虎卫营	700	5	0.3	1	8
1	30529	虎卫营	700	5	0.3	1	8
1	30530	虎卫营	700	5	0.3	1	8
1	30531	虎卫营	700	5	0.3	1	8
1	30532	虎卫营	700	5	0.3	1	8
1	30533	虎卫营	700	5	0.3	1	8
1	30534	虎卫营	700	5	0.3	1	8
1	30535	虎卫营	700	5	0.3	1	8
1	30536	虎卫营	700	5	0.3	1	8
1	30537	虎卫营	700	5	0.3	1	8
1	30538	虎卫营	700	5	0.3	1	8
1	30539	虎卫营	700	5	0.3	1	8
1	30540	虎卫营	700	5	0.3	1	8
1	30541	虎卫营	700	5	0.3	1	8
1	30542	虎卫营	700	5	0.3	1	8
1	30543	虎卫营	700	5	0.3	1	8
1	30544	弩兵	700	5	0.3	1	8
1	30545	弩兵	700	5	0.3	1	8
1	30546	弩兵	700	5	0.3	1	8
1	30547	弩兵	700	5	0.3	1	8
1	30548	弩兵	700	5	0.3	1	8
1	30549	弩兵	700	5	0.3	1	8
1	30550	弩兵	700	5	0.3	1	8
1	30551	弩兵	700	5	0.3	1	8
1	30552	弩兵	700	5	0.3	1	8
1	30553	弩兵	700	5	0.3	1	8
1	30554	弩兵	700	5	0.3	1	8
1	30555	弩兵	700	5	0.3	1	8
1	30556	弩兵	700	5	0.3	1	8
1	30557	弩兵	700	5	0.3	1	8
1	30558	士气水井					
2	30502	即墨政厅	3000	40	0.3	1	1
50	30559	犀利的山贼	3200	5	0.4	3	7
51	30560	亢奋的山贼	3200	5	0.4	3	7
52	30561	坚韧的山贼	3200	5	0.4	3	7
53	30562	激昂的山贼	3200	5	0.4	3	7
