id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	80401	酒泉西城门	1200	20	0.3	1	3
0	22234	禄福营寨	500	4	0.3	0	4
0	22235	会水营寨	500	4	0.3	0	4
0	22236	安弥营寨	500	4	0.3	0	4
0	80402	酒泉政厅	3000	40	0.3	1	1
0	80403	酒泉箭塔	1000	20	0.3	1	2
0	80404	酒泉箭塔	1000	20	0.3	1	2
0	80405	拒马	#N/A	#N/A	#N/A	1	
0	80406	拒马	#N/A	#N/A	#N/A	1	
0	80407	拒马	#N/A	#N/A	#N/A	1	
0	80408	箭塔	1000	20	0.3	1	2
0	80409	箭塔	1000	20	0.3	1	2
0	80410	重步兵	700	4	0.3	1	8
0	80411	重步兵	700	4	0.3	1	8
0	80412	标枪兵	700	4	0.3	1	8
0	80413	标枪兵	700	4	0.3	1	8
0	80414	重步兵	700	4	0.3	1	8
0	80415	重步兵	700	4	0.3	1	8
0	80416	标枪兵	700	4	0.3	1	8
0	80417	标枪兵	700	4	0.3	1	8
0	80418	重骑兵	700	4	0.3	1	8
0	80419	重骑兵	700	4	0.3	1	8
0	80420	标枪兵	700	4	0.3	1	8
0	80421	标枪兵	700	4	0.3	1	8
0	80422	强弩	700	4	0.3	1	8
0	80423	强弩	700	4	0.3	1	8
0	80424	重骑兵	700	4	0.3	1	8
0	80425	重骑兵	700	4	0.3	1	8
0	80426	重骑兵	700	4	0.3	1	8
0	80427	重骑兵	700	4	0.3	1	8
0	80428	重骑兵	700	4	0.3	1	8
0	80429	重骑兵	700	4	0.3	1	8
0	80430	重步兵	700	4	0.3	1	8
0	80431	重步兵	700	4	0.3	1	8
0	80432	强弩	700	4	0.3	1	8
0	80433	强弩	700	4	0.3	1	8
0	80434	强弩	700	4	0.3	1	8
0	80435	强弩	700	4	0.3	1	8
0	80436	强弩	700	4	0.3	1	8
0	80437	强弩	700	4	0.3	1	8
0	80438	强弩	700	4	0.3	1	8
0	80439	强弩	700	4	0.3	1	8
0	80440	强弩	700	4	0.3	1	8
0	80441	强弩	700	4	0.3	1	8
0	80442	强弩	700	4	0.3	1	8
0	80443	强弩	700	4	0.3	1	8
0	80444	强弩	700	4	0.3	1	8
0	80445	强弩	700	4	0.3	1	8
0	80446	强弩	700	4	0.3	1	8
0	80447	强弩	700	4	0.3	1	8
0	80448	强弩	700	4	0.3	1	8
0	80449	强弩	700	4	0.3	1	8
0	80450	强弩	700	4	0.3	1	8
0	80451	重骑兵	700	4	0.3	1	8
0	80452	重骑兵	700	4	0.3	1	8
0	80453	重步兵	700	4	0.3	1	8
0	80454	重步兵	700	4	0.3	1	8
0	80455	强弩	700	4	0.3	1	8
0	80456	强弩	700	4	0.3	1	8
0	80457	强弩	700	4	0.3	1	8
0	80458	强弩	700	4	0.3	1	8
0	80459	标枪兵	700	4	0.3	1	8
0	80460	标枪兵	700	4	0.3	1	8
0	80461	强弩	700	4	0.3	1	8
0	80462	强弩	700	4	0.3	1	8
0	80463	强弩	700	4	0.3	1	8
0	80464	强弩	700	4	0.3	1	8
0	80465	强弩	700	4	0.3	1	8
0	80466	强弩	700	4	0.3	1	8
0	80467	强弩	700	4	0.3	1	8
0	80468	强弩	700	4	0.3	1	8
0	80469	重步兵	700	4	0.3	1	8
0	80470	重步兵	700	4	0.3	1	8
0	80471	重骑兵	700	4	0.3	1	8
0	80472	重骑兵	700	4	0.3	1	8
0	80473	标枪兵	700	4	0.3	1	8
0	80474	标枪兵	700	4	0.3	1	8
0	80475	重骑兵	700	4	0.3	1	8
0	80476	重骑兵	700	4	0.3	1	8
0	80477	重步兵	700	4	0.3	1	8
0	80478	重步兵	700	4	0.3	1	8
0	80479	标枪兵	700	4	0.3	1	8
0	80480	标枪兵	700	4	0.3	1	8
0	80481	重步兵	700	4	0.3	1	8
0	80482	重步兵	700	4	0.3	1	8
0	80483	辛奇	2000	4	0.3	1	7
0	80484	重步兵	700	4	0.3	1	8
0	80485	重步兵	700	4	0.3	1	8
0	80486	标枪兵	700	4	0.3	1	8
0	80487	标枪兵	700	4	0.3	1	8
0	80488	辛机	2000	4	0.3	1	7
0	110191	延寿营寨	500	4	0.3	2	4
1	22234	禄福营寨	500	5	0.3	0	4
1	22235	会水营寨	500	5	0.3	0	4
1	22236	安弥营寨	500	5	0.3	0	4
1	80401	酒泉西城门	1200	20	0.3	1	3
1	80402	酒泉政厅	3000	40	0.3	1	1
1	80403	酒泉箭塔	1000	20	0.3	1	2
1	80404	酒泉箭塔	1000	20	0.3	1	2
1	80405	拒马	#N/A	#N/A	#N/A	1	
1	80406	拒马	#N/A	#N/A	#N/A	1	
1	80407	拒马	#N/A	#N/A	#N/A	1	
1	80408	箭塔	1000	20	0.3	1	2
1	80409	箭塔	1000	20	0.3	1	2
1	80420	标枪兵	700	5	0.3	1	8
1	80421	标枪兵	700	5	0.3	1	8
1	80459	标枪兵	700	5	0.3	1	8
1	80460	标枪兵	700	5	0.3	1	8
1	80481	重步兵	700	5	0.3	1	8
1	80482	重步兵	700	5	0.3	1	8
1	80483	辛奇	2000	5	0.3	1	7
1	80484	重步兵	700	5	0.3	1	8
1	80485	重步兵	700	5	0.3	1	8
1	80486	标枪兵	700	5	0.3	1	8
1	80487	标枪兵	700	5	0.3	1	8
1	80488	辛机	2000	5	0.3	1	7
1	110191	延寿营寨	1500	8	0.3	2	4
1	120049	酒泉防守点	1000	15	3	1	4
2	80402	酒泉政厅	3000	40	0.3	1	1
