id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	72201	乐平北城门	800	8	0.3	1	3
0	72202	乐平南城门	800	8	0.3	1	3
0	72203	乐平西城门	800	8	0.3	1	3
0	72204	乐平箭楼	1000	8	0.3	1	2
0	72205	乐平箭楼	1000	8	0.3	1	2
0	72206	乐平政厅	1000	20	0.3	1	1
0	72207	王博	2000	4	0.3	1	7
0	72208	神射营	700	4	0.3	1	8
0	72209	神射营	700	4	0.3	1	8
0	72210	铁甲军	700	4	0.3	1	8
0	72211	铁甲军	700	4	0.3	1	8
0	72212	赵邱	2000	4	0.3	1	7
0	72213	突骑兵	700	4	0.3	1	8
0	72214	突骑兵	700	4	0.3	1	8
0	72215	铁甲军	700	4	0.3	1	8
0	72216	铁甲军	700	4	0.3	1	8
0	72217	周奉	2000	4	0.3	1	7
0	72218	重骑兵	700	4	0.3	1	8
0	72219	重骑兵	700	4	0.3	1	8
0	72220	神射营	700	4	0.3	1	8
0	72221	神射营	700	4	0.3	1	8
0	72222	唐里	2000	4	0.3	1	7
0	72223	铁甲军	700	4	0.3	1	8
0	72224	铁甲军	700	4	0.3	1	8
0	72225	神射营	700	4	0.3	1	8
0	72226	神射营	700	4	0.3	1	8
0	72227	飞熊军	700	4	0.3	1	8
0	72228	飞熊军	700	4	0.3	1	8
0	72229	飞熊军	700	4	0.3	1	8
0	72230	神射营	700	4	0.3	1	8
0	72231	神射营	700	4	0.3	1	8
0	110119	上艾营寨	500	4	0.3	2	4
1	72201	乐平北城门	1200	15	0.3	1	3
1	72202	乐平南城门	1200	15	0.3	1	3
1	72203	乐平西城门	1200	15	0.3	1	3
1	72204	乐平箭楼	1000	15	0.3	1	2
1	72205	乐平箭楼	1000	15	0.3	1	2
1	72206	乐平政厅	3000	30	0.3	1	1
1	72207	王博	2000	4	0.3	1	7
1	72208	神射营	700	4	0.3	1	8
1	72209	神射营	700	4	0.3	1	8
1	72210	铁甲军	700	4	0.3	1	8
1	72211	铁甲军	700	4	0.3	1	8
1	72212	赵邱	2000	4	0.3	1	7
1	72213	突骑兵	700	4	0.3	1	8
1	72214	突骑兵	700	4	0.3	1	8
1	72215	铁甲军	700	4	0.3	1	8
1	72216	铁甲军	700	4	0.3	1	8
1	72217	周奉	2000	4	0.3	1	7
1	72218	重骑兵	700	4	0.3	1	8
1	72219	重骑兵	700	4	0.3	1	8
1	72220	神射营	700	4	0.3	1	8
1	72221	神射营	700	4	0.3	1	8
1	72222	唐里	2000	4	0.3	1	7
1	72223	铁甲军	700	4	0.3	1	8
1	72224	铁甲军	700	4	0.3	1	8
1	72225	神射营	700	4	0.3	1	8
1	72226	神射营	700	4	0.3	1	8
1	72227	飞熊军	700	4	0.3	1	8
1	72228	飞熊军	700	4	0.3	1	8
1	72229	飞熊军	700	4	0.3	1	8
1	72230	神射营	700	4	0.3	1	8
1	72231	神射营	700	4	0.3	1	8
1	110119	上艾营寨	1500	8	0.3	2	4
1	120064	乐平防守点	1000	15	3	1	4
2	72206	乐平政厅	3000	30	0.3	1	1
10	110120	沾县营寨	500	4	0.3	2	4
10	110120	沾县营寨	500	4	0.3	2	4
10	110121	少山营寨	500	4	0.3	2	4
10	110121	少山营寨	500	4	0.3	2	4
