id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	23100	灵丘政厅	2000	20	0.3	1	1
0	23101	灵丘城门1	800	15	0.3	1	3
0	23102	灵丘城门2	800	15	0.3	1	3
0	23103	灵丘箭塔1	1200	12	0.4	1	2
0	23104	灵丘箭塔2	1200	12	0.4	1	2
0	23105	灵丘营寨	2000	10	0.3	2	4
0	23107	据点1	500	4	0.3	0	4
0	23108	据点2	500	4	0.3	0	4
0	23109	吕威珉	2000	4	0.5	1	7
0	23110	吕威璜	3000	4	0.8	1	7
0	23111	重步兵	400	3	0.3	1	8
0	23112	重步兵	400	3	0.3	1	8
0	23113	重步兵	400	3	0.3	1	8
0	23114	重步兵	400	3	0.3	1	8
0	23115	重步兵	400	3	0.3	1	8
0	23116	重步兵	400	3	0.3	1	8
0	23117	虎卫营	400	3	0.3	1	8
0	23118	虎卫营	400	3	0.3	1	8
0	23119	虎卫营	400	3	0.3	1	8
0	23120	虎卫营	400	3	0.3	1	8
0	23121	弩兵	400	3	0.3	1	8
0	23122	弩兵	400	3	0.3	1	8
0	23123	弩兵	400	3	0.3	1	8
0	23124	弩兵	400	3	0.3	1	8
0	23125	弩兵	400	3	0.3	1	8
0	23126	弩兵	400	3	0.3	1	8
0	23127	虎卫营	400	3	0.3	1	8
0	23128	虎卫营	400	3	0.3	1	8
0	23129	虎卫营	400	3	0.3	1	8
0	23130	虎卫营	400	3	0.3	1	8
0	23131	虎卫营	400	3	0.3	1	8
0	23132	虎卫营	400	3	0.3	1	8
0	23133	虎卫营	400	3	0.3	1	8
0	23134	虎卫营	400	3	0.3	1	8
0	23135	虎卫营	400	3	0.3	1	8
0	23136	虎卫营	400	3	0.3	1	8
0	23137	虎卫营	400	3	0.3	1	8
0	23138	虎卫营	400	3	0.3	1	8
0	23139	虎卫营	400	3	0.3	1	8
0	23140	虎卫营	400	3	0.3	1	8
0	23141	虎卫营	400	3	0.3	1	8
0	23142	虎卫营	400	3	0.3	1	8
1	23100	灵丘政厅	3000	40	0.3	1	1
1	23101	灵丘城门1	800	20	0.3	1	3
1	23102	灵丘城门2	800	20	0.3	1	3
1	23103	灵丘箭塔1	1200	18	0.5	1	2
1	23104	灵丘箭塔2	1200	18	0.5	1	2
1	23105	灵丘营寨	2000	10	0.3	2	4
1	23106	复活点	1000	8	3	1	4
1	23107	据点1	1000	4	0.3	0	4
1	23108	据点2	1000	4	0.3	0	4
1	23173	吕威珉	2000	5	0.5	1	7
1	23174	吕威璜	3000	5	0.8	1	7
1	23121	弩兵	700	5	0.3	1	8
1	23122	弩兵	700	5	0.3	1	8
1	23123	弩兵	700	5	0.3	1	8
1	23124	弩兵	700	5	0.3	1	8
1	23125	弩兵	700	5	0.3	1	8
1	23126	弩兵	700	5	0.3	1	8
2	23100	灵丘政厅	3000	30	0.3	1	1
10	23143	大魔王	400	2	0.3	2	8
10	23144	大魔王	400	2	0.3	2	8
10	23145	大魔王	400	2	0.3	2	8
11	23146	不要怂就是干	400	2	0.3	2	8
11	23147	不要怂就是干	400	2	0.3	2	8
11	23148	不要怂就是干	400	2	0.3	2	8
12	23149	飞机头	400	2	0.3	2	8
12	23150	飞机头	400	2	0.3	2	8
12	23151	飞机头	400	2	0.3	2	8
13	23152	李不二	400	2	0.3	2	8
13	23153	李不二	400	2	0.3	2	8
13	23154	李不二	400	2	0.3	2	8
14	23155	请叫我大佬	1200	25	20	2	8
14	23156	请叫我大佬	1200	25	20	2	8
14	23157	请叫我大佬	1200	25	20	2	8
20	23158	城防援军	400	2	0.3	1	8
20	23159	城防援军	400	2	0.3	1	8
20	23160	城防援军	400	2	0.3	1	8
20	23161	城防援军	400	2	0.3	1	8
20	23162	城防援军	400	2	0.3	1	8
20	23163	城防援军	400	2	0.3	1	8
21	23164	城防援军	400	2	0.3	1	8
21	23165	城防援军	400	2	0.3	1	8
21	23166	城防援军	400	2	0.3	1	8
22	23167	城防援军	400	2	0.3	1	8
22	23168	城防援军	400	2	0.3	1	8
22	23169	城防援军	400	2	0.3	1	8
23	23170	城防援军	400	2	0.3	1	8
23	23171	城防援军	400	2	0.3	1	8
23	23172	城防援军	400	2	0.3	1	8
40	23109	吕威珉	2000	3	0.5	1	7
41	23110	吕威璜	3000	4	0.8	1	7
