id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	23900	临邛城门1	800	15	0.3	1	3
0	23901	临邛城门2	800	15	0.3	1	3
0	23902	临邛政厅	2000	20	0.3	1	1
0	23903	临邛箭塔1	1200	12	0.4	1	2
0	23904	临邛箭塔2	1200	12	0.4	1	2
0	23905	临邛营寨	2000	10	0.3	2	4
0	23907	据点1	500	4	0.3	0	4
0	23908	据点2	500	4	0.3	0	4
0	23909	李权	2000	4	0.5	1	7
0	23910	李斌	3000	4	0.8	1	7
0	23911	重步兵	400	3	0.3	1	8
0	23912	重步兵	400	3	0.3	1	8
0	23913	重步兵	400	3	0.3	1	8
0	23914	重步兵	400	3	0.3	1	8
0	23915	重步兵	400	3	0.3	1	8
0	23916	重步兵	400	3	0.3	1	8
0	23917	虎卫营	400	3	0.3	1	8
0	23918	虎卫营	400	3	0.3	1	8
0	23919	虎卫营	400	3	0.3	1	8
0	23920	虎卫营	400	3	0.3	1	8
0	23921	弩兵	400	3	0.3	1	8
0	23922	弩兵	400	3	0.3	1	8
0	23923	弩兵	400	3	0.3	1	8
0	23924	弩兵	400	3	0.3	1	8
0	23925	弩兵	400	3	0.3	1	8
0	23926	弩兵	400	3	0.3	1	8
0	23927	虎卫营	400	3	0.3	1	8
0	23928	虎卫营	400	3	0.3	1	8
0	23929	虎卫营	400	3	0.3	1	8
0	23930	虎卫营	400	3	0.3	1	8
0	23931	虎卫营	400	3	0.3	1	8
0	23932	虎卫营	400	3	0.3	1	8
0	23933	虎卫营	400	3	0.3	1	8
0	23934	虎卫营	400	3	0.3	1	8
0	23935	虎卫营	400	3	0.3	1	8
0	23936	虎卫营	400	3	0.3	1	8
0	23937	虎卫营	400	3	0.3	1	8
0	23938	虎卫营	400	3	0.3	1	8
0	23939	虎卫营	400	3	0.3	1	8
0	23940	虎卫营	400	3	0.3	1	8
0	23941	虎卫营	400	3	0.3	1	8
0	23942	虎卫营	400	3	0.3	1	8
1	23900	临邛城门1	800	20	0.3	1	3
1	23901	临邛城门2	800	20	0.3	1	3
1	23902	临邛政厅	3000	40	0.3	1	1
1	23903	临邛箭塔1	1200	18	0.5	1	2
1	23904	临邛箭塔2	1200	18	0.5	1	2
1	23905	临邛营寨	2000	10	0.3	2	4
1	23906	复活点	1000	8	3	1	4
1	23907	据点1	1000	4	0.3	0	4
1	23908	据点2	1000	4	0.3	0	4
1	23973	李权	2000	5	0.5	1	7
1	23974	李斌	3000	5	0.8	1	7
1	23921	弩兵	700	5	0.3	1	8
1	23922	弩兵	700	5	0.3	1	8
1	23923	弩兵	700	5	0.3	1	8
1	23924	弩兵	700	5	0.3	1	8
1	23925	弩兵	700	5	0.3	1	8
1	23926	弩兵	700	5	0.3	1	8
2	23902	临邛政厅	3000	30	0.3	1	1
10	23943	我妹爹多	400	2	0.3	2	8
10	23944	我妹爹多	400	2	0.3	2	8
10	23945	我妹爹多	400	2	0.3	2	8
11	23946	天命之人	400	2	0.3	2	8
11	23947	天命之人	400	2	0.3	2	8
11	23948	天命之人	400	2	0.3	2	8
12	23949	挖掘机哪家强	400	2	0.3	2	8
12	23950	挖掘机哪家强	400	2	0.3	2	8
12	23951	挖掘机哪家强	400	2	0.3	2	8
13	23952	神之一手	400	2	0.3	2	8
13	23953	神之一手	400	2	0.3	2	8
13	23954	神之一手	400	2	0.3	2	8
14	23955	我就是大佬	1200	25	20	2	8
14	23956	我就是大佬	1200	25	20	2	8
14	23957	我就是大佬	1200	25	20	2	8
20	23958	城防援军	400	2	0.3	1	8
20	23959	城防援军	400	2	0.3	1	8
20	23960	城防援军	400	2	0.3	1	8
20	23961	城防援军	400	2	0.3	1	8
20	23962	城防援军	400	2	0.3	1	8
20	23963	城防援军	400	2	0.3	1	8
21	23964	城防援军	400	2	0.3	1	8
21	23965	城防援军	400	2	0.3	1	8
21	23966	城防援军	400	2	0.3	1	8
22	23967	城防援军	400	2	0.3	1	8
22	23968	城防援军	400	2	0.3	1	8
22	23969	城防援军	400	2	0.3	1	8
23	23970	城防援军	400	2	0.3	1	8
23	23971	城防援军	400	2	0.3	1	8
23	23972	城防援军	400	2	0.3	1	8
40	23909	李权	2000	3	0.5	1	7
41	23910	李斌	3000	4	0.8	1	7
