id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	23400	临水大门	800	15	0.3	1	3
0	23401	临水营寨	2000	10	0.3	2	4
0	23403	据点1	500	4	0.3	0	4
0	23404	据点2	500	4	0.3	0	4
0	23405	蒋义泠	2000	4	0.5	1	7
0	23406	蒋义渠	3000	4	0.8	1	7
0	23407	重步兵	400	3	0.3	1	8
0	23408	重步兵	400	3	0.3	1	8
0	23409	重步兵	400	3	0.3	1	8
0	23410	重步兵	400	3	0.3	1	8
0	23411	重步兵	400	3	0.3	1	8
0	23412	重步兵	400	3	0.3	1	8
0	23413	重步兵	400	3	0.3	1	8
0	23414	重步兵	400	3	0.3	1	8
0	23415	重步兵	400	3	0.3	1	8
0	23416	虎卫营	400	3	0.3	1	8
0	23417	虎卫营	400	3	0.3	1	8
0	23418	虎卫营	400	3	0.3	1	8
0	23419	虎卫营	400	3	0.3	1	8
0	23420	弩兵	400	3	0.3	1	8
0	23421	弩兵	400	3	0.3	1	8
0	23422	弩兵	400	3	0.3	1	8
0	23423	弩兵	400	3	0.3	1	8
0	23424	弩兵	400	3	0.3	1	8
0	23425	弩兵	400	3	0.3	1	8
0	23426	虎卫营	400	3	0.3	1	8
0	23427	虎卫营	400	3	0.3	1	8
0	23428	虎卫营	400	3	0.3	1	8
0	23429	虎卫营	400	3	0.3	1	8
1	23400	临水大门	800	20	0.3	1	3
1	23401	临水营寨	2000	10	0.3	2	4
1	23402	复活点	1000	8	3	1	4
1	23403	据点1	1000	4	0.3	0	4
1	23404	据点2	1000	4	0.3	0	4
1	23460	蒋义泠	2000	5	0.5	1	7
1	23406	蒋义渠	3000	5	0.8	1	7
1	23420	弩兵	700	5	0.3	1	8
1	23421	弩兵	700	5	0.3	1	8
1	23422	弩兵	700	5	0.3	1	8
1	23423	弩兵	700	5	0.3	1	8
1	23424	弩兵	700	5	0.3	1	8
1	23425	弩兵	700	5	0.3	1	8
2	23406	蒋义渠	3000	4	0.8	1	7
10	23430	车太闲	400	2	0.3	2	8
10	23431	车太闲	400	2	0.3	2	8
10	23432	车太闲	400	2	0.3	2	8
11	23433	五仁月饼	400	2	0.3	2	8
11	23434	五仁月饼	400	2	0.3	2	8
11	23435	五仁月饼	400	2	0.3	2	8
12	23436	六块钱的浪漫	400	2	0.3	2	8
12	23437	六块钱的浪漫	400	2	0.3	2	8
12	23438	六块钱的浪漫	400	2	0.3	2	8
13	23439	九牛一毛	400	2	0.3	2	8
13	23440	九牛一毛	400	2	0.3	2	8
13	23441	九牛一毛	400	2	0.3	2	8
14	23442	请叫我大佬	1200	25	20	2	8
14	23443	请叫我大佬	1200	25	20	2	8
14	23444	请叫我大佬	1200	25	20	2	8
20	23445	城防援军	400	2	0.3	1	8
20	23446	城防援军	400	2	0.3	1	8
20	23447	城防援军	400	2	0.3	1	8
20	23448	城防援军	400	2	0.3	1	8
20	23449	城防援军	400	2	0.3	1	8
20	23450	城防援军	400	2	0.3	1	8
21	23451	城防援军	400	2	0.3	1	8
21	23452	城防援军	400	2	0.3	1	8
21	23453	城防援军	400	2	0.3	1	8
22	23454	城防援军	400	2	0.3	1	8
22	23455	城防援军	400	2	0.3	1	8
22	23456	城防援军	400	2	0.3	1	8
23	23457	城防援军	400	2	0.3	1	8
23	23458	城防援军	400	2	0.3	1	8
23	23459	城防援军	400	2	0.3	1	8
40	23405	蒋义泠	2000	3	0.5	1	7
41	23406	蒋义渠	3000	4	0.8	1	7
