id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	78501	陇西东城门	1200	20	0.3	1	3
0	22410	陇西东营寨	500	4	0.3	0	4
0	78502	陇西西城门	1200	20	0.3	1	3
0	78503	陇西政厅	3000	40	0.3	1	1
0	78504	陇西箭塔	1000	20	0.3	1	2
0	78505	陇西箭塔	1000	20	0.3	1	2
0	78506	李相如	2000	4	0.3	1	7
0	78507	重步兵	700	4	0.3	1	8
0	78508	重步兵	700	4	0.3	1	8
0	78509	重步兵	700	4	0.3	1	8
0	78510	重步兵	700	4	0.3	1	8
0	78511	弓箭兵	700	4	0.3	1	8
0	78512	弓箭兵	700	4	0.3	1	8
0	78513	弓箭兵	700	4	0.3	1	8
0	78514	弓箭兵	700	4	0.3	1	8
0	78515	弓箭兵	700	4	0.3	1	8
0	78516	弓箭兵	700	4	0.3	1	8
0	78517	弩兵	700	4	0.3	1	8
0	78518	弩兵	700	4	0.3	1	8
0	78519	弩兵	700	4	0.3	1	8
0	78520	弩兵	700	4	0.3	1	8
0	78521	李相知	2000	4	0.3	1	7
0	78522	弓箭兵	700	4	0.3	1	8
0	78523	弓箭兵	700	4	0.3	1	8
0	78524	弓箭兵	700	4	0.3	1	8
0	78525	弓箭兵	700	4	0.3	1	8
0	78526	重步兵	700	4	0.3	1	8
0	78527	重步兵	700	4	0.3	1	8
0	78528	弩兵	700	4	0.3	1	8
0	78529	弩兵	700	4	0.3	1	8
0	78530	弩兵	700	4	0.3	1	8
0	78531	弩兵	700	4	0.3	1	8
0	78532	弩兵	700	4	0.3	1	8
0	78533	弩兵	700	4	0.3	1	8
0	78534	弩兵	700	4	0.3	1	8
0	78535	弩兵	700	4	0.3	1	8
0	78536	弩兵	700	4	0.3	1	8
0	78537	弩兵	700	4	0.3	1	8
0	78538	李相恨	2000	4	0.3	1	7
0	78539	弓箭兵	700	4	0.3	1	8
0	78540	弓箭兵	700	4	0.3	1	8
0	78541	弓箭兵	700	4	0.3	1	8
0	78542	弓箭兵	700	4	0.3	1	8
0	78543	弓箭兵	700	4	0.3	1	8
0	78544	弓箭兵	700	4	0.3	1	8
0	78545	弩兵	700	4	0.3	1	8
0	78546	弩兵	700	4	0.3	1	8
0	78547	弩兵	700	4	0.3	1	8
0	78548	弩兵	700	4	0.3	1	8
0	78549	弩兵	700	4	0.3	1	8
0	78550	弩兵	700	4	0.3	1	8
0	78551	弩兵	700	4	0.3	1	8
0	78552	弩兵	700	4	0.3	1	8
0	78553	陇西西营寨	500	4	0.3	0	4
0	78554	重步兵	700	4	0.3	1	8
0	78555	重步兵	700	4	0.3	1	8
0	78556	弩兵	700	4	0.3	1	8
0	78557	弩兵	700	4	0.3	1	8
0	78558	箭楼	1000	20	0.3	1	2
0	78559	重步兵	700	4	0.3	1	8
0	78560	重步兵	700	4	0.3	1	8
0	78561	弩兵	700	4	0.3	1	8
0	78562	弩兵	700	4	0.3	1	8
0	78563	弩兵	700	4	0.3	1	8
0	78564	弩兵	700	4	0.3	1	8
0	78565	重步兵	700	4	0.3	1	8
0	78566	重步兵	700	4	0.3	1	8
0	78567	 重骑兵	700	4	0.3	1	8
0	78568	重步兵	700	4	0.3	1	8
0	78569	弩兵	700	4	0.3	1	8
0	78570	弩兵	700	4	0.3	1	8
0	78571	弩兵	700	4	0.3	1	8
0	78572	弩兵	700	4	0.3	1	8
0	78573	重步兵	700	4	0.3	1	8
0	78574	重步兵	700	4	0.3	1	8
0	78575	重骑兵	700	4	0.3	1	8
0	78576	重步兵	700	4	0.3	1	8
0	78577	重步兵	700	4	0.3	1	8
0	78578	弩兵	700	4	0.3	1	8
0	78579	弩兵	700	4	0.3	1	8
0	78580	弩兵	700	4	0.3	1	8
0	78581	弩兵	700	4	0.3	1	8
0	110176	白石营寨	500	4	0.3	2	4
1	22410	陇西东营寨	500	5	0.3	0	4
1	78501	陇西东城门	1200	20	0.3	1	3
1	78502	陇西西城门	1200	20	0.3	1	3
1	78503	陇西政厅	3000	40	0.3	1	1
1	78504	陇西箭塔	1000	20	0.3	1	2
1	78505	陇西箭塔	1000	20	0.3	1	2
1	78506	李相如	2000	5	0.3	1	7
1	78507	重步兵	700	5	0.3	1	8
1	78508	重步兵	700	5	0.3	1	8
1	78509	重步兵	700	5	0.3	1	8
1	78510	重步兵	700	5	0.3	1	8
1	78511	弓箭兵	700	5	0.3	1	8
1	78512	弓箭兵	700	5	0.3	1	8
1	78517	弩兵	700	5	0.3	1	8
1	78518	弩兵	700	5	0.3	1	8
1	78519	弩兵	700	5	0.3	1	8
1	78520	弩兵	700	5	0.3	1	8
1	78534	弩兵	700	5	0.3	1	8
1	78535	弩兵	700	5	0.3	1	8
1	78545	弩兵	700	5	0.3	1	8
1	78546	弩兵	700	5	0.3	1	8
1	78553	陇西西营寨	500	5	0.3	0	4
1	110176	白石营寨	1500	8	0.3	2	4
1	120004	陇西防守点	1000	15	3	1	4
2	78503	陇西政厅	3000	40	0.3	1	1
10	110175	河关营寨	500	5	0.3	2	4
10	110175	河关营寨	500	5	0.3	2	4
