id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	30100	洛阳城门	1200	15	0.3	1	3
0	30101	洛阳城门	1200	15	0.3	1	3
0	30102	洛阳政厅	3000	30	0.3	1	1
0	30103	洛阳箭塔	1000	12	0.3	1	2
0	30104	洛阳箭塔	1000	12	0.3	1	2
0	30105	洛阳箭塔	1000	12	0.3	1	2
0	30106	洛阳箭塔	1000	12	0.3	1	2
0	30107	洛阳箭塔	1000	12	0.3	1	2
0	30108	洛阳据点1	800	5	0.3	0	4
0	30109	洛阳据点2	800	5	0.3	0	4
0	30110	洛阳据点3	800	5	0.3	0	4
0	30111	洛阳据点4	800	5	0.3	0	4
0	30112	洛阳出生点	1500	8	0.3	2	4
0	30113	洛阳防守点	700	1.5	0.3	1	4
0	30114	董卓	3000	4	0.3	1	7
0	30115	吕布	2000	4	0.3	1	7
0	30116	董旻	2000	4	0.3	1	7
0	30117	虎卫营	700	3	0.3	1	8
0	30118	虎卫营	700	3	0.3	1	8
0	30119	虎卫营	700	3	0.3	1	8
0	30120	虎卫营	700	3	0.3	1	8
0	30121	虎卫营	700	3	0.3	1	8
0	30122	虎卫营	700	3	0.3	1	8
0	30123	虎卫营	700	3	0.3	1	8
0	30124	虎卫营	700	3	0.3	1	8
0	30125	虎卫营	700	3	0.3	1	8
0	30126	虎卫营	700	3	0.3	1	8
0	30127	虎卫营	700	3	0.3	1	8
0	30128	虎卫营	700	3	0.3	1	8
0	30129	虎卫营	700	3	0.3	1	8
0	30130	虎卫营	700	3	0.3	1	8
0	30131	虎卫营	700	3	0.3	1	8
0	30132	虎卫营	700	3	0.3	1	8
0	30133	虎卫营	700	3	0.3	1	8
0	30134	虎卫营	700	3	0.3	1	8
0	30135	虎卫营	700	3	0.3	1	8
0	30136	虎卫营	700	3	0.3	1	8
0	30137	弩兵	700	3	0.3	1	8
0	30138	弩兵	700	3	0.3	1	8
0	30139	弩兵	700	3	0.3	1	8
0	30140	弩兵	700	3	0.3	1	8
0	30141	弩兵	700	3	0.3	1	8
0	30142	弩兵	700	3	0.3	1	8
0	30143	弩兵	700	3	0.3	1	8
0	30144	弩兵	700	3	0.3	1	8
0	30145	弩兵	700	3	0.3	1	8
0	30146	弩兵	700	3	0.3	1	8
0	30147	虎卫营	700	3	0.3	1	8
0	30148	虎卫营	700	3	0.3	1	8
0	30149	虎卫营	700	3	0.3	1	8
0	30150	虎卫营	700	3	0.3	1	8
0	30151	虎卫营	700	3	0.3	1	8
0	30152	虎卫营	700	3	0.3	1	8
0	30153	虎卫营	700	3	0.3	1	8
0	30154	虎卫营	700	3	0.3	1	8
0	30155						
1	30100	洛阳城门	1200	15	0.3	1	3
1	30101	洛阳城门	1200	15	0.3	1	3
1	30102	洛阳政厅	3000	40	0.3	1	1
1	30103	洛阳箭塔	1200	18	0.5	1	2
1	30104	洛阳箭塔	1200	18	0.5	1	2
1	30105	洛阳箭塔	1200	18	0.5	1	2
1	30106	洛阳箭塔	1200	18	0.5	1	2
1	30107	洛阳箭塔	1200	18	0.5	1	2
1	30108	洛阳据点1	1000	4	0.3	0	4
1	30109	洛阳据点2	1000	4	0.3	0	4
1	30110	洛阳据点3	1000	4	0.3	0	4
1	30111	洛阳据点4	1000	4	0.3	0	4
1	30112	洛阳出生点	1500	8	0.3	2	4
1	30113	洛阳防守点	1000	1.5	3	1	4
1	30114	董卓	3000	6	0.8	1	7
1	30115	吕布	2000	6	0.5	1	7
1	30116	董旻	2000	6	0.5	1	7
1	30117	虎卫营	700	5	0.3	1	8
1	30118	虎卫营	700	5	0.3	1	8
1	30119	虎卫营	700	5	0.3	1	8
1	30120	虎卫营	700	5	0.3	1	8
1	30121	虎卫营	700	5	0.3	1	8
1	30122	虎卫营	700	5	0.3	1	8
1	30123	虎卫营	700	5	0.3	1	8
1	30124	虎卫营	700	5	0.3	1	8
1	30125	虎卫营	700	5	0.3	1	8
1	30126	虎卫营	700	5	0.3	1	8
1	30127	虎卫营	700	5	0.3	1	8
1	30128	虎卫营	700	5	0.3	1	8
1	30129	虎卫营	700	5	0.3	1	8
1	30130	虎卫营	700	5	0.3	1	8
1	30131	虎卫营	700	5	0.3	1	8
1	30132	虎卫营	700	5	0.3	1	8
1	30133	虎卫营	700	5	0.3	1	8
1	30134	虎卫营	700	5	0.3	1	8
1	30135	虎卫营	700	5	0.3	1	8
1	30136	虎卫营	700	5	0.3	1	8
1	30137	弩兵	700	5	0.3	1	8
1	30138	弩兵	700	5	0.3	1	8
1	30139	弩兵	700	5	0.3	1	8
1	30140	弩兵	700	5	0.3	1	8
1	30141	弩兵	700	5	0.3	1	8
1	30142	弩兵	700	5	0.3	1	8
1	30143	弩兵	700	5	0.3	1	8
1	30144	弩兵	700	5	0.3	1	8
1	30145	弩兵	700	5	0.3	1	8
1	30146	弩兵	700	5	0.3	1	8
1	30147	虎卫营	700	5	0.3	1	8
1	30148	虎卫营	700	5	0.3	1	8
1	30149	虎卫营	700	5	0.3	1	8
1	30150	虎卫营	700	5	0.3	1	8
1	30151	虎卫营	700	5	0.3	1	8
1	30152	虎卫营	700	5	0.3	1	8
1	30153	虎卫营	700	5	0.3	1	8
1	30154	虎卫营	700	5	0.3	1	8
1	30155						
2	30102	洛阳政厅	3000	30	0.3	1	1
50	30156	犀利的山贼	3200	5	0.4	3	7
51	30157	亢奋的山贼	3200	5	0.4	3	7
52	30158	坚韧的山贼	3200	5	0.4	3	7
53	30159	激昂的山贼	3200	5	0.4	3	7
