id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	76201	冯翊南城门	1200	20	0.3	1	3
0	22167	冯翊南营寨	500	4	0.3	0	4
0	76202	冯翊政厅	3000	40	0.3	1	1
0	76203	冯翊箭楼	1000	20	0.3	1	2
0	76204	冯翊箭楼	1000	20	0.3	1	2
0	76205	冯翊箭塔	1000	20	0.3	1	2
0	76206	冯翊箭塔	1000	20	0.3	1	2
0	76207	重步兵	700	4	0.3	1	8
0	76208	重步兵	700	4	0.3	1	8
0	76209	重步兵	700	4	0.3	1	8
0	76210	重步兵	700	4	0.3	1	8
0	76211	弩兵	700	4	0.3	1	8
0	76212	弩兵	700	4	0.3	1	8
0	76213	弩兵	700	4	0.3	1	8
0	76214	重步兵	700	4	0.3	1	8
0	76215	重步兵	700	4	0.3	1	8
0	76216	重步兵	700	4	0.3	1	8
0	76217	重步兵	700	4	0.3	1	8
0	76218	弩兵	700	4	0.3	1	8
0	76219	弩兵	700	4	0.3	1	8
0	76220	弩兵	700	4	0.3	1	8
0	76221	弩兵	700	4	0.3	1	8
0	76222	弩兵	700	4	0.3	1	8
0	76223	弩兵	700	4	0.3	1	8
0	76224	弩兵	700	4	0.3	1	8
0	76225	重步兵	700	4	0.3	1	8
0	76226	重步兵	700	4	0.3	1	8
0	76227	重步兵	700	4	0.3	1	8
0	76228	重步兵	700	4	0.3	1	8
0	76229	重步兵	700	4	0.3	1	8
0	76230	重步兵	700	4	0.3	1	8
0	76231	重步兵	700	4	0.3	1	8
0	76232	重步兵	700	4	0.3	1	8
0	76233	重步兵	700	4	0.3	1	8
0	76234	重步兵	700	4	0.3	1	8
0	76235	宋辉	2000	4	0.3	1	7
0	76236	重步兵	700	4	0.3	1	8
0	76237	重步兵	700	4	0.3	1	8
0	76238	重步兵	700	4	0.3	1	8
0	76239	重步兵	700	4	0.3	1	8
0	76240	重步兵	700	4	0.3	1	8
0	76241	弩兵	700	4	0.3	1	8
0	76242	弩兵	700	4	0.3	1	8
0	76243	重步兵	700	4	0.3	1	8
0	76244	重步兵	700	4	0.3	1	8
0	76245	弩兵	700	4	0.3	1	8
0	76246	弩兵	700	4	0.3	1	8
0	76247	重步兵	700	4	0.3	1	8
0	76248	重步兵	700	4	0.3	1	8
0	76249	重步兵	700	4	0.3	1	8
0	76250	弩兵	700	4	0.3	1	8
0	76251	弩兵	700	4	0.3	1	8
