id	instanceid	Ãû³Æ	ÊýÁ¿	HP±¶Êý	¹¥»÷±¶Êý	ÕóÓª	½ÇÉ«ÀàÐÍ
0	93501	Û¶ÑôÄÏ³ÇÃÅ	1200	20	0.3	1	3
0	93502	Û¶Ñô¶«³ÇÃÅ	1200	20	0.3	1	3
0	93503	Û¶ÑôÕþÌü	3000	40	0.3	1	1
0	93504	Û¶Ñô¼ýËþ	1000	20	0.3	1	2
0	93505	óÐÈÚ	2000	4	0.3	1	7
0	93506	ÖÜÇ«	2000	4	0.3	1	7
0	93507	¹ÈÔÊ	2000	4	0.3	1	7
0	93508	åó±ø	700	4	0.3	1	8
0	93509	¹­¼ý±ø	700	4	0.3	1	8
0	93510	¹­¼ý±ø	700	4	0.3	1	8
0	93511	åó±ø	700	4	0.3	1	8
0	93512	¹­¼ý±ø	700	4	0.3	1	8
0	93513	åó±ø	700	4	0.3	1	8
0	93514	åó±ø	700	4	0.3	1	8
0	93515	åó±ø	700	4	0.3	1	8
0	93516	¹­¼ý±ø	700	4	0.3	1	8
0	93517	¹­¼ý±ø	700	4	0.3	1	8
0	93518	åó±ø	700	4	0.3	1	8
0	93519	åó±ø	700	4	0.3	1	8
0	93520	¹­¼ý±ø	700	4	0.3	1	8
0	93521	¹­¼ý±ø	700	4	0.3	1	8
0	93522	åó±ø	700	4	0.3	1	8
0	93523	åó±ø	700	4	0.3	1	8
0	93524	¹­¼ý±ø	700	4	0.3	1	8
0	93525	¹­¼ý±ø	700	4	0.3	1	8
0	93526	¹­¼ý±ø	700	4	0.3	1	8
0	93527	åó±ø	700	4	0.3	1	8
0	93528	åó±ø	700	4	0.3	1	8
0	93529	åó±ø	700	4	0.3	1	8
0	93530	¹­¼ý±ø	700	4	0.3	1	8
0	93531	¹­¼ý±ø	700	4	0.3	1	8
0	93532	åó±ø	700	4	0.3	1	8
0	93533	åó±ø	700	4	0.3	1	8
0	93534	¹­¼ý±ø	700	4	0.3	1	8
0	93535	åó±ø	700	4	0.3	1	8
0	93536	åó±ø	700	4	0.3	1	8
0	93537	¹­¼ý±ø	700	4	0.3	1	8
0	93538	¹­¼ý±ø	700	4	0.3	1	8
0	93539	åó±ø	700	4	0.3	1	8
0	93540	åó±ø	700	4	0.3	1	8
0	93541	¹­¼ý±ø	700	4	0.3	1	8
0	93542	åó±ø	700	4	0.3	1	8
0	93543	åó±ø	700	4	0.3	1	8
0	93544	¹­¼ý±ø	700	4	0.3	1	8
0	93545	¹­¼ý±ø	700	4	0.3	1	8
0	93546	¹­¼ý±ø	700	4	0.3	1	8
0	93547	¹­¼ý±ø	700	4	0.3	1	8
0	93548	¹­¼ý±ø	700	4	0.3	1	8
0	93549	¹­¼ý±ø	700	4	0.3	1	8
0	93550	åó±ø	700	4	0.3	1	8
0	93551	µ¤Ñô±ø	700	4	0.3	1	8
0	93552	µ¤Ñô±ø	700	4	0.3	1	8
0	93553	ÖØ²½±ø	700	4	0.3	1	8
0	93554	ÖØ²½±ø	700	4	0.3	1	8
0	93555	ÖØ²½±ø	700	4	0.3	1	8
0	93556	åó±ø	700	4	0.3	1	8
0	93557	åó±ø	700	4	0.3	1	8
0	93558	ÖØ²½±ø	700	4	0.3	1	8
0	93559	ÖØ²½±ø	700	4	0.3	1	8
0	93560	µ¤Ñô±ø	700	4	0.3	1	8
0	93561	µ¤Ñô±ø	700	4	0.3	1	8
0	93562	µ¤Ñô±ø	700	4	0.3	1	8
0	93563	µ¤Ñô±ø	700	4	0.3	1	8
0	93564	µ¤Ñô±ø	700	4	0.3	1	8
0	93565	µ¤Ñô±ø	700	4	0.3	1	8
0	93566	ÖØ²½±ø	700	4	0.3	1	8
0	93567	ÖØ²½±ø	700	4	0.3	1	8
0	93568	ÖØ²½±ø	700	4	0.3	1	8
0	93569	ÖØ²½±ø	700	4	0.3	1	8
0	93570	ÇáÆï±ø	700	4	0.3	1	8
0	93571	åó±ø	700	4	0.3	1	8
0	93572	ÖØ²½±ø	700	4	0.3	1	8
0	93573	ÖØ²½±ø	700	4	0.3	1	8
0	93574	ÖØ²½±ø	700	4	0.3	1	8
0	93575	ÖØ²½±ø	700	4	0.3	1	8
0	93576	åó±ø	700	4	0.3	1	8
0	93577	åó±ø	700	4	0.3	1	8
0	93578	åó±ø	700	4	0.3	1	8
0	93579	åó±ø	700	4	0.3	1	8
0	93580	ÖØ²½±ø	700	4	0.3	1	8
0	93581	µ¤Ñô±ø	700	4	0.3	1	8
0	93582	µ¤Ñô±ø	700	4	0.3	1	8
0	93583	ÖØ²½±ø	700	4	0.3	1	8
0	93584	ÖØ²½±ø	700	4	0.3	1	8
0	93585	ÖØ²½±ø	700	4	0.3	1	8
0	93586	¹­¼ý±ø	700	4	0.3	1	8
0	93587	¹­¼ý±ø	700	4	0.3	1	8
0	93588	ÇáÆï±ø	700	4	0.3	1	8
0	93589	ÖØ²½±ø	700	4	0.3	1	8
0	93590	ÇáÆï±ø	700	4	0.3	1	8
0	93591	¹­¼ý±ø	700	4	0.3	1	8
0	93592	¹­¼ý±ø	700	4	0.3	1	8
0	93593	ÖØ²½±ø	700	4	0.3	1	8
0	93594	ÖØ²½±ø	700	4	0.3	1	8
0	93595	ÖØ²½±ø	700	4	0.3	1	8
0	93596	åó±ø	700	4	0.3	1	8
0	93597	åó±ø	700	4	0.3	1	8
