id	instanceid	靡備	杅講	HP捷杅	馴僻捷杅	淝茠	褒伎濬倰
0	71401	窙鰍傑藷	1200	20	0.3	1	3
0	22070	窙鰍茠朘	500	4	0.3	0	4
0	22071	窙昹鰍茠朘	500	4	0.3	0	4
0	22072	窙昹茠朘	500	4	0.3	0	4
0	71402	窙昹傑藷	1200	20	0.3	1	3
0	71403	窙眳淉泆	3000	40	0.3	1	1
0	71404	窙璋瞼	1000	20	0.3	1	2
0	71405	窙璋瞼	1000	20	0.3	1	2
0	71406	妢鄘	2000	4	0.3	1	7
0	71407	妢噙	2000	4	0.3	1	7
0	71408	妢頗	2000	4	0.3	1	7
0	71409	僮璋條	700	4	0.3	1	8
0	71410	僮璋條	700	4	0.3	1	8
0	71411	僮璋條	700	4	0.3	1	8
0	71412	僮璋條	700	4	0.3	1	8
0	71413	僮璋條	700	4	0.3	1	8
0	71414	僮璋條	700	4	0.3	1	8
0	71415	僮璋條	700	4	0.3	1	8
0	71416	僮璋條	700	4	0.3	1	8
0	71417	僮璋條	700	4	0.3	1	8
0	71418	僮璋條	700	4	0.3	1	8
0	71419	僮璋條	700	4	0.3	1	8
0	71420	僮璋條	700	4	0.3	1	8
0	71421	僮璋條	700	4	0.3	1	8
0	71422	僮璋條	700	4	0.3	1	8
0	71423	僮璋條	700	4	0.3	1	8
0	71424	僮璋條	700	4	0.3	1	8
0	71425	僮璋條	700	4	0.3	1	8
0	71426	僮璋條	700	4	0.3	1	8
0	71427	笭る條	700	4	0.3	1	8
0	71428	笭る條	700	4	0.3	1	8
0	71429	僮璋條	700	4	0.3	1	8
0	71430	僮璋條	700	4	0.3	1	8
0	71431	僮璋條	700	4	0.3	1	8
0	71432	僮璋條	700	4	0.3	1	8
0	71433	шる	700	4	0.3	1	8
0	71434	шる	700	4	0.3	1	8
0	71435	笭る條	700	4	0.3	1	8
0	71436	僮璋條	700	4	0.3	1	8
0	71437	僮璋條	700	4	0.3	1	8
0	71438	僮璋條	700	4	0.3	1	8
0	71439	僮璋條	700	4	0.3	1	8
0	71440	僮璋條	700	4	0.3	1	8
0	71441	笭る條	700	4	0.3	1	8
0	71442	笭る條	700	4	0.3	1	8
0	71443	шる	700	4	0.3	1	8
0	71444	шる	700	4	0.3	1	8
0	71445	僮璋條	700	4	0.3	1	8
0	71446	僮璋條	700	4	0.3	1	8
0	71447	僮璋條	700	4	0.3	1	8
0	71448	僮璋條	700	4	0.3	1	8
0	71449	笭る條	700	4	0.3	1	8
0	71450	笭る條	700	4	0.3	1	8
0	71451	шる	700	4	0.3	1	8
0	71452	шる	700	4	0.3	1	8
0	71453	шる	700	4	0.3	1	8
0	71454	шる	700	4	0.3	1	8
0	71455	笭る條	700	4	0.3	1	8
0	71456	僮璋條	700	4	0.3	1	8
0	71457	僮璋條	700	4	0.3	1	8
0	71458	僮璋條	700	4	0.3	1	8
0	71459	笭る條	700	4	0.3	1	8
0	71460	笭る條	700	4	0.3	1	8
0	71461	笭る條	700	4	0.3	1	8
0	71462	笭る條	700	4	0.3	1	8
0	71463	僮璋條	700	4	0.3	1	8
0	71464	僮璋條	700	4	0.3	1	8
0	71465	шる	700	4	0.3	1	8
0	71466	шる	700	4	0.3	1	8
0	71467	шる	700	4	0.3	1	8
0	71468	шる	700	4	0.3	1	8
0	71469	僮璋條	700	4	0.3	1	8
0	71470	僮璋條	700	4	0.3	1	8
0	71471	僮璋條	700	4	0.3	1	8
0	71472	僮璋條	700	4	0.3	1	8
0	71473	僮璋條	700	4	0.3	1	8
0	71474	僮璋條	700	4	0.3	1	8
0	71475	僮璋條	700	4	0.3	1	8
0	71476	笭る條	700	4	0.3	1	8
0	71477	шる	700	4	0.3	1	8
0	71478	шる	700	4	0.3	1	8
0	71479	шる	700	4	0.3	1	8
0	71480	шる	700	4	0.3	1	8
0	71481	僮璋條	700	4	0.3	1	8
0	71482	僮璋條	700	4	0.3	1	8
0	71483	僮璋條	700	4	0.3	1	8
0	71484	笭る條	700	4	0.3	1	8
0	71485	笭る條	700	4	0.3	1	8
0	71486	шる	700	4	0.3	1	8
0	71487	шる	700	4	0.3	1	8
0	71488	僮璋條	700	4	0.3	1	8
0	71489	僮璋條	700	4	0.3	1	8
0	71490	僮璋條	700	4	0.3	1	8
0	71491	僮璋條	700	4	0.3	1	8
0	71492	僮璋條	700	4	0.3	1	8
0	71493	僮璋條	700	4	0.3	1	8
0	110113	賴瓮茠朘	500	4	0.3	2	4
1	22070	窙鰍茠朘	500	5	0.3	0	4
1	22071	窙昹鰍茠朘	500	5	0.3	0	4
1	22072	窙昹茠朘	500	5	0.3	0	4
1	71401	窙鰍傑藷	1200	20	0.3	1	3
1	71402	窙昹傑藷	1200	20	0.3	1	3
1	71403	窙眳淉泆	3000	40	0.3	1	1
1	71404	窙璋瞼	1000	20	0.3	1	2
1	71405	窙璋瞼	1000	20	0.3	1	2
1	71406	妢鄘	2000	5	0.3	1	7
1	71407	妢噙	2000	5	0.3	1	7
1	71408	妢頗	2000	5	0.3	1	7
1	110113	賴瓮茠朘	1500	8	0.3	2	4
1	120126	窙滅忐萸	1000	15	3	1	4
2	71403	窙眳淉泆	3000	40	0.3	1	1
10	110112	傑虜茠朘	500	5	0.3	2	4
10	110112	傑虜茠朘	500	5	0.3	2	4
