id	instanceid	名称	数量	HP倍数	攻击倍数	阵营	角色类型
0	96701	日南政厅	3000	40	0.3	1	1
0	22394	日南西南营寨	500	4	0.3	0	4
0	22395	日南东营寨	500	4	0.3	0	4
0	96702	日南箭楼	1000	20	0.3	1	2
0	96703	日南箭楼	1000	20	0.3	1	2
0	96704	日南南城门	1200	20	0.3	1	3
0	96705	日南西城门	1200	20	0.3	1	3
0	96706	日南东城门	1200	20	0.3	1	3
0	96707	轻骑兵	700	4	0.3	1	8
0	96708	轻骑兵	700	4	0.3	1	8
0	96709	飞刀兵	700	4	0.3	1	8
0	96710	飞刀兵	700	4	0.3	1	8
0	96711	轻骑兵	700	4	0.3	1	8
0	96712	轻骑兵	700	4	0.3	1	8
0	96713	飞刀兵	700	4	0.3	1	8
0	96714	飞刀兵	700	4	0.3	1	8
0	96715	轻骑兵	700	4	0.3	1	8
0	96716	轻骑兵	700	4	0.3	1	8
0	96717	飞刀兵	700	4	0.3	1	8
0	96718	飞刀兵	700	4	0.3	1	8
0	96719	长戟兵	700	4	0.3	1	8
0	96720	长戟兵	700	4	0.3	1	8
0	96721	飞刀兵	700	4	0.3	1	8
0	96722	飞刀兵	700	4	0.3	1	8
0	96723	虞思	2000	4	0.3	1	7
0	96724	长戟兵	700	4	0.3	1	8
0	96725	长戟兵	700	4	0.3	1	8
0	96726	飞刀兵	700	4	0.3	1	8
0	96727	飞刀兵	700	4	0.3	1	8
0	96728	虞维	2000	4	0.3	1	7
0	96729	长戟兵	700	4	0.3	1	8
0	96730	长戟兵	700	4	0.3	1	8
0	96731	飞刀兵	700	4	0.3	1	8
0	96732	飞刀兵	700	4	0.3	1	8
0	96733	虞南	2000	4	0.3	1	7
0	96734	神射营	700	4	0.3	1	8
0	96735	神射营	700	4	0.3	1	8
0	96736	神射营	700	4	0.3	1	8
0	96737	神射营	700	4	0.3	1	8
0	96738	神射营	700	4	0.3	1	8
0	96739	神射营	700	4	0.3	1	8
0	96740	神射营	700	4	0.3	1	8
0	96741	神射营	700	4	0.3	1	8
0	96742	神射营	700	4	0.3	1	8
0	96743	神射营	700	4	0.3	1	8
0	96744	神射营	700	4	0.3	1	8
0	96745	象兵	700	4	0.3	1	8
0	96746	神射营	700	4	0.3	1	8
0	96747	神射营	700	4	0.3	1	8
0	96748	象兵	700	4	0.3	1	8
0	96749	长戟兵	700	4	0.3	1	8
0	96750	长戟兵	700	4	0.3	1	8
0	96751	长戟兵	700	4	0.3	1	8
0	96752	长戟兵	700	4	0.3	1	8
0	96753	长戟兵	700	4	0.3	1	8
0	96754	长戟兵	700	4	0.3	1	8
0	96755	象兵	700	4	0.3	1	8
0	96756	象兵	700	4	0.3	1	8
0	96757	象兵	700	4	0.3	1	8
0	96758	象兵	700	4	0.3	1	8
0	96759	神射营	700	4	0.3	1	8
0	96760	神射营	700	4	0.3	1	8
0	96761	轻骑兵	700	4	0.3	1	8
0	96762	轻骑兵	700	4	0.3	1	8
0	96763	神射营	700	4	0.3	1	8
0	96764	神射营	700	4	0.3	1	8
0	96765	神射营	700	4	0.3	1	8
0	96766	象兵	700	4	0.3	1	8
0	96767	象兵	700	4	0.3	1	8
0	96768	神射营	700	4	0.3	1	8
0	96769	神射营	700	4	0.3	1	8
0	96770	虞国	2000	4	0.3	1	7
0	110360	比景营寨	500	4	0.3	2	4
1	22394	日南西南营寨	500	5	0.3	0	4
1	22395	日南东营寨	500	5	0.3	0	4
1	96701	日南政厅	3000	40	0.3	1	1
1	96702	日南箭楼	1000	20	0.3	1	2
1	96703	日南箭楼	1000	20	0.3	1	2
1	96704	日南南城门	1200	20	0.3	1	3
1	96705	日南西城门	1200	20	0.3	1	3
1	96706	日南东城门	1200	20	0.3	1	3
1	96721	飞刀兵	700	5	0.3	1	8
1	96722	飞刀兵	700	5	0.3	1	8
1	96723	虞思	2000	5	0.3	1	7
1	96726	飞刀兵	700	5	0.3	1	8
1	96727	飞刀兵	700	5	0.3	1	8
1	96728	虞维	2000	5	0.3	1	7
1	96731	飞刀兵	700	5	0.3	1	8
1	96732	飞刀兵	700	5	0.3	1	8
1	96733	虞南	2000	5	0.3	1	7
1	96736	神射营	700	5	0.3	1	8
1	96739	神射营	700	5	0.3	1	8
1	96742	神射营	700	5	0.3	1	8
1	96745	象兵	700	5	0.3	1	8
1	96748	象兵	700	5	0.3	1	8
1	96766	象兵	700	5	0.3	1	8
1	96767	象兵	700	5	0.3	1	8
1	96768	神射营	700	5	0.3	1	8
1	96769	神射营	700	5	0.3	1	8
1	96770	虞国	2000	5	0.3	1	7
1	110360	比景营寨	1500	8	0.3	2	4
1	120164	日南防守点	1000	15	3	1	4
2	96701	日南政厅	3000	40	0.3	1	1
10	110358	朱吾营寨	500	5	0.3	2	4
10	110358	朱吾营寨	500	5	0.3	2	4
10	110359	西卷营寨	500	5	0.3	2	4
10	110359	西卷营寨	500	5	0.3	2	4
